Symbol,Name,Latest,Change,%Change,"IV Rank","Options Vol","1M Vol %Chg","Put Vol","Call Vol","Total OI"
HE,"Hawaiian Electric Industries",11.68,-0.72,-5.81%,30.56%,67855,"+1,651.55%",33749,34106,136173
GGG,"Graco Inc",83.38,-0.16,-0.19%,14.36%,5025,"+1,475.24%",5017,8,1629
ROCK,"Gibraltar Ind Inc",48.86,-1.37,-2.73%,41.78%,19086,"+1,191.34%",19083,3,11365
SPHR,"Sphere Entertainment CO",162.49,2.95,+1.85%,25.90%,13848,"+1,158.91%",559,13289,19190
BXP,"Bxp Inc",67.9,-1.81,-2.60%,22.65%,9048,"+1,073.54%",27,9021,22456
ALC,"Alcon Inc",73.63,1.82,+2.53%,80.60%,9106,"+1,038.25%",2063,7043,21352
SION,"Sionna Therapeutics Inc",4.5,-46.54,-91.18%,43.82%,5269,+945.44%,1218,4051,7778
HVT,"Haverty Furniture Companies",28.95,-0.14,-0.48%,16.76%,12225,+933.39%,20,12205,724
EYE,"National Vision Holdings Inc",22.43,-0.12,-0.53%,58.80%,10035,+830.89%,0,10035,12388
BKD,"Brookdale Senior Living Inc",13.69,-0.53,-3.73%,24.93%,20957,+824.85%,11300,9657,23421
COO,"Cooper Companies",76.32,2.09,+2.82%,52.41%,5116,+794.41%,351,4765,9932
MPT,"Medical Properties Trust Inc",4.15,-0.55,-11.70%,18.31%,129515,+780.34%,91921,37594,500659
BWMN,"Bowman Consulting Group Ltd",42.42,15.19,+55.78%,0.00%,5860,+779.88%,1048,4812,11111
VSTS,"Vestis Corporation",13.87,-0.34,-2.39%,29.87%,5604,+772.90%,5376,228,22447
BORR,"Borr Drilling Ltd",4.16,0.3,+7.77%,12.86%,6532,+772.10%,672,5860,48747
SE,"Sea Ltd ADR",114.8,1.37,+1.21%,83.03%,78382,+749.03%,32049,46333,231434
BETA,"Beta Technologies Inc Cl A",23.76,0.25,+1.06%,53.75%,24577,+707.92%,1268,23309,28880
ARIS,"Aris Mining Corp",17.08,-0.32,-1.84%,56.82%,6224,+678.00%,5072,1152,14551
LYG,"Lloyds Banking Group Plc ADR",6.12,-0.16,-2.55%,11.20%,8197,+651.33%,8189,8,36280
LINC,"Lincoln Educational",30.77,-10.22,-24.93%,49.76%,6545,+624.00%,5730,815,10762
AIRS,"Airsculpt Technologies Inc",2.75,-2.26,-45.11%,20.16%,5968,+613.02%,2089,3879,16592
INCY,"Incyte Corp",121.55,0.99,+0.82%,17.98%,7707,+583.24%,7535,172,25228
HTGC,"Hercules Technology Growth Capital",17.17,-0.08,-0.46%,16.69%,7405,+578.74%,1426,5979,36997
CXW,"Corecivic Inc",33,0.73,+2.26%,35.44%,45019,+549.34%,28370,16649,109525
ABCL,"Abcellera Biologics Inc",9.34,2.41,+34.78%,3.15%,43735,+542.03%,9179,34556,152281
UPWK,"Upwork Inc",9.83,0.16,+1.65%,100.00%,12508,+534.92%,3643,8865,47983
ERO,"Ero Copper Corp",36.54,2.23,+6.50%,52.47%,27533,+526.60%,415,27118,110428
SLN,"Silence Therapeutics Plc ADR",15.43,3.48,+29.12%,3.29%,9414,+526.35%,8434,980,26897
ACHR,"Archer Aviation Inc",6.26,0.67,+11.99%,60.13%,365914,+520.34%,62063,303851,643411
MCO,"Moody's Corp",478.14,0.39,+0.08%,29.03%,6055,+511.00%,2092,3963,15897
BMRN,"Biomarin Pharmaceuticals",68.88,5.07,+7.95%,33.54%,9820,+498.78%,1483,8337,39439
VNET,"Vnet Group Inc",7.48,0.15,+2.05%,60.54%,16993,+457.51%,1116,15877,86521
FLYW,"Flywire Corp Voting",17.38,-0.4,-2.25%,0.56%,5426,+442.60%,5393,33,19659
BWA,"Borgwarner Inc",69.28,0.86,+1.26%,51.45%,10361,+442.18%,9938,423,42934
BSP,"Bending Spoons S.P.A.",51.43,6.98,+15.70%,100.00%,8189,+441.60%,2505,5684,16617
USAS,"Americas Gold and Silver Corp",5.13,0.12,+2.40%,6.45%,40379,+399.06%,401,39978,188399
MNDY,"Monday.com Ltd",88.62,-4.51,-4.84%,34.58%,13365,+398.51%,4082,9283,66904
HL,"Hecla Mining Company",17.55,0.7,+4.15%,37.54%,133054,+377.72%,104161,28893,727179
PLUG,"Plug Power Inc",2.11,-0.07,-3.21%,27.47%,109179,+359.08%,21442,87737,794811
XYL,"Xylem Inc",121.19,0.87,+0.72%,48.91%,6453,+344.12%,76,6377,18583
CAH,"Cardinal Health",237.18,0.78,+0.33%,83.87%,7032,+339.50%,2505,4527,35997
FSM,"Fortuna Mines",10.73,0.34,+3.27%,45.19%,6290,+334.39%,1480,4810,87267
RBRK,"Rubrik Inc Cl A",97.91,7.84,+8.70%,60.39%,19670,+331.93%,3103,16567,86441
P,"Everpure Inc",97.98,7.93,+8.81%,55.69%,12989,+319.95%,1379,11610,122072
SPG,"Simon Property Group",220.55,-2.36,-1.06%,74.29%,5078,+303.34%,2442,2636,47385
NTNX,"Nutanix Inc",64.46,1.79,+2.86%,60.66%,5004,+288.21%,652,4352,62774
ARDX,"Ardelyx Inc",4,0,0.00%,19.88%,11078,+282.79%,10206,872,78401
MLTX,"Moonlake Immunotherapeutics",17.33,-0.93,-5.09%,20.03%,4907,+270.34%,1363,3544,53102
RYAM,"Rayonier Advanced Materials Inc",8.77,-0.25,-2.77%,19.44%,6222,+268.60%,1071,5151,30503
BW,"Babcock & Wilcox Enterprises",8.88,-0.49,-5.23%,12.19%,12968,+248.23%,3167,9801,93982
RCAT,"Red Cat Holdings Inc",10,0.79,+8.58%,33.42%,63734,+247.63%,6595,57139,252937
ONON,"On Holding Ag Cl A",38.78,1.23,+3.28%,76.60%,36537,+241.56%,12893,23644,260717
AMPL,"Amplitude Inc Cl A",12.19,0.93,+8.26%,29.77%,6186,+233.66%,48,6138,34147
