Symbol,Name,Latest,Change,%Change,"IV Rank","Options Vol","1M Vol %Chg","Put Vol","Call Vol","Total OI"
BFLY,"Butterfly Network Inc",9.7,0.87,+9.85%,36.01%,12602,+230.93%,2433,10169,99565
IE,"Ivanhoe Electric Inc",11,-0.02,-0.18%,42.51%,6828,+226.23%,778,6050,64339
RIG,"Transocean Inc",5.72,0.46,+8.75%,10.35%,55053,+226.07%,5056,49997,1265519
BTU,"Peabody Energy Corp",24.65,0.84,+3.53%,18.51%,15541,+223.64%,1239,14302,155618
FSLY,"Fastly Inc",27.75,4.79,+20.86%,27.07%,30532,+223.23%,5055,25477,173629
LYV,"Live Nation Entertainment",184.64,3.98,+2.20%,23.42%,7389,+221.12%,192,7197,149829
HBM,"Hudbay Minerals Inc",27.91,0.3,+1.09%,67.69%,4869,+217.82%,464,4405,39891
MBI,"MBIA Inc",5.03,-0.08,-1.57%,35.31%,4729,+216.53%,394,4335,43569
QURE,"Uniqure N.V.",46.06,-0.36,-0.78%,14.80%,14110,+211.55%,4144,9966,155543
EVC,"Entravision Communications Corp",11.7,-0.27,-2.26%,43.15%,7314,+208.61%,1931,5383,47319
DFTX,"Definium Therapeutics Inc",45.15,-0.99,-2.15%,64.18%,13254,+204.48%,6645,6609,89957
EXK,"Endeavour Silver Corp",10.24,0.7,+7.34%,41.47%,11711,+192.26%,1502,10209,195981
ABNB,"Airbnb Inc Cl A",184.7,6.63,+3.72%,28.09%,47782,+191.89%,21330,26452,222577
ATNI,"Atn International",32.11,0.14,+0.44%,13.23%,5912,+186.85%,11,5901,879
INDI,"Indie Semiconductor Cl A",3.72,-0.32,-7.92%,39.07%,6976,+173.78%,215,6761,127665
B,"Barrick Mining Corp",40.88,-2.8,-6.41%,51.22%,64603,+170.28%,22092,42511,828165
RUM,"Rum Group Inc",6.21,-0.18,-2.74%,12.43%,10612,+170.23%,1617,8995,96885
AG,"First Majestic Silver",18.85,0.45,+2.45%,22.83%,105457,+161.41%,79957,25500,943052
TTD,"Trade Desk Inc",13.39,-0.41,-2.97%,32.50%,155567,+157.48%,47923,107644,884828
CLMT,"Calumet Inc",45.47,5.99,+15.17%,68.70%,10940,+149.54%,578,10362,132806
LZM,"Lifezone Metals Limited",4.05,-0.07,-1.70%,26.37%,5578,+145.19%,0,5578,41086
DASH,"Doordash Cl A",209.86,-6.4,-2.96%,21.79%,29703,+144.01%,2781,26922,182025
HTZ,"Hertz Global Holdings Inc",2.12,-0.15,-6.61%,71.23%,267869,+143.67%,46791,221078,1195319
VST,"Vistra Energy Corp",142.87,2.28,+1.62%,23.86%,93263,+143.28%,10057,83206,509868
BROS,"Dutch Bros Inc Cl A",51.29,-1.72,-3.24%,7.17%,14780,+143.13%,4049,10731,67824
AS,"Amer Sports Inc",36.17,-0.67,-1.82%,54.18%,5507,+140.59%,81,5426,85503
CBRL,"Cracker Barrel",56.1,-1.69,-2.92%,38.91%,6438,+140.58%,360,6078,44474
DOCS,"Doximity Inc Cl A",25.63,-1.77,-6.46%,31.94%,18061,+140.17%,7748,10313,82588
NTSK,"Netskope Inc Cl A",15.67,0.8,+5.38%,51.90%,8989,+132.09%,815,8174,49984
VSAT,"Viasat Inc",84.82,4.44,+5.53%,43.66%,12682,+131.25%,1010,11672,205828
SCCO,"Southern Copper Corp",200.11,1.05,+0.53%,51.11%,8355,+129.79%,811,7544,43800
AR,"Antero Resources Corp",37.07,2.36,+6.80%,6.71%,11562,+127.73%,4299,7263,223981
APA,"Apa Corp",41.02,3.39,+9.01%,26.35%,19716,+123.54%,4355,15361,194248
GRPN,"Groupon Cl A",22.95,-2.08,-8.31%,36.41%,21905,+122.54%,2164,19741,139666
ANF,"Abercrombie & Fitch Company",118.53,5.91,+5.25%,61.99%,6347,+117.89%,3446,2901,37831
AGI,"Alamos Gold Inc",33.19,0.04,+0.12%,59.22%,6512,+113.23%,1702,4810,109495
MDLN,"Medline Inc Cl A",33.81,-1.42,-4.03%,0.00%,5168,+112.06%,4315,853,39155
APTV,"Aptiv Plc",49.81,0.26,+0.52%,29.70%,4768,+110.32%,278,4490,45809
DIS,"Walt Disney Company",103.18,-1.73,-1.65%,19.01%,106413,+105.88%,29765,76648,693810
SMTC,"Semtech Corp",131.27,-8.15,-5.85%,58.42%,6687,+104.93%,313,6374,102324
GFI,"Gold Fields Ltd ADR",41.1,0.28,+0.69%,28.04%,9733,+103.75%,8710,1023,76458
IMAX,"Imax Corp",51.21,2.72,+5.61%,42.91%,7801,+103.52%,7573,228,64543
EXPE,"Expedia Group Inc",314.01,3.33,+1.07%,37.09%,8195,+103.25%,6357,1838,65121
HYMC,"Hycroft Mining Holding Corp",27.29,0.75,+2.83%,24.34%,6110,+100.85%,1806,4304,82963
BRK.B,"Berkshire Hathaway Cl B",529.42,7.62,+1.46%,33.21%,50183,+96.36%,19633,30550,521125
FAST,"Fastenal Company",52.15,0.31,+0.60%,43.45%,5803,+95.78%,823,4980,73818
LMT,"Lockheed Martin Corp",603.16,15.21,+2.59%,37.17%,15203,+93.45%,4570,10633,100412
BTI,"British American Tobacco Industries ADR",57.05,-2.28,-3.84%,43.47%,5637,+92.65%,1946,3691,125109
RKLB,"Rocket Lab Corp",80.04,-2.79,-3.37%,64.69%,260459,+91.68%,92033,168426,1069625
FSLR,"First Solar Inc",239.33,-10.72,-4.29%,32.65%,48003,+90.19%,13827,34176,607217
CSCO,"Cisco Systems Inc",122.57,1.14,+0.94%,84.71%,80769,+89.42%,29749,51020,893726
KOS,"Kosmos Energy Ltd",2.51,0.03,+1.21%,5.89%,13795,+88.74%,607,13188,272282
RILY,"Brc Group Holdings Inc",7.27,0.09,+1.25%,1.22%,14865,+87.15%,1438,13427,70752
AQST,"Aquestive Therapeutics Inc",4.29,0.35,+8.88%,6.59%,4930,+85.76%,1179,3751,84500
KLAR,"Klarna Group Plc",19.62,-0.28,-1.41%,55.78%,15511,+85.34%,1574,13937,141950
MP,"MP Materials Corp",54.66,3.55,+6.95%,16.80%,52220,+84.94%,13361,38859,448126
O,"Realty Income Corp",61.89,-0.62,-0.99%,31.77%,8728,+84.02%,3647,5081,133921
NRGV,"Energy Vault Holdings",3.34,-0.15,-4.30%,47.22%,7019,+82.88%,3978,3041,183528
BTDR,"Bitdeer Technologies Group",8.69,-2.19,-20.08%,35.38%,77714,+81.53%,41378,36336,446144
LUMN,"Lumen Technologies Inc",6.64,0.4,+6.41%,19.18%,25446,+80.81%,11691,13755,462159
SYM,"Symbotic Inc",40.11,-0.07,-0.17%,0.00%,8770,+80.75%,2244,6526,72457
AKAM,"Akamai Technologies",117.65,7.11,+6.43%,42.84%,12015,+79.54%,4154,7861,215313
NEM,"Newmont Mining Corp",117.26,4.28,+3.79%,42.22%,40641,+78.75%,8721,31920,536345
DDOG,"Datadog Cl A",260.78,26.85,+11.48%,45.96%,39411,+78.73%,14777,24634,277388
RXT,"Rackspace Technology Inc",4.73,-0.17,-3.47%,14.42%,18216,+78.64%,2169,16047,196671
MO,"Altria Group",65.54,-2.81,-4.11%,68.86%,42382,+78.44%,22494,19888,371790
CSGP,"Costar Group Inc",31.48,1.24,+4.10%,53.15%,5351,+78.19%,4609,742,84518
UMAC,"Unusual Machines Inc",27.14,1.03,+3.94%,54.87%,14065,+77.59%,6180,7885,83525
DUK,"Duke Energy Corp",121.19,-3.66,-2.93%,47.62%,5491,+74.10%,1935,3556,86418
OKLO,"Oklo Inc",44.49,-3.93,-8.12%,12.53%,94498,+73.72%,30642,63856,663056
HIMS,"Hims & Hers Health Inc",31.77,0.18,+0.57%,56.18%,162353,+72.18%,74387,87966,849187
LITE,"Lumentum Holdings",813.51,-76.66,-8.61%,67.01%,51658,+72.17%,33628,18030,224604
PFE,"Pfizer Inc",27.05,0.29,+1.08%,13.78%,196784,+70.57%,109204,87580,2521710
ZS,"Zscaler Inc",176.68,8,+4.74%,66.46%,29702,+69.73%,7818,21884,220689
DJT,"Trump Media & Technology Group Corp",9.39,-0.82,-8.03%,41.21%,41258,+69.34%,12711,28547,485216
DINO,"HF Sinclair Corp",85.22,3.81,+4.68%,58.74%,11090,+68.93%,1516,9574,98673
HPE,"Hewlett Packard Enterprise",54.68,1.46,+2.74%,52.72%,68417,+68.91%,14725,53692,550722
NB,"Niocorp Developments Ltd",5.45,0.09,+1.68%,14.79%,6283,+66.00%,2582,3701,94307
AXTI,"Axt Inc",73.81,-14.77,-16.67%,29.91%,51686,+65.63%,18487,33199,239287
COHR,"Coherent Corp",325.15,-53.98,-14.24%,73.94%,38687,+62.97%,20297,18390,217137
CDE,"Coeur Mining Inc",18.15,0.76,+4.37%,28.34%,35507,+62.53%,7918,27589,555171
PANW,"Palo Alto Networks",385.04,21.18,+5.82%,69.44%,48869,+62.36%,25804,23065,578903
FDX,"Fedex Corp",325.08,6.51,+2.04%,33.85%,7005,+62.08%,3529,3476,79205
LUV,"Southwest Airlines Company",44.9,-2.15,-4.57%,23.98%,16595,+60.23%,10395,6200,232389
WULF,"Terawulf Inc",16.2,-0.88,-5.15%,20.98%,304301,+60.13%,61907,242394,2572575
DOCU,"Docusign Inc",59.64,-0.62,-1.03%,70.64%,12663,+60.05%,4702,7961,147447
TGB,"Trekor Metals Limited",8.77,0.45,+5.41%,41.86%,5787,+59.25%,1477,4310,102542
ZTS,"Zoetis Inc Cl A",74.83,2.17,+2.99%,42.96%,10983,+56.54%,3670,7313,167594
RIOT,"Riot Platforms Inc",19.4,-1.12,-5.46%,63.75%,128107,+55.68%,49647,78460,758974
TEM,"Tempus AI Cl A",55.06,3.01,+5.78%,20.23%,30855,+54.21%,5322,25533,322408
PAAS,"Pan Amer Silver Corp",51.8,0.58,+1.13%,35.68%,11478,+53.29%,2516,8962,254605
JD,"Jd.com Inc ADR",33.47,0.5,+1.52%,41.45%,42189,+52.68%,19549,22640,960139
CLX,"Clorox Company",107.7,2.55,+2.43%,37.73%,10987,+51.54%,2160,8827,104130
GTLB,"Gitlab Inc Cl A",40.73,1.76,+4.52%,42.08%,8107,+50.88%,474,7633,213073
CRWD,"Crowdstrike Holdings",225.16,10.74,+5.01%,72.98%,106915,+50.13%,49590,57325,1293196
USAR,"USA Rare Earth Inc",19.04,-0.29,-1.50%,12.01%,48239,+50.06%,12725,35514,484925
F,"Ford Motor Company",14,0.02,+0.14%,32.08%,131232,+44.30%,32013,99219,1880343
MOS,"Mosaic Company",23.47,0.41,+1.78%,49.33%,13905,+44.26%,4851,9054,415280
KTOS,"Kratos Defense & Security Inc",62.42,1.65,+2.72%,40.66%,16583,+43.95%,3610,12973,141717
SBSW,"Sibanye Gold Ltd ADR",10.67,0.03,+0.28%,54.66%,6037,+43.74%,551,5486,206961
VRTX,"Vertex Pharmaceutic",523.91,27.84,+5.61%,21.18%,4910,+43.48%,1735,3175,49408
GIS,"General Mills",37.26,0.37,+1.00%,59.97%,10676,+43.21%,2885,7791,231836
CNQ,"Canadian Natural Resources",47.25,1.74,+3.82%,35.01%,5997,+42.08%,710,5287,136333
ASTS,"Ast Spacemobile Inc",68.76,-3.18,-4.42%,46.85%,186337,+40.09%,77992,108345,1121258
QUBT,"Quantum Computing Inc",8.93,-0.25,-2.72%,22.94%,40020,+39.89%,11807,28213,465113
EIX,"Edison International",67.83,-0.79,-1.15%,66.57%,7866,+38.22%,1215,6651,97700
COF,"Capital One Financial",218.97,1.21,+0.56%,21.01%,15117,+38.08%,3894,11223,150880
CAVA,"Cava Group Inc",61.58,-0.84,-1.35%,83.98%,12343,+37.43%,6999,5344,145768
TWLO,Twilio,250.06,8.78,+3.64%,39.43%,9027,+37.29%,2810,6217,90157
MDB,"Mongodb Inc Cl A",416.67,17.87,+4.48%,63.60%,16382,+36.36%,10732,5650,203894
MSFT,"Microsoft Corp",506.06,6.07,+1.21%,34.54%,1108753,+36.11%,338240,770513,4147885
PLTR,"Palantir Technologies Cl A",175.23,3.22,+1.87%,25.69%,803604,+34.93%,324437,479167,3574150
KGC,"Kinross Gold Corp",27.4,-0.24,-0.87%,49.31%,7251,+33.46%,2052,5199,188616
LAC,"Lithium Americas Corp",3.25,0.02,+0.62%,7.66%,12385,+33.46%,2206,10179,355146
AUR,"Aurora Innovation Inc Cl A",6.98,-0.08,-1.13%,2.33%,13264,+32.64%,881,12383,485014
AAOI,"Applied Optoelect",132.81,-2.82,-2.08%,48.01%,72168,+32.25%,26341,45827,269980
IOT,"Samsara Inc Cl A",39.86,-1.02,-2.50%,59.71%,10274,+30.96%,5972,4302,144001
IBRX,"Immunitybio Inc",7.49,-0.15,-1.96%,9.97%,16805,+30.94%,5585,11220,557918
V,"Visa Inc",361.32,-1.18,-0.33%,29.51%,38947,+30.73%,12752,26195,460739
PDD,"Pdd Holdings Inc",93,1.24,+1.35%,56.49%,38941,+30.12%,14200,24741,1057832
GRAB,"Grab Holdings Ltd Cl A",3.67,0.01,+0.27%,25.70%,32759,+30.00%,19313,13446,1513001
SHEL,"Shell Plc ADR",89.95,1.45,+1.64%,46.86%,14908,+29.52%,1367,13541,246079
SERV,"Serve Robotics Inc",4.92,-0.16,-3.24%,20.45%,15792,+29.09%,7243,8549,179486
IOVA,"Iovance Biotherapeutics Inc",6.4,0.06,+0.95%,7.32%,19629,+28.80%,9879,9750,271725
OKTA,"Okta Inc Cl A",150.77,2.45,+1.65%,85.37%,9968,+28.69%,5760,4208,190770
CVX,"Chevron Corp",194.91,8.35,+4.48%,63.70%,49761,+28.25%,13745,36016,544516
DVN,"Devon Energy Corp",45.36,2.38,+5.54%,48.74%,31205,+27.83%,10952,20253,552608
AGNC,"Agnc Investment Corp",10.76,-0.08,-0.74%,19.13%,33899,+26.82%,23021,10878,491299
CIFR,"Cipher Digital Inc",16.33,-0.85,-4.95%,21.24%,146436,+26.57%,35776,110660,1429565
TRIP,"Tripadvisor Inc",10.78,0,0.00%,20.72%,9638,+26.12%,2231,7407,242515
CMPS,"Compass Pathways Plc ADR",13.18,-0.36,-2.66%,0.00%,6102,+24.91%,4568,1534,147285
CMG,"Chipotle Mexican Grill",32.14,-0.65,-1.98%,33.36%,77885,+23.66%,30160,47725,842814
AMPX,"Amprius Technologies Inc",11.81,-0.04,-0.34%,20.30%,12329,+23.50%,2200,10129,348382
META,"META Platforms Inc",594.92,2.82,+0.48%,35.56%,704524,+22.94%,189811,514713,3171982
SOUN,"Soundhound AI Inc Cl A",7.46,-0.56,-6.98%,24.67%,88110,+22.58%,22741,65369,666220
GFS,"Globalfoundries Inc",50.05,-3.88,-7.19%,51.10%,9173,+22.52%,1962,7211,121410
DELL,"Dell Technologies Inc",457.88,4.11,+0.91%,87.72%,92257,+22.33%,43015,49242,644211
S,"Sentinelone Inc Cl A",22.23,0.83,+3.88%,56.50%,25695,+21.98%,3876,21819,273338
MRK,"Merck & Company",130.92,2.34,+1.82%,37.80%,27638,+21.94%,5950,21688,451732
FLY,"Firefly Aerospace Inc",25.76,-0.95,-3.56%,71.39%,14033,+21.76%,3549,10484,189179
HIVE,"Hive Digital Technologies Ltd",2.6,-0.24,-8.45%,23.25%,10315,+21.54%,1930,8385,325841
UEC,"Uranium Energy",11.38,0.12,+1.07%,18.00%,17613,+21.03%,10018,7595,223733
ZIM,"Zim Integrated Shipping Services Ltd",25.21,-1.69,-6.28%,13.50%,6798,+20.90%,3139,3659,225378
NCLH,"Norwegian Cruise Ord",18.55,-0.7,-3.64%,25.23%,23382,+20.48%,14869,8513,533218
CLOV,"Clover Health Investments Corp",4.57,-0.19,-3.99%,4.19%,20432,+20.22%,12865,7567,332200
AA,"Alcoa Corp",51.63,1.46,+2.91%,24.58%,22017,+20.16%,8705,13312,256802
NRG,"NRG Energy",118.91,0.78,+0.66%,44.47%,17187,+19.61%,1034,16153,171122
NEE,"Nextera Energy",84.7,0.05,+0.06%,4.01%,19419,+19.55%,7837,11582,461551
CVNA,"Carvana Company Cl A",74.16,3.31,+4.67%,22.26%,68182,+18.70%,20595,47587,1139204
BSX,"Boston Scientific Corp",50.46,1.15,+2.33%,50.86%,51292,+18.62%,34948,16344,933874
CELH,"Celsius Holdings Inc",27.21,-0.56,-2.02%,25.94%,51605,+18.62%,14592,37013,668491
DG,"Dollar General Corp",122.42,-4.17,-3.29%,65.92%,6164,+18.36%,2134,4030,87792
UAMY,"United States Antimony Corp",6.67,-0.18,-2.63%,3.33%,10570,+18.33%,3363,7207,232745
XOM,"Exxonmobil Holdings Corp",159.79,6.75,+4.41%,61.19%,80702,+16.71%,21145,59557,1002537
EXE,"Expand Energy Corporation",97.56,4.72,+5.08%,29.37%,11630,+16.64%,1622,10008,224256
LYFT,"Lyft Inc Cl A",17.26,-0.2,-1.15%,7.34%,29076,+16.25%,8372,20704,575844
SPCX,"SpaceX Corp",138.74,5.63,+4.23%,11.58%,1200567,+16.16%,502213,698354,4157523
STLA,"Stellantis N.V.",5.58,0.06,+1.09%,37.17%,10053,+16.07%,3081,6972,358975
MBLY,"Mobileye Global Inc Cl A",8.75,0.02,+0.23%,35.46%,11700,+16.06%,1914,9786,273912
PATH,"Uipath Inc Cl A",15.59,0.54,+3.59%,59.38%,51147,+15.71%,11513,39634,686367
BTG,"B2Gold Corp",5.06,0.03,+0.60%,8.40%,19527,+15.23%,3631,15896,682240
KEEL,"Keel Infrastructure Corp",3.4,-0.48,-12.37%,28.81%,53399,+14.73%,10670,42729,1062514
GLW,"Corning Inc",157.76,-7.92,-4.78%,63.05%,75284,+14.50%,32666,42618,581364
ELF,"E.L.F. Beauty Inc",95.24,-3.25,-3.30%,20.24%,11468,+14.42%,3957,7511,132396
VKTX,"Viking Thera",34.44,0.18,+0.53%,21.26%,10751,+14.40%,3653,7098,222358
IBKR,"Interactive Brokers",90.66,2.83,+3.22%,34.30%,7990,+14.37%,2876,5114,136502
COP,Conocophillips,123.03,5.42,+4.61%,38.80%,12430,+14.36%,4563,7867,296409
GAP,"Gap Inc",21.51,1.04,+5.08%,46.87%,7690,+14.35%,2371,5319,162167
ONDS,"Ondas Inc",9.31,0.2,+2.20%,38.88%,176105,+13.86%,32915,143190,1548638
HPQ,"HP Inc",29.8,-0.25,-0.83%,91.04%,30204,+13.86%,18094,12110,484878
APO,"Apollo Asset Management",132.02,4.58,+3.59%,28.19%,5878,+13.67%,2304,3574,258459
BHP,"Bhp Billiton Ltd ADR",90.61,0.2,+0.22%,67.11%,5606,+13.46%,2124,3482,180824
UBER,"UBER Technologies Inc",78.03,3.01,+4.01%,26.46%,132694,+13.43%,41557,91137,1264063
ETSY,"Etsy Inc",80.4,-5.15,-6.02%,31.98%,10592,+13.39%,6267,4325,173580
OSCR,"Oscar Health Inc Cl A",27.67,-0.23,-0.82%,12.64%,18974,+13.32%,11799,7175,511651
DKNG,"Draftkings Inc",24.27,0.24,+1.00%,45.41%,51326,+12.18%,11182,40144,950420
PINS,"Pinterest Inc",24.37,0.69,+2.91%,19.38%,18535,+11.76%,8598,9937,323634
SEDG,"Solaredge Tech",32.21,0.45,+1.42%,38.61%,10189,+11.72%,5660,4529,214120
LLY,"Eli Lilly and Company",1231.94,46.23,+3.90%,28.88%,55519,+10.14%,26899,28620,345715
GME,"Gamestop Corp",18.79,-0.37,-1.93%,24.69%,131960,+10.06%,21170,110790,2088197
CEG,"Constellation Energy Corp",270.43,0.54,+0.20%,17.88%,10360,+9.56%,4180,6180,218585
BX,"Blackstone Inc",141.66,4.53,+3.30%,30.61%,19662,+9.45%,8865,10797,460949
M,"Macy's Inc",24.9,-0.5,-1.97%,47.47%,7794,+9.44%,3424,4370,159347
GRRR,"Gorilla Technology Group Inc",13.49,0.34,+2.59%,29.25%,4897,+9.09%,3532,1365,116479
INTC,"Intel Corp",97.52,-4.13,-4.06%,46.65%,880706,+8.97%,388642,492064,5469221
SO,"Southern Company",91.34,-1.35,-1.46%,35.74%,5411,+8.83%,1761,3650,111483
EQNR,"Equinor ASA ADR",40.99,2.07,+5.32%,49.94%,5971,+8.76%,2863,3108,139889
POET,"Poet Technologies Inc",8.56,-0.35,-3.93%,36.98%,56478,+8.18%,10445,46033,1104955
DOMO,"Domo Inc Cl B",4.02,0.11,+2.81%,9.53%,5702,+7.73%,1,5701,148216
EQT,"Eqt Corp",54.08,2.39,+4.62%,9.29%,15211,+7.10%,5279,9932,319930
KKR,"KKR & Company LP",103.83,1.02,+0.99%,29.37%,10196,+6.27%,7432,2764,268215
AVAV,"Aerovironment Inc",189.15,2.42,+1.30%,52.38%,5821,+6.07%,2471,3350,61649
EOG,"Eog Resources",142.22,7.48,+5.55%,59.98%,5472,+5.66%,1536,3936,118580
VFC,"V.F. Corp",14.9,-0.09,-0.60%,12.97%,14492,+5.49%,7599,6893,580906
JOBY,"Joby Aviation Inc",8.81,0.17,+1.97%,11.31%,29421,+4.82%,7928,21493,446706
CPRT,"Copart Inc",29.59,-0.07,-0.24%,72.09%,4878,+4.75%,2316,2562,114382
SONY,"Sony Group Corp ADR",23.82,0.36,+1.53%,10.97%,5002,+4.60%,408,4594,139942
SMCI,"Super Micro Computer",31.46,0.33,+1.06%,72.85%,226173,+2.62%,65837,160336,2351005
AEM,"Agnico-Eagle Mines Ltd",180.48,1.66,+0.93%,56.02%,8618,+2.27%,3749,4869,178710
APP,"Applovin Corp Cl A",339,-7.8,-2.25%,23.58%,34015,+1.84%,14222,19793,297732
VG,"Venture Global Inc Cl A",14.26,1,+7.54%,49.36%,33164,+1.67%,12966,20198,801191
TTWO,"Take-Two Interactive",253.57,7.07,+2.87%,56.65%,15243,+1.63%,4121,11122,239885
WMB,"Williams Companies",71.85,1.45,+2.06%,66.53%,9439,+1.54%,7550,1889,376873
UUUU,"Energy Fuels Inc",14.29,0.15,+1.06%,0.00%,18957,+1.48%,6113,12844,456074
CHTR,"Charter Communications",153.29,0.72,+0.47%,40.14%,9512,+1.47%,5243,4269,217184
ASML,"ASML Holding NV",1733.48,-7.51,-0.43%,53.52%,23008,+1.22%,12953,10055,174276
NVDA,"Nvidia Corp",217.55,-6.41,-2.86%,31.90%,3695846,+1.06%,1480681,2215165,14080940
