Symbol,Name,Latest,Change,%Change,"Options Vol","P/C Vol","30D His Vol","Imp Vol","IV Rank","IV Pctl",Earnings
OKTA,"Okta Inc Cl A",143.24,-4.19,-2.84%,10100,0.93190512624331,51.80%,73.46%,91.10%,95%,2026-08-26
ROST,"Ross Stores Inc",235.28,-10.08,-4.11%,13444,1.4704152884969,24.97%,37.58%,89.92%,95%,2026-08-20
DE,"Deere & Company",599.92,-8.93,-1.47%,6313,2.5366946778711,30.00%,37.25%,81.61%,82%,2026-08-20
HPQ,"HP Inc",29.4,-0.71,-2.36%,21773,2.8673179396092,50.42%,57.18%,80.59%,91%,2026-08-26
INTU,"Intuit Inc",335.6,-10.06,-2.91%,8405,1.0351089588378,47.92%,58.27%,79.35%,78%,2026-08-25
TJX,"TJX Companies",150.85,-1.26,-0.83%,9909,0.63514851485149,19.66%,27.78%,79.10%,91%,2026-08-19
KR,"Kroger Company",56.07,-0.62,-1.09%,13135,1.9312653425575,26.97%,34.58%,78.80%,84%,2026-09-10
CPRT,"Copart Inc",31.7,0.09,+0.28%,8789,0.15736107453253,38.56%,42.52%,77.72%,94%,2026-09-03
ADBE,"Adobe Systems Inc",254.04,-9.98,-3.78%,33519,1.039364808956,51.42%,53.56%,77.51%,89%,2026-09-10
DELL,"Dell Technologies",479.81,-11.,-2.24%,87687,1.0732728046531,82.30%,79.47%,77.34%,86%,2026-09-03
DOCU,"Docusign Inc",59.82,-2.22,-3.58%,4958,0.61026307242611,59.19%,67.34%,77.33%,83%,2026-09-03
LOW,"Lowe's Companies",215.81,-2.66,-1.22%,7496,0.61031149301826,30.32%,33.93%,76.06%,84%,2026-08-19
FRO,"Frontline Plc",42.18,0.97,+2.35%,8110,0.29263627669748,39.00%,62.98%,75.83%,94%,2026-09-04
ZS,"Zscaler Inc",184.44,0.84,+0.46%,11431,0.58236434108527,48.84%,72.94%,74.41%,92%,2026-09-03
PCG,"Pacific Gas & Electric Company",17.5,-0.34,-1.91%,76555,0.35359018335485,24.31%,53.96%,73.01%,95%,2026-10-22
CRWD,"Crowdstrike Holdings",213.9,-3.05,-1.41%,48482,0.78426321213013,54.84%,61.25%,71.93%,88%,2026-08-26
DKS,"Dick's Sporting Goods Inc",196.24,-5.73,-2.84%,5149,0.60006215040398,35.09%,49.83%,71.34%,80%,2026-08-25
ULTA,"Ulta Beauty Inc",493.33,-17.42,-3.41%,6287,2.3317435082141,32.07%,48.85%,69.84%,92%,2026-08-27
MPC,"Marathon Petroleum",358.18,2.76,+0.78%,6071,0.24686794002875,39.16%,40.88%,69.42%,84%,2026-11-03
