Symbol,Name,Latest,Change,%Change,"IV Rank","IV Pctl","Options Vol","% Put","% Call","P/C Vol"
TSLA,"Tesla Inc",351.12,14.25,+4.23%,14.47%,7%,2937486,40.6%,59.4%,0.68321680164936
NVDA,"Nvidia Corp",217.56,-2.18,-0.99%,32.93%,50%,2676987,37.3%,62.7%,0.59492944622255
AAPL,"Apple Inc",316.83,6.8,+2.19%,48.77%,47%,1961426,31.0%,69.0%,0.44924745642488
AMZN,"Amazon.com Inc",265.84,6.39,+2.46%,21.87%,21%,999902,24.2%,75.8%,0.31867439133915
INTC,"Intel Corp",92.8,-3.88,-4.02%,33.07%,39%,932520,35.5%,64.5%,0.55158815993078
MU,"Micron Technology",937.1,-3.66,-0.39%,29.21%,27%,886827,41.2%,58.8%,0.70118357951276
MSTR,"Strategy Inc",104.25,11.73,+12.68%,32.20%,57%,789401,36.3%,63.7%,0.56886169231748
MSFT,"Microsoft Corp",484.31,2.68,+0.56%,27.00%,27%,745939,23.0%,77.0%,0.29793305528151
SPCX,"SpaceX Corp",139.65,-3.69,-2.57%,0.00%,0%,694450,38.2%,61.8%,0.61828172480006
META,"META Platforms",546.03,2.36,+0.43%,37.95%,55%,658302,35.7%,64.3%,0.55413119537657
MRNA,"Moderna Inc",174.38,111.42,+176.97%,100.00%,100%,622861,68.4%,31.6%,2.1632563926767
AMD,"Adv Micro Devices",466.42,-17.97,-3.71%,27.73%,25%,511694,45.3%,54.7%,0.82674135081199
AVGO,"Broadcom Ltd",362.48,-17.52,-4.61%,48.19%,58%,434152,45.5%,54.5%,0.83468280396896
PLTR,"Palantir Technologies Cl A",175.19,3.65,+2.13%,15.17%,7%,426643,38.4%,61.6%,0.62469392495783
GOOGL,"Alphabet Cl A",344.72,0.52,+0.15%,15.06%,9%,410807,26.4%,73.6%,0.35915395100777
NFLX,"Netflix Inc",80.22,2.45,+3.15%,27.18%,34%,386660,25.4%,74.6%,0.34001968476649
PFE,"Pfizer Inc",28.24,0.99,+3.63%,32.16%,39%,372325,30.5%,69.5%,0.43981082241205
NBIS,"Nebius Group N.V. Cl A",223.9,-24.53,-9.87%,24.50%,36%,345628,46.3%,53.7%,0.86100656360885
