Symbol,Name,Latest,Change,%Change,"IV Rank","IV Pctl","Options Vol","% Put","% Call","P/C Vol"
SPY,"SPDR S&P 500 ETF",763.47,-2.25,-0.29%,14.35%,25%,9602313,56.1%,43.9%,1.2777624382128
QQQ,"Invesco QQQ Trust",706.32,-7.12,-1.00%,34.32%,40%,7518752,52.1%,47.9%,1.0869312272554
IBIT,"Ishares Bitcoin Trust ETF",44.64,0.96,+2.20%,20.62%,59%,1538387,37.9%,62.1%,0.61153286521945
IWM,"Russell 2000 Ishares ETF",297.97,-1.99,-0.66%,7.22%,6%,930442,60.0%,40.0%,1.4975090458142
GLD,"Gold SPDR",426.69,3.33,+0.79%,44.67%,76%,929677,18.9%,81.1%,0.2334154127009
TLT,"20+ Year Treas Bond Ishares ETF",82.56,0.51,+0.62%,31.61%,55%,727066,38.2%,61.8%,0.6169346857716
SLV,"Silver Trust Ishares",62.2,-0.52,-0.83%,26.04%,48%,439350,21.4%,78.6%,0.27267039183822
SOXL,"Direxion Daily Semiconductor Bull 3X ETF",111.16,-9.44,-7.83%,39.38%,63%,360411,54.5%,45.5%,1.19547273713
EWZ,"Ishares MSCI Brazil ETF",35.17,0.11,+0.31%,16.41%,51%,316889,24.5%,75.5%,0.32474248352898
ETHA,"Ishares Ethereum Trust ETF",18.66,0.42,+2.30%,24.22%,37%,292117,24.0%,76.0%,0.31540387438421
DRAM,"Roundhill Memory ETF",54.28,-3.4,-5.89%,4.81%,3%,290411,29.9%,70.1%,0.42741075334352
TQQQ,"Ultrapro QQQ 3X ETF",69.01,-2.16,-3.03%,31.42%,34%,254997,45.2%,54.8%,0.82595899778734
SMH,"Vaneck Semiconductor ETF",546.8,-13.62,-2.43%,33.13%,41%,207064,63.2%,36.8%,1.7175536452523
GDX,"Vaneck Gold Miners ETF",103.54,0.71,+0.69%,71.49%,84%,144551,45.1%,54.9%,0.82182647711232
XLF,"S&P 500 Financials Sector SPDR",58.22,0.74,+1.29%,15.64%,19%,134691,53.4%,46.6%,1.1475995344165
HYG,"High Yield Corp Bond Ishares Iboxx $ ETF",79.7,0.09,+0.11%,1.77%,2%,125647,75.8%,24.2%,3.1287789169295
USO,"US Oil Fund",132.21,-2.43,-1.80%,16.92%,47%,120256,54.4%,45.6%,1.1921324145977
XLE,"S&P 500 Energy Sector SPDR",63.11,-0.53,-0.83%,54.61%,60%,115163,57.1%,42.9%,1.3317540342991
EEM,"Ishares MSCI Emerging Index Fund",66.11,-1.01,-1.50%,35.18%,51%,110959,63.5%,36.5%,1.7383085313788
TSLL,"Direxion Daily Tsla Bull 2X ETF",9.04,-0.73,-7.47%,13.71%,7%,94932,33.1%,66.9%,0.49572232113315
SQQQ,"Ultrapro Short QQQ -3X ETF",40.19,1.17,+3.00%,33.25%,37%,81173,13.2%,86.8%,0.15259989208531
KWEB,"KS CSI China Internet ETF",26.25,-0.41,-1.54%,28.93%,31%,74495,74.3%,25.7%,2.8848039215686
FXI,"China Largecap Ishares ETF",35.55,-0.31,-0.86%,6.65%,13%,74182,74.3%,25.7%,2.8940682414698
LQD,"Invst Grade Corp Bond Ishares Iboxx $ ETF",106.18,0.26,+0.25%,7.24%,61%,62005,75.4%,24.6%,3.0685695538058
KORU,"Direxion Daily South Korea Bull 3X ETF",18.76,-1.6,-7.86%,55.99%,50%,54521,30.3%,69.7%,0.43563209310899
DBA,"Invesco DB Agriculture Fund",28.3,-0.02,-0.07%,3.54%,26%,53090,1.0%,99.0%,0.01052591506938
SNXX,"Tradr 2X Long Sndk Daily ETF",13.05,-1.96,-13.06%,0.54%,1%,49341,31.9%,68.1%,0.46791419986315
SOXX,"Semiconductor Ishares ETF",506.18,-13.87,-2.67%,39.09%,59%,42021,70.4%,29.6%,2.3735549132948
DIA,"Dow Industrials SPDR",533.65,1.43,+0.27%,14.36%,22%,39751,49.8%,50.2%,0.99193225095209
EFA,"Ishares MSCI EAFE ETF",108.03,-0.21,-0.19%,23.15%,39%,36594,52.9%,47.1%,1.1211453744493
NVDL,"GraniteShares 2X Long NVDA Daily ETF",31.34,-1.95,-5.86%,55.91%,78%,36050,43.6%,56.4%,0.77202123476209
BITX,"Volatility 2X Bitcoin Strategy ETF",17.95,0.77,+4.48%,24.53%,58%,35600,41.9%,58.1%,0.72213622291022
SOXS,"Direxion Daily Semiconductor Bear 3X ETF",50.75,3.72,+7.91%,35.03%,59%,34342,37.0%,63.0%,0.58799593082401
XLI,"S&P 500 Industrial Sector SPDR",179,-1.25,-0.69%,33.33%,43%,31431,83.5%,16.5%,5.0759713899091
XBI,"S&P Biotech SPDR",164.17,-1.56,-0.94%,43.56%,69%,31430,69.4%,30.6%,2.2729355409768
VXX,"Ipath.B S&P 500 VIX Short-Term Futures ETN",18.96,0.01,+0.05%,13.42%,12%,30428,28.7%,71.3%,0.40208275734955
UNG,"US Natural Gas Fund",10.15,0.16,+1.60%,3.65%,3%,29305,21.1%,78.9%,0.26713365330566
XLB,"S&P 500 Materials Sector SPDR",53.58,0.04,+0.07%,17.08%,46%,29221,42.0%,58.0%,0.72385110023007
EWY,"Ishares MSCI South Korea ETF",173.64,-4.7,-2.64%,42.36%,53%,28794,46.8%,53.2%,0.8799947767041
IEF,"7-10 Year Treasury Bond Ishares ETF",93.01,0.19,+0.20%,16.55%,30%,28551,51.1%,48.9%,1.0441755566693
ARKK,"Ark Innovation ETF",83.92,-2.29,-2.66%,21.95%,17%,28275,43.6%,56.4%,0.77306076378002
XLK,"S&P 500 Technology Sector SPDR",180.05,-3.26,-1.78%,44.10%,54%,27231,69.1%,30.9%,2.2348538845331
MSOS,"Advisorshares Pure US Cannabis ETF",4.89,-0.07,-1.41%,8.21%,6%,26859,13.5%,86.5%,0.15592184541229
