Symbol,Name,Latest,Change,%Change,"IV Rank","IV Pctl","Options Vol","% Put","% Call","P/C Vol"
SPY,"SPDR S&P 500 ETF",777.88,5.39,+0.70%,10.80%,13%,12482810,48.7%,51.3%,0.94959403533531
QQQ,"Invesco QQQ Trust",732.07,8.37,+1.16%,29.42%,35%,7133157,47.7%,52.3%,0.91121448000463
IWM,"Russell 2000 Ishares ETF",303.5,0.79,+0.26%,0.12%,1%,1401632,55.6%,44.4%,1.2528879737812
TLT,"20+ Year Treas Bond Ishares ETF",82.59,0.48,+0.58%,18.16%,21%,772541,46.2%,53.8%,0.85815065494831
IBIT,"Ishares Bitcoin Trust ETF",35.88,-0.01,-0.03%,0.58%,1%,462991,36.8%,63.2%,0.58333532821504
DRAM,"Roundhill Memory ETF",56.93,2.13,+3.89%,11.89%,4%,429975,25.0%,75.0%,0.33391760253149
GLD,"Gold SPDR",398.96,-5.96,-1.47%,28.65%,33%,415388,40.3%,59.7%,0.67401335541773
HYG,"High Yield Corp Bond Ishares Iboxx $ ETF",79.79,0.18,+0.23%,0.47%,1%,414211,71.5%,28.5%,2.5133294316225
SOXL,"Direxion Daily Semiconductor Bull 3X ETF",145.36,3.2,+2.25%,43.33%,70%,289378,71.3%,28.7%,2.4822444976595
TQQQ,"Ultrapro QQQ 3X ETF",77.15,2.55,+3.42%,31.84%,36%,272727,50.1%,49.9%,1.0035041322314
SLV,"Silver Trust Ishares",58.16,-0.9,-1.52%,21.73%,28%,259545,24.5%,75.5%,0.3252166187561
XLF,"S&P 500 Financials Sector SPDR",58.26,0.34,+0.59%,70.62%,96%,239991,58.3%,41.7%,1.3972490535506
GDX,"Vaneck Gold Miners ETF",88.27,-2.69,-2.96%,43.63%,34%,216776,30.6%,69.4%,0.44181870182043
EWZ,"Ishares MSCI Brazil ETF",33.77,-0.09,-0.27%,29.65%,84%,193659,63.7%,36.3%,1.755182176443
SMH,"Vaneck Semiconductor ETF",589.12,4.29,+0.73%,36.93%,49%,172217,57.0%,43.0%,1.3272567567568
KWEB,"KS CSI China Internet ETF",26.85,-0.69,-2.51%,17.99%,7%,154953,56.0%,44.0%,1.2723046691694
IGV,"Ishares Expanded Tech-Software Sector ETF",106.28,3.2,+3.10%,49.53%,50%,154473,47.6%,52.4%,0.90747440820913
XLE,"S&P 500 Energy Sector SPDR",61.06,0.03,+0.05%,41.19%,48%,149096,49.0%,51.0%,0.96127334911865
EEM,"Ishares MSCI Emerging Index Fund",66.68,0.22,+0.33%,40.88%,58%,129147,67.3%,32.7%,2.0562273706132
FXI,"China Largecap Ishares ETF",34.86,-0.37,-1.05%,5.12%,8%,128749,76.6%,23.4%,3.2658957622345
USO,"US Oil Fund",125.03,-2.27,-1.78%,19.51%,53%,124315,38.5%,61.5%,0.62669126691267
TSLL,"Direxion Daily Tsla Bull 2X ETF",8.64,0.59,+7.33%,0.00%,1%,123400,19.8%,80.2%,0.24684247751844
ETHA,"Ishares Ethereum Trust ETF",14.23,0.07,+0.49%,1.51%,3%,106994,51.7%,48.3%,1.0698367252186
