Symbol,Name,Latest,%Change,"Imp Vol","IV Chg","30D His Vol",IV/HV,"IV Rank","IV Pctl","HV Rank","HV Pctl",Earnings,Time
SNXX,"Tradr 2X Long Sndk Daily ETF",15.66,-17.84%,167.06%,-4.90%,291.04%,0.5740241891149,0.09%,1%,78.51%,88%,N/A,2026-08-18
MUU,"Direxion Daily MU Bull 2X ETF",30.12,-13.97%,129.71%,+1.85%,188.83%,0.68693533866441,2.26%,2%,66.16%,81%,N/A,2026-08-18
AMDL,"GraniteShares 2X Long AMD Daily ETF",51.96,-8.79%,106.03%,-2.26%,152.09%,0.69715300151226,19.47%,21%,76.67%,61%,N/A,2026-08-18
SPCH,"Leverage Shares 2X Long Spcx Daily ETF",9.45,-3.87%,126.20%,-4.85%,177.95%,0.7091935937061,0.00%,0%,87.53%,47%,N/A,2026-08-18
TSLL,"Direxion Daily Tsla Bull 2X ETF",8.48,-1.51%,83.39%,+10.18%,116.22%,0.71749870934435,21.22%,18%,67.22%,91%,N/A,2026-08-18
USO,"US Oil Fund",130.66,+0.28%,43.25%,-4.94%,59.57%,0.72609199261373,17.07%,49%,63.00%,80%,2017-08-04,2026-08-18
RAM,"Roundhill T-Rex 2X Long Dram Daily Target ETF",12.07,-17.27%,141.50%,+3.69%,193.23%,0.73227759664648,11.42%,13%,16.71%,22%,2023-05-15,2026-08-18
METU,"Direxion Daily META Bull 2X ETF",17.93,-8.89%,71.28%,+3.11%,96.84%,0.73606774060306,36.92%,55%,82.72%,87%,N/A,2026-08-18
KORU,"Direxion Daily South Korea Bull 3X ETF",17.84,-24.21%,156.33%,+2.06%,211.29%,0.73990250366794,59.61%,62%,68.08%,79%,N/A,2026-08-18
DRAM,"Roundhill Memory ETF",55.1,-8.76%,72.21%,+2.00%,97.46%,0.74095321157398,15.11%,9%,57.71%,31%,2017-08-01,2026-08-18
ASHR,"Xt Harvest CSI 300 China A-Shares ETF",34.91,-0.82%,17.88%,-1.85%,24.01%,0.7445231153686,3.14%,3%,65.55%,87%,N/A,2026-08-18
SOXS,"Direxion Daily Semiconductor Bear 3X ETF",44.19,+15.20%,128.07%,+2.98%,169.23%,0.75675116705076,34.63%,59%,67.81%,81%,N/A,2026-08-18
EWY,"Ishares MSCI South Korea ETF",170.05,-8.13%,55.35%,+2.33%,70.74%,0.78245122985581,47.00%,62%,71.72%,79%,N/A,2026-08-18
SOXL,"Direxion Daily Semiconductor Bull 3X ETF",129.1,-14.80%,126.79%,+1.93%,157.62%,0.80441568328892,42.67%,69%,59.63%,80%,N/A,2026-08-18
SOXX,"Semiconductor Ishares ETF",531.39,-4.96%,43.19%,+0.81%,53.67%,0.8046692752003,42.74%,67%,60.34%,80%,N/A,2026-08-18
BOIL,"Ultra Bloomberg Natural Gas 2X ETF",19.62,+5.03%,55.49%,+4.10%,66.21%,0.83808035040024,2.94%,2%,3.98%,22%,N/A,2026-08-18
BNO,"US Brent Oil",52.11,+0.27%,49.94%,-3.44%,58.87%,0.84838457618481,26.95%,54%,68.78%,81%,N/A,2026-08-18
TQQQ,"Ultrapro QQQ 3X ETF",72.53,-5.07%,56.85%,+1.67%,65.87%,0.86302110217094,31.70%,35%,62.68%,81%,N/A,2026-08-18
SMH,"Vaneck Semiconductor ETF",569.77,-4.09%,38.77%,+1.62%,44.73%,0.8667270288397,37.48%,51%,58.20%,80%,N/A,2026-08-18
XLK,"S&P 500 Technology Sector SPDR",185.62,-2.47%,26.91%,+0.52%,30.55%,0.88077250409165,42.16%,51%,65.80%,80%,N/A,2026-08-18
SQQQ,"Ultrapro Short QQQ -3X ETF",38.28,+5.11%,60.32%,+2.74%,68.14%,0.88523627825066,35.02%,41%,67.07%,81%,N/A,2026-08-18
ARKK,"Ark Innovation ETF",79.15,-3.18%,32.73%,-0.09%,36.87%,0.88762137238948,5.93%,2%,57.02%,46%,N/A,2026-08-18
QQQ,"Invesco QQQ Trust",717.51,-1.69%,19.85%,+1.09%,22.30%,0.89026905829596,33.64%,39%,63.57%,81%,N/A,2026-08-18
GDX,"Vaneck Gold Miners ETF",88.95,-3.20%,42.42%,-1.17%,45.91%,0.92393596166413,42.69%,30%,48.33%,38%,N/A,2026-08-18
XLV,"S&P 500 Healthcare Sector SPDR",169.73,+1.60%,15.67%,-3.52%,16.44%,0.95320559610706,34.66%,27%,56.98%,78%,N/A,2026-08-18
EEM,"Ishares MSCI Emerging Index Fund",65.34,-2.94%,25.43%,-0.25%,26.66%,0.95392723180795,40.07%,55%,59.46%,62%,N/A,2026-08-18
XOP,"S&P Oil & Gas Expl & Prod SPDR",185.35,+1.09%,30.28%,-0.35%,31.73%,0.95432713520328,42.07%,45%,64.65%,80%,N/A,2026-08-18
GLD,"Gold SPDR",398.55,-1.71%,21.88%,-0.92%,22.81%,0.95933800964489,28.98%,34%,28.59%,45%,N/A,2026-08-18
NVDL,"GraniteShares 2X Long NVDA Daily ETF",34.92,-4.77%,75.85%,-0.43%,78.80%,0.96251776649746,32.21%,42%,69.69%,73%,1969-12-31,2026-08-18
XLY,"S&P 500 Cons Disc Sector SPDR",116.36,-0.33%,21.56%,+1.45%,22.10%,0.97578280542986,28.11%,45%,73.58%,82%,N/A,2026-08-18
UNG,"US Natural Gas Fund",10.1,+2.75%,34.12%,+0.21%,34.45%,0.99043831640058,3.19%,2%,1.68%,8%,N/A,2026-08-18
"Downloaded from Barchart.com as of 08-18-2026 08:29pm CDT"
