Symbol,Name,Latest,Change,%Change,"IV Rank","IV Pctl","Options Vol","% Put","% Call","P/C Vol"
UNG,"US Natural Gas Fund",10.01,0,0.00%,5.83%,4%,24988,26.5%,73.5%,0.36107631134593
ETHU,"Volatility Shares 2X Ether ETF",23.61,4.13,+21.20%,22.22%,26%,24834,43.2%,56.8%,0.76165141519472
XLU,"S&P 500 Utilities Sector SPDR",43.77,-0.25,-0.57%,8.23%,20%,24147,24.3%,75.7%,0.32167487684729
XLV,"S&P 500 Healthcare Sector SPDR",172.39,-3.29,-1.87%,61.97%,83%,23608,50.1%,49.9%,1.0035644572689
SPCH,"Leverage Shares 2X Long Spcx Daily ETF",8.2,-0.74,-8.28%,1.40%,2%,23526,48.8%,51.2%,0.95479850436228
MSOS,"Advisorshares Pure US Cannabis ETF",4.74,-0.02,-0.42%,13.85%,15%,23475,3.0%,97.0%,0.030825978131998
SOXS,"Direxion Daily Semiconductor Bear 3X ETF",46.25,-0.8,-1.70%,36.93%,63%,22377,37.2%,62.8%,0.59334947308459
AGQ,"Ultra Silver 2X ETF",87.65,4.52,+5.44%,25.88%,43%,19947,35.4%,64.6%,0.54904092568145
CONL,"GraniteShares 2X Long COIN Daily ETF",5.38,0.73,+15.70%,38.77%,44%,18692,16.8%,83.2%,0.20159424016457
IGV,"Ishares Expanded Tech-Software Sector ETF",101.91,-0.9,-0.88%,39.73%,42%,17524,38.8%,61.2%,0.63454901595
MUU,"Direxion Daily MU Bull 2X ETF",32.1,2.28,+7.65%,6.12%,6%,17224,28.8%,71.2%,0.40409228010108
XLI,"S&P 500 Industrial Sector SPDR",179.77,-2.18,-1.20%,26.13%,31%,16820,77.5%,22.5%,3.4473823373876
UVIX,"vs TR 2X Long VIX Futures ETF",44.83,0.77,+1.75%,5.93%,6%,16653,25.7%,74.3%,0.34558823529412
NVDL,"GraniteShares 2X Long NVDA Daily ETF",34.04,-0.19,-0.56%,36.44%,51%,15423,42.8%,57.2%,0.74844121981635
BNO,"US Brent Oil",53.49,1.17,+2.24%,27.33%,54%,15237,20.9%,79.1%,0.26427149020909
SVIX,"vs TR Short VIX -1X Futures ETF",26.7,-0.23,-0.85%,12.11%,11%,15195,22.4%,77.6%,0.28946028513238
TNA,"Small Cap Bull 3X ETF",71.59,-2.95,-3.96%,11.81%,9%,15032,46.7%,53.3%,0.87735731235169
