Symbol,Name,Latest,Change,%Change,"IV Rank","IV Pctl","Options Vol","% Put","% Call","P/C Vol"
NVDA,"Nvidia Corp",225.3,1.21,+0.54%,26.38%,37%,2423279,34.1%,65.9%,0.51853553076827
TSLA,"Tesla Inc",339.96,12.45,+3.80%,1.60%,1%,2031625,34.7%,65.3%,0.53028059318357
SPCX,"SpaceX Corp",141.29,-4.86,-3.33%,0.00%,0%,1223109,45.0%,55.0%,0.81691226714995
MU,"Micron Technology",949.83,38.54,+4.23%,36.08%,36%,1032567,41.3%,58.7%,0.70259668307869
AAPL,"Apple Inc",305.26,3.01,+1.00%,40.52%,27%,880930,29.6%,70.4%,0.41980830258987
INTC,"Intel Corp",104.56,3.61,+3.58%,44.31%,56%,863964,38.9%,61.1%,0.63666742441464
SMCI,"Super Micro Computer",39.16,1.55,+4.12%,49.63%,55%,843578,21.3%,78.7%,0.27089667141734
NFLX,"Netflix Inc",78.24,4.03,+5.43%,28.52%,36%,681066,27.5%,72.5%,0.38010650714911
PLTR,"Palantir Technologies Cl A",179.01,7.97,+4.66%,18.94%,12%,625664,35.3%,64.7%,0.54526526892423
AMZN,"Amazon.com Inc",265.13,-2.15,-0.80%,20.57%,20%,600649,28.0%,72.0%,0.38922386975759
MSTR,"Strategy Inc",97.1,2.27,+2.39%,24.38%,29%,559556,27.8%,72.2%,0.38427208676377
HTZ,"Hertz Global Holdings Inc",2.35,-0.45,-16.25%,59.82%,93%,548169,26.1%,73.9%,0.35244178644916
IREN,"Iren Limited",44.76,1.09,+2.50%,20.87%,11%,518117,31.3%,68.7%,0.45473510426523
MSFT,"Microsoft Corp",496.88,4.45,+0.90%,28.12%,29%,442686,33.6%,66.4%,0.50516129909694
NBIS,"Nebius Group N.V. Cl A",255.04,-4.16,-1.60%,30.96%,53%,442437,45.6%,54.4%,0.839532505114
SNDK,"Sandisk Corp",1528.11,183.82,+13.67%,36.07%,17%,441814,38.7%,61.3%,0.63168274415375
META,"META Platforms Inc",594.97,16.12,+2.78%,32.29%,45%,392027,28.0%,72.0%,0.38962954035497
CRWV,"Coreweave Cl A",106.29,-1.44,-1.34%,13.95%,6%,390549,35.1%,64.9%,0.54165498892753
SOFI,"Sofi Technologies Inc",18.43,0.49,+2.73%,5.92%,2%,378181,25.3%,74.7%,0.33920104251876
ORCL,"Oracle Corp",156.22,2.94,+1.92%,64.69%,81%,364318,32.9%,67.1%,0.49102889416387
ONDS,"Ondas Inc",8.91,-0.86,-8.80%,0.00%,0%,358908,16.6%,83.4%,0.19920611584828
GOOGL,"Alphabet Cl A",346.36,2.82,+0.82%,16.42%,8%,350788,28.3%,71.7%,0.39445062808078
CSCO,"Cisco Systems Inc",113.47,-10.41,-8.40%,36.17%,47%,343555,36.9%,63.1%,0.58448787957053
AMD,"Adv Micro Devices",483.01,0.08,+0.02%,32.06%,37%,320803,46.0%,54.0%,0.85126003381634
MARA,"Mara Holdings Inc",9.21,-0.43,-4.46%,30.12%,16%,307925,17.6%,82.4%,0.21403338616453
NOK,"Nokia Corp ADR",10.56,0.24,+2.33%,50.01%,67%,299463,16.8%,83.2%,0.20205438211989
SKHY,"SK hynix Inc",165.67,11.26,+7.29%,2.51%,4%,276002,48.9%,51.1%,0.95711398688176
HOOD,"Robinhood Markets Cl A",99.37,4.46,+4.70%,24.38%,17%,274161,33.4%,66.6%,0.50070612191277
MRVL,"Marvell Technology Inc",222.18,5.1,+2.35%,56.91%,74%,210283,29.2%,70.8%,0.4117216609043
NU,"NU Holdings Ltd Cl A",13.93,0.37,+2.73%,56.15%,57%,205507,45.8%,54.2%,0.84413754733574
COIN,"Coinbase Global Cl A",153.9,4.86,+3.26%,29.74%,33%,183679,26.5%,73.5%,0.35994047266481
WULF,"Terawulf Inc",16.31,-0.88,-5.12%,16.34%,10%,172993,13.3%,86.7%,0.15288699917362
CIFR,"Cipher Digital Inc",16.62,-1.25,-6.99%,9.81%,7%,170092,25.0%,75.0%,0.33305119282736
RIOT,"Riot Platforms Inc",19.21,-1.11,-5.46%,38.59%,49%,159844,44.6%,55.4%,0.80402690623448
AMAT,"Applied Materials",534.54,-13.61,-2.48%,56.25%,84%,158208,50.2%,49.8%,1.008174456094
CBRS,"Cerebras Systems Cl A",231.01,-31.05,-11.85%,14.41%,3%,155405,57.9%,42.1%,1.377568349066
TTD,"Trade Desk Inc",14.56,1.07,+7.93%,34.34%,31%,154065,25.1%,74.9%,0.33515612136128
NOW,"Servicenow Inc",127.25,2.31,+1.85%,53.32%,65%,152198,23.0%,77.0%,0.29951587701398
BABA,"Alibaba Group Holding ADR",122.16,-3.06,-2.44%,54.32%,49%,152197,30.2%,69.8%,0.43354871524376
ACHR,"Archer Aviation Inc",6.97,0.68,+10.81%,31.50%,44%,149083,12.7%,87.3%,0.14516265314744
GOOG,"Alphabet Cl C",343.94,1.57,+0.46%,14.96%,10%,147847,32.4%,67.6%,0.47891367410223
WBD,"Discovery Inc Series A",27.75,0.1,+0.36%,10.85%,25%,144527,68.9%,31.1%,2.2158559921677
DELL,"Dell Technologies Inc",494.51,10.01,+2.07%,80.06%,88%,140257,46.6%,53.4%,0.87359070264494
JD,"Jd.com Inc ADR",29.3,-2.31,-7.31%,21.70%,13%,137281,48.3%,51.7%,0.93329014631948
AVGO,"Broadcom Ltd",417.82,1.77,+0.43%,46.72%,54%,135544,49.3%,50.7%,0.97152041424852
BP,"BP Plc ADR",42.83,-0.1,-0.23%,40.95%,38%,131046,2.3%,97.7%,0.023221313011431
BAC,"Bank of America Corp",64.09,-0.72,-1.11%,2.14%,1%,129426,54.9%,45.1%,1.2174136513158
OPEN,"Opendoor Technologies Inc",3.65,0.16,+4.58%,4.29%,6%,126627,12.7%,87.3%,0.1455724831729
VALE,"Vale S.A. ADR",13.8,-0.62,-4.30%,9.50%,25%,125991,61.5%,38.5%,1.5987170496267
