Symbol,Name,Latest,Change,%Change,"IV Rank","IV Pctl","Options Vol","% Put","% Call","P/C Vol"
NVDA,"Nvidia Corp",208.48,-6.24,-2.91%,40.83%,64%,3442576,39.5%,60.5%,0.6520109219865
TSLA,"Tesla Inc",348.95,-13.91,-3.83%,11.79%,6%,2944132,42.9%,57.1%,0.7520621811363
AAPL,"Apple Inc",310.34,0.99,+0.32%,48.72%,45%,1183867,29.1%,70.9%,0.41052916274974
MU,"Micron Technology",910.43,-56.35,-5.83%,29.76%,31%,1132930,43.1%,56.9%,0.75736884068537
AMZN,"Amazon.com Inc",262.07,3.44,+1.33%,24.81%,27%,834502,31.7%,68.3%,0.46348657962348
INTC,"Intel Corp",87.26,-2.81,-3.12%,30.50%,35%,816923,36.5%,63.5%,0.57392358140861
SPCX,"SpaceX Corp",135,-1.97,-1.44%,0.00%,0%,627057,42.6%,57.4%,0.7416459974947
META,"META Platforms",559.02,9.12,+1.66%,37.61%,54%,609623,26.2%,73.8%,0.35466359123413
GOOGL,"Alphabet Cl A",348.06,3.24,+0.94%,16.94%,11%,465903,25.8%,74.2%,0.34854379048645
MSTR,"Strategy Inc",122.63,3.38,+2.83%,37.77%,70%,457336,37.1%,62.9%,0.58925797607092
MSFT,"Microsoft Corp",487.31,4.07,+0.84%,28.20%,27%,450304,39.5%,60.5%,0.65396058150725
MCHP,"Microchip Technology",74.21,-1.87,-2.46%,27.29%,33%,433477,1.0%,99.0%,0.010101551467813
AMD,"Adv Micro Devices",456.74,-16.51,-3.49%,27.54%,24%,432495,55.0%,45.0%,1.223807613994
PBR,"Petroleo Brasileiro S.A. Petrobras ADR",18.6,-0.55,-2.87%,10.61%,42%,414579,10.1%,89.9%,0.11261429296033
PLTR,"Palantir Technologies Cl A",175.89,-4.05,-2.25%,18.12%,12%,335888,40.5%,59.5%,0.68070052539405
WMT,"Walmart Inc",106.49,2.79,+2.69%,22.81%,26%,329457,17.7%,82.3%,0.2149732265345
SOFI,"Sofi Technologies Inc",18.24,-0.67,-3.54%,10.32%,6%,311699,33.8%,66.2%,0.51074049301577
BABA,"Alibaba Group Holding ADR",118.47,-0.87,-0.73%,43.16%,33%,261965,23.0%,77.0%,0.29831543368042
AVGO,"Broadcom Ltd",358.76,-9.69,-2.63%,49.96%,62%,248149,51.7%,48.3%,1.072329302512
BMNR,"Bitmine Immersion Technologies",24.14,1.31,+5.74%,23.02%,29%,245205,28.7%,71.3%,0.4019244622826
SNDK,"Sandisk Corp",1493.12,-102.96,-6.45%,27.01%,8%,225976,43.4%,56.6%,0.76716324535679
SMCI,"Super Micro Computer",35.17,-2.07,-5.56%,33.41%,30%,213422,20.4%,79.6%,0.25650264344672
HOOD,"Robinhood Markets Cl A",103.62,-4.51,-4.17%,30.55%,31%,200735,30.2%,69.8%,0.43233793570944
