Symbol,Name,Latest,%Change,"Imp Vol","IV Chg","30D His Vol",IV/HV,"IV Rank","IV Pctl","HV Rank","HV Pctl",Earnings
PCG,"Pacific Gas & Electric Company",17.5,-1.91%,53.96%,+1.47%,24.31%,2.2198231180584,73.01%,95%,32.20%,37%,2026-10-22
SNOW,"Snowflake Cl A",330.11,+0.36%,68.42%,+1.91%,33.11%,2.0664572636666,67.27%,82%,1.96%,4%,2026-09-02
RILY,"Brc Group Holdings Inc",7.11,-4.56%,76.51%,+0.21%,42.09%,1.817840342124,1.56%,4%,0.04%,0%,2027-01-13
ABVX,"Abivax Sa ADR",120.73,+1.49%,64.63%,-2.35%,35.82%,1.8043997766611,15.31%,15%,1.19%,15%,2026-09-14
AI,"C3.Ai Inc Cl A",9.7,-2.32%,79.93%,+3.88%,44.80%,1.7840736607143,54.76%,75%,8.89%,11%,2026-09-02
NIO,"Nio Inc ADR",4.6,+1.77%,53.97%,-0.86%,30.70%,1.7579413680782,13.07%,5%,0.00%,0%,2026-09-01
LULU,"Lululemon Athletica",115.74,-3.19%,56.07%,+0.84%,32.07%,1.7485157468039,53.93%,70%,7.01%,4%,2026-09-03
KLAR,"Klarna Group Plc",19.51,-6.16%,84.98%,-3.32%,50.23%,1.6917837945451,53.96%,61%,10.84%,23%,2026-08-18
TGT,"Target Corp",151.01,-2.25%,41.00%,+0.50%,24.65%,1.6633144016227,50.48%,69%,30.08%,11%,2026-08-19
XPEV,"Xpeng Inc ADR",12.2,+4.27%,63.28%,+6.42%,38.36%,1.6497106360792,60.38%,73%,2.55%,1%,2026-08-24
AS,"Amer Sports Inc",32.57,-0.91%,59.32%,+1.53%,36.79%,1.6124626257135,62.12%,78%,38.67%,31%,2026-08-18
BIDU,"Baidu Inc ADR",104.12,+0.43%,50.94%,+1.56%,32.51%,1.5670286065826,54.01%,55%,7.30%,4%,2026-08-18
WMT,"Walmart Inc",114.33,-0.82%,29.96%,+0.78%,19.26%,1.5555919003115,62.43%,78%,30.37%,12%,2026-08-20
BULL,"Webull Corp Cl A",8.16,+1.49%,70.55%,+0.06%,45.65%,1.5455202628697,21.94%,38%,12.03%,8%,2026-08-19
PL,"Planet Labs Pbc",24.38,-1.26%,100.65%,+4.20%,65.23%,1.5430323470796,44.47%,51%,23.77%,10%,2026-09-03
SLS,"Sellas Life Sciences Group Inc",13,+1.72%,128.56%,-9.26%,85.52%,1.5033208606174,22.26%,31%,36.07%,39%,2026-11-11
ZS,"Zscaler Inc",184.44,+0.46%,72.94%,+1.90%,48.84%,1.4933906633907,74.41%,92%,22.28%,53%,2026-09-03
LQDA,"Liquidia Corp",77.7,+4.38%,106.88%,-0.65%,72.07%,1.482961010129,30.15%,40%,67.55%,85%,2026-11-02
UTHR,"United Therapeutic",508.48,+1.75%,31.15%,+3.13%,21.80%,1.4289587155963,4.85%,7%,7.87%,32%,2026-11-04
MDB,"Mongodb Inc Cl A",438.7,-4.70%,81.07%,+1.90%,58.88%,1.3769055706522,69.02%,87%,38.85%,43%,2026-09-01
STLA,"Stellantis N.V.",5.12,-4.48%,49.89%,+4.51%,36.66%,1.3608865248227,44.44%,51%,5.50%,9%,2026-10-29
PDD,"Pdd Holdings Inc",86.94,+2.54%,41.19%,+1.19%,30.63%,1.3446490368919,67.14%,80%,31.27%,42%,2026-08-24
AFRM,"Affirm Holdings Inc Cl A",74.52,-4.89%,64.72%,-4.52%,48.44%,1.3361023947151,37.46%,42%,20.90%,4%,2026-08-27
RXRX,"Recursion Pharmaceuticals Inc Cl A",3.11,-1.58%,73.80%,+7.27%,55.25%,1.3357031674208,7.43%,6%,14.47%,19%,2026-11-04
NN,"Nextnav Inc",19.2,-3.49%,100.98%,-1.08%,76.16%,1.3258797268908,38.49%,41%,44.89%,65%,2026-11-05
LAES,"Sealsq Corp",2.9,-3.65%,80.27%,-4.72%,60.73%,1.3216746253911,0.00%,0%,9.29%,13%,2026-06-30
GRAB,"Grab Holdings Ltd Cl A",3.58,-1.10%,50.14%,+5.12%,38.44%,1.3044016649324,28.36%,43%,64.64%,65%,2026-11-03
NUAI,"New Era Energy & Digital Inc",5.46,+7.69%,167.80%,-3.33%,129.64%,1.2943227398951,49.42%,51%,18.61%,38%,2026-08-14
HPE,"Hewlett Packard Enterprise",57.61,-1.87%,73.13%,+0.12%,57.05%,1.2818790534619,47.02%,89%,53.62%,79%,2026-09-02
PATH,"Uipath Inc Cl A",15.99,-0.12%,84.94%,+5.92%,66.42%,1.2789024390244,67.31%,80%,59.29%,76%,2026-09-03
SPCE,"Virgin Galactic Holdings Inc",3.13,-5.72%,87.02%,-3.40%,68.74%,1.265890311318,1.12%,1%,14.73%,36%,2026-11-12
PLUG,"Plug Power Inc",2.28,-1.72%,76.20%,-9.95%,60.28%,1.2640776376908,0.00%,0%,9.53%,8%,2026-11-09
NXE,"Nexgen Energy Ltd",10.75,+3.46%,60.40%,+3.20%,47.81%,1.2634176950429,13.25%,10%,35.93%,20%,2026-11-04
SOC,"Sable Offshore Corp",4.02,-3.13%,124.52%,-1.72%,99.20%,1.255252016129,38.29%,33%,20.85%,31%,2026-11-12
MSTR,"Strategy Inc",97.68,+4.99%,68.39%,+2.35%,54.48%,1.255231277533,25.92%,34%,15.02%,15%,2026-10-29
BYND,"Beyond Meat Inc",11.63,-13.66%,123.00%,+123.00%,98.47%,1.2491215598659,9.67%,12%,11.56%,51%,2026-11-09
ASST,"Strive Inc",13.2,+7.19%,85.81%,-0.67%,69.15%,1.2408980477223,0.84%,2%,1.84%,0%,2026-11-09
INTU,"Intuit Inc",335.6,-2.91%,58.27%,-0.03%,47.92%,1.2159411519199,79.35%,78%,44.76%,57%,2026-08-25
LUMN,"Lumen Technologies Inc",6.58,-2.08%,66.91%,+7.40%,55.64%,1.2026168224299,20.35%,11%,18.47%,13%,2026-10-29
INDI,"Indie Semiconductor Cl A",4.71,0.00%,119.78%,-9.35%,100.45%,1.1924240915879,64.32%,84%,75.86%,87%,2026-11-05
S,"Sentinelone Inc Cl A",21.82,-5.58%,64.52%,+1.69%,54.84%,1.1765773158279,55.42%,73%,84.68%,85%,2026-08-27
PANW,"Palo Alto Networks",375.76,-2.21%,59.16%,+1.35%,50.34%,1.1751430274136,64.12%,86%,76.63%,80%,2026-09-01
DGXX,"Digi Power X Inc",3.88,-2.27%,104.45%,+0.63%,88.93%,1.1744743056336,0.42%,1%,18.66%,14%,2026-08-14
PCT,"Purecycle Technologies Inc",7.22,+3.88%,93.16%,+5.53%,80.56%,1.1568533465789,59.15%,50%,57.50%,58%,2026-11-05
TMC,"Tmc The Metals Company",3.77,-5.99%,85.99%,-8.26%,74.46%,1.154910018802,4.33%,2%,26.23%,29%,2026-11-12
LUNR,"Intuitive Machines Inc",20.38,+7.21%,98.20%,+5.90%,85.40%,1.149868852459,42.37%,21%,47.18%,24%,2026-11-12
RUM,"Rum Group Inc",8.24,+10.46%,80.56%,+4.40%,71.38%,1.1285794340151,10.47%,61%,52.25%,62%,2026-11-09
"Downloaded from Barchart.com as of 08-17-2026 08:06pm CDT"
