Symbol,Name,Latest,Change,%Change,"IV Rank","Options Vol","1M Vol %Chg","Put Vol","Call Vol","Total OI"
PHVS,"Pharvaris N.V.",34.91,0.46,+1.34%,33.35%,9013,"+2,082.32%",6005,3008,1609
GSM,"Ferroglobe Plc Os",4.49,0.36,+8.72%,35.11%,13750,"+1,681.09%",84,13666,11665
QNST,"Quinstreet Inc",21.08,5.86,+38.50%,18.31%,5090,"+1,485.67%",389,4701,10987
OMF,"Onemain Holdings Inc",64.95,-0.08,-0.12%,8.47%,15425,"+1,356.56%",65,15360,25781
GMAB,"Genmab A/S ADR",31.25,1.42,+4.76%,43.61%,14590,"+1,293.51%",739,13851,66162
UAN,"Cvr Partners LP",126.57,0.07,+0.06%,63.94%,14245,"+1,217.76%",39,14206,10381
BL,"Blackline Inc",29.55,-0.45,-1.50%,70.22%,6096,"+1,172.65%",6014,82,39937
PUBM,"Pubmatic Inc Cl A",17.78,4.3,+31.90%,41.42%,13220,"+1,169.93%",11076,2144,17153
NVST,"Envista Holdings Corp",28.15,0.77,+2.81%,23.01%,5006,"+1,148.38%",2500,2506,14381
DOCS,"Doximity Inc Cl A",27.4,6.74,+32.62%,48.48%,76048,"+1,137.76%",28742,47306,73758
ARDX,"Ardelyx Inc",4,-0.87,-17.86%,15.12%,25140,"+1,025.84%",21269,3871,59962
NTGR,"Netgear Inc",23.67,-0.63,-2.59%,32.49%,10078,"+1,018.53%",1037,9041,10753
CON,"Concentra Group Holdings Parent Inc",34.06,3.52,+11.53%,11.32%,10737,"+1,012.64%",658,10079,1757
FF,"Futurefuel Corp",5.09,-0.12,-2.30%,21.51%,7863,"+1,010.59%",76,7787,17472
GRAL,"Grail Inc",69.48,6.08,+9.59%,21.18%,9492,+960.56%,5794,3698,19897
BWIN,"The Baldwin Insurance Group Inc",29.54,0.94,+3.29%,15.70%,6782,+816.49%,7,6775,2919
ABAT,"American Battery Technology Co.",2.61,0.22,+9.21%,19.32%,17232,+809.82%,331,16901,73503
URBN,"Urban Outfitters Inc",76.92,-0.75,-0.97%,32.77%,18631,+784.24%,17527,1104,15786
