Symbol,Name,Latest,Change,%Change,"IV Rank","IV Pctl","Options Vol","% Put","% Call","P/C Vol"
TSLA,"Tesla Inc",342.27,2.31,+0.68%,5.72%,2%,4419292,37.6%,62.4%,0.602962982308
NVDA,"Nvidia Corp",225.16,-0.14,-0.06%,25.47%,34%,3288442,35.0%,65.0%,0.53800484724445
SPCX,"SpaceX Corp",140,-1.29,-0.91%,0.00%,0%,1340363,44.9%,55.1%,0.8136738327975
MU,"Micron Technology",971.66,21.83,+2.30%,34.72%,33%,1159785,42.2%,57.8%,0.73054971552546
AAPL,"Apple Inc",305.93,0.67,+0.22%,35.27%,20%,1043059,28.5%,71.5%,0.39768343389921
AMD,"Adv Micro Devices",514.39,31.38,+6.50%,35.98%,47%,902111,37.2%,62.8%,0.59112852161429
AMZN,"Amazon.com Inc",262.65,-2.48,-0.94%,16.97%,16%,723660,37.3%,62.7%,0.59395773586901
INTC,"Intel Corp",102.5,-2.06,-1.97%,38.71%,50%,708675,32.3%,67.7%,0.47804749857654
AVGO,"Broadcom Ltd",392.99,-24.83,-5.94%,44.35%,49%,621239,40.3%,59.7%,0.67569557770375
PLTR,"Palantir Technologies Cl A",174.04,-4.97,-2.78%,10.77%,4%,574475,49.6%,50.4%,0.98327349306083
MSTR,"Strategy Inc",93.04,-4.06,-4.18%,22.71%,24%,559984,37.7%,62.3%,0.60580860508597
SNDK,"Sandisk Corp",1641.11,113,+7.39%,32.70%,12%,535546,39.4%,60.6%,0.65036270962891
NBIS,"Nebius Group N.V. Cl A",277.68,22.64,+8.88%,32.48%,56%,518639,44.3%,55.7%,0.79538137734791
SMCI,"Super Micro Computer",39.84,0.68,+1.74%,44.01%,45%,500565,22.3%,77.7%,0.28724290629677
MSFT,"Microsoft Corp",495.4,-1.48,-0.30%,24.59%,27%,467279,36.7%,63.3%,0.57940829522371
GOOGL,"Alphabet Cl A",345.9,-0.46,-0.13%,11.95%,6%,452526,26.6%,73.4%,0.36163157720534
META,"META Platforms Inc",589.85,-5.12,-0.86%,29.33%,38%,451919,31.8%,68.2%,0.46652669427173
XOM,"Exxonmobil Holdings Corp",160.1,1.49,+0.94%,51.31%,49%,397728,3.8%,96.2%,0.039572595063097
NFLX,"Netflix Inc",78.16,-0.08,-0.10%,24.27%,32%,392031,30.9%,69.1%,0.44702000199319
CRWV,"Coreweave Cl A",105.26,-1.03,-0.97%,14.81%,6%,342756,40.7%,59.3%,0.6864178700583
NU,"NU Holdings Ltd Cl A",15.23,1.3,+9.33%,28.75%,28%,340289,25.0%,75.0%,0.33251231527094
ONDS,"Ondas Inc",9.24,0.33,+3.70%,0.00%,0%,308269,21.5%,78.5%,0.27391780482261
ORCL,"Oracle Corp",150.52,-5.7,-3.65%,63.22%,78%,307525,38.1%,61.9%,0.6145248170354
IREN,"Iren Limited",44.06,-0.7,-1.56%,20.77%,11%,270404,27.8%,72.2%,0.38455000230414
WULF,"Terawulf Inc",17.38,1.07,+6.56%,14.76%,6%,269034,28.8%,71.2%,0.40363856440009
SOFI,"Sofi Technologies Inc",18.29,-0.14,-0.76%,0.00%,0%,262577,28.5%,71.5%,0.39910483548688
CIFR,"Cipher Digital Inc",17.85,1.23,+7.43%,10.93%,10%,248594,35.2%,64.8%,0.5437265190797
HOOD,"Robinhood Markets Cl A",95.56,-3.81,-3.83%,19.09%,8%,243724,38.1%,61.9%,0.61507163399732
RDDT,"Reddit Cl A",178.09,19.97,+12.63%,9.20%,4%,224055,29.9%,70.1%,0.42612088499631
AMAT,"Applied Materials",507.18,-27.36,-5.12%,38.53%,54%,190796,51.4%,48.6%,1.0564567412884
COIN,"Coinbase Global Cl A",148.47,-5.43,-3.53%,28.67%,31%,186342,40.1%,59.9%,0.66892363909936
NOK,"Nokia Corp ADR",10.76,0.2,+1.89%,54.62%,69%,181829,19.0%,81.0%,0.23526814223019
CSCO,"Cisco Systems Inc",111.68,-1.79,-1.58%,32.33%,43%,181219,39.1%,60.9%,0.64159540546416
HTZ,"Hertz Global Holdings Inc",2.24,-0.11,-4.48%,44.54%,78%,174963,24.0%,76.0%,0.31595652664435
DHT,"Dht Holdings",19.52,0.32,+1.67%,45.33%,46%,172963,0.6%,99.4%,0.0064355830719726
BABA,"Alibaba Group Holding ADR",123.81,1.65,+1.35%,58.02%,55%,170443,22.2%,77.8%,0.28452999118239
GOOG,"Alphabet Cl C",343.54,-0.4,-0.12%,10.56%,7%,166655,30.4%,69.6%,0.43658195986484
AAOI,"Applied Optoelect",150.28,20.2,+15.53%,38.80%,37%,150960,37.9%,62.1%,0.61042895699762
MRVL,"Marvell Technology Inc",222.02,-0.16,-0.07%,52.99%,69%,147961,33.4%,66.6%,0.50160856548435
SKHY,"SK hynix Inc",166.33,0.66,+0.40%,1.50%,4%,144782,44.5%,55.5%,0.80335056361711
F,"Ford Motor Company",14.37,0.48,+3.46%,31.95%,39%,142223,23.9%,76.1%,0.313316650199
NOW,"Servicenow Inc",124,-3.25,-2.55%,43.37%,46%,134223,27.9%,72.1%,0.38734650845496
TSM,"Taiwan Semiconductor ADR",426.35,-4.14,-0.96%,20.48%,16%,126004,49.4%,50.6%,0.97693647332005
ASTS,"Ast Spacemobile Inc",70.98,-0.54,-0.76%,4.71%,5%,124194,27.2%,72.8%,0.37329573726986
BAC,"Bank of America Corp",64.49,0.4,+0.62%,0.00%,0%,121792,30.8%,69.2%,0.4459456250742
BMNR,"Bitmine Immersion Technologies",18.08,-0.21,-1.15%,0.80%,1%,118684,32.0%,68.0%,0.47162979863109
RKLB,"Rocket Lab Corp",80.25,0.15,+0.19%,7.67%,4%,118544,33.9%,66.1%,0.51317956114933
NVO,"Novo Nordisk A/S ADR",45.89,-0.83,-1.78%,0.00%,0%,117607,14.3%,85.7%,0.16710662114957
PYPL,"Paypal Holdings",61.66,1.07,+1.77%,27.42%,38%,115017,14.5%,85.5%,0.16959700627421
NKE,"Nike Inc",40.73,-0.5,-1.21%,26.66%,20%,112890,52.3%,47.7%,1.095367139357
BE,"Bloom Energy Corp Cl A",229.94,-6.28,-2.66%,12.43%,8%,112754,52.9%,47.1%,1.1209909520137
MARA,"Mara Holdings Inc",9.2,-0.01,-0.11%,27.82%,13%,107858,36.3%,63.7%,0.57019114585608
WBD,"Discovery Inc Series A",27.99,0.24,+0.86%,7.08%,15%,106244,76.7%,23.3%,3.2840322580645
ACHR,"Archer Aviation Inc",6.62,-0.35,-5.02%,21.24%,19%,105711,20.9%,79.1%,0.26377515033414
GME,"Gamestop Corp",18.66,0.09,+0.48%,32.28%,38%,98211,18.0%,82.0%,0.21943678760337
RKT,"Rocket Companies Cl A",14.76,-0.28,-1.86%,21.78%,10%,97732,19.5%,80.5%,0.24227171039252
WMT,"Walmart Inc",115.27,-0.45,-0.39%,58.35%,72%,97708,42.5%,57.5%,0.74012466607302
KEEL,"Keel Infrastructure Corp",3.51,0.2,+6.04%,25.15%,9%,96866,18.2%,81.8%,0.22189845474614
UBER,"UBER Technologies Inc",75.95,0.07,+0.09%,19.45%,8%,96429,32.1%,67.9%,0.47312057929391
CORZ,"Core Scientific Inc",20.18,0.4,+2.02%,11.05%,10%,96087,12.7%,87.3%,0.14517436178581
CRCL,"Circle Internet Group Cl A",71.6,-3.78,-5.01%,29.91%,24%,95820,31.8%,68.2%,0.46619129955779
RIVN,"Rivian Automotive Cl A",15.36,-0.46,-2.91%,8.60%,4%,91912,27.4%,72.6%,0.37708258420233
RIOT,"Riot Platforms Inc",19.01,-0.19,-1.02%,27.86%,23%,91829,20.5%,79.5%,0.25793150684932
APLD,"Applied Digital Corp",31.2,0.58,+1.89%,12.79%,4%,90811,27.4%,72.6%,0.37767765034286
NN,"Nextnav Inc",19.9,0.39,+1.97%,39.78%,46%,89583,2.1%,97.9%,0.021424336404269
KHC,"Kraft Heinz Company",25.51,0.13,+0.51%,47.26%,45%,89486,3.8%,96.2%,0.039555767242481
COP,Conocophillips,126.78,2.26,+1.81%,27.93%,21%,89216,4.5%,95.5%,0.04741890416427
