Symbol,Name,Latest,%Change,"Imp Vol","IV Chg","30D His Vol",IV/HV,"IV Rank","IV Pctl","HV Rank","HV Pctl",Earnings
SNOW,"Snowflake Cl A",337.38,+1.54%,67.87%,+1.47%,31.79%,2.1347971060082,66.23%,80%,0.24%,0%,2026-09-02
PCG,"Pacific Gas & Electric Company",17.46,+0.46%,51.96%,+7.06%,24.52%,2.1191598694943,68.25%,93%,33.59%,37%,2026-10-22
KLAR,"Klarna Group Plc",20.68,+8.16%,86.44%,+2.37%,47.92%,1.8038376460768,56.90%,65%,8.03%,17%,2026-08-18
AI,"C3.Ai Inc Cl A",10.18,+0.99%,79.85%,+6.12%,45.60%,1.7511776315789,54.64%,75%,10.04%,11%,2026-09-02
LULU,"Lululemon Athletica",119.56,-1.08%,54.21%,+0.85%,31.80%,1.7047767295597,49.20%,68%,6.31%,3%,2026-09-03
LAES,"Sealsq Corp",2.84,+6.77%,95.48%,+4.02%,57.62%,1.6571329399514,5.33%,12%,7.01%,12%,2026-06-30
AS,"Amer Sports Inc",33.12,+0.27%,60.67%,-0.79%,37.65%,1.6115006640106,65.78%,82%,41.88%,40%,2026-08-18
TGT,"Target Corp",155.51,+0.98%,40.13%,-0.78%,25.50%,1.5736588235294,46.95%,66%,34.63%,16%,2026-08-19
TMC,"Tmc The Metals Company",4.41,-1.34%,104.16%,+1.85%,67.71%,1.5383104415891,28.94%,35%,17.28%,16%,2026-08-13
XPEV,"Xpeng Inc ADR",11.78,+0.26%,58.98%,-0.62%,39.10%,1.5083196930946,44.17%,51%,4.08%,3%,2026-08-24
LQDA,"Liquidia Corp",72.1,-8.49%,105.47%,+1.99%,70.22%,1.5020079749359,28.90%,39%,63.71%,82%,2026-08-12
BULL,"Webull Corp Cl A",7.95,+3.65%,68.35%,-1.03%,45.52%,1.5014894551845,18.49%,25%,11.36%,5%,2026-08-19
ZS,"Zscaler Inc",188.18,+6.12%,71.79%,+4.08%,48.04%,1.4944837635304,72.42%,90%,21.54%,52%,2026-09-03
NIO,"Nio Inc ADR",4.5,-0.88%,51.91%,-1.77%,34.75%,1.4938417266187,8.98%,2%,1.56%,2%,2026-09-01
PL,"Planet Labs Pbc",24.75,+1.02%,96.80%,-1.61%,65.24%,1.4838013488657,39.18%,42%,23.78%,10%,2026-09-03
ZM,"Zoom Communications Inc",109.84,+4.48%,53.94%,+5.18%,37.22%,1.4490891993552,70.36%,90%,38.50%,34%,2026-08-25
SPCE,"Virgin Galactic Holdings Inc",3.14,-4.85%,93.83%,-19.60%,65.34%,1.4360299969391,3.85%,3%,13.16%,32%,2026-08-12
DFTX,"Definium Therapeutics Inc",43.9,+2.59%,86.31%,+4.33%,60.18%,1.4341276171486,23.97%,41%,17.51%,50%,2026-11-05
MDB,"Mongodb Inc Cl A",472.29,+7.87%,80.27%,+3.76%,56.01%,1.4331887163007,67.85%,85%,35.22%,37%,2026-09-01
AFRM,"Affirm Holdings Inc Cl A",78.32,+6.70%,66.99%,+3.27%,46.94%,1.4272134639966,43.03%,49%,16.13%,2%,2026-08-27
PLUG,"Plug Power Inc",2.3,+0.44%,85.55%,-1.92%,60.07%,1.424123522557,3.91%,1%,9.34%,6%,2026-11-09
BIDU,"Baidu Inc ADR",104.68,-0.15%,48.45%,+0.12%,34.27%,1.4138284213598,45.91%,40%,12.02%,7%,2026-08-18
RILY,"Brc Group Holdings Inc",7.54,-0.13%,69.48%,-2.75%,50.20%,1.3840139442231,0.00%,0%,0.00%,0%,2027-01-13
NU,"NU Holdings Ltd Cl A",13.93,+2.73%,45.27%,-1.36%,32.72%,1.3835788508557,56.15%,57%,41.70%,36%,2026-08-13
INTU,"Intuit Inc",358.29,+7.04%,62.51%,+4.69%,45.58%,1.3714567792892,88.90%,92%,41.33%,53%,2026-08-25
NUAI,"New Era Energy & Digital Inc",4.99,-9.67%,177.55%,+9.78%,130.29%,1.3620282295183,58.64%,62%,18.85%,39%,2026-08-13
GRAB,"Grab Holdings Ltd Cl A",3.7,+2.49%,51.58%,+6.01%,38.08%,1.3544012605042,30.72%,50%,62.94%,63%,2026-11-03
INDI,"Indie Semiconductor Cl A",4.14,+3.24%,129.05%,+12.68%,96.09%,1.3430117598085,76.83%,95%,69.45%,79%,2026-11-05
PATH,"Uipath Inc Cl A",16.68,+9.31%,85.79%,+9.86%,64.52%,1.3296233725976,68.50%,82%,56.08%,72%,2026-09-03
ARDX,"Ardelyx Inc",3.91,-1.51%,78.80%,+26.48%,59.90%,1.3154440734558,31.26%,63%,47.75%,62%,2026-10-29
SLS,"Sellas Life Sciences Group Inc",12.36,+5.01%,123.46%,-7.72%,94.14%,1.3114191629488,20.99%,21%,47.16%,49%,2026-11-11
BILI,"Bilibili Inc ADR",17.07,-3.07%,52.88%,-1.68%,40.53%,1.3047174932149,37.28%,26%,22.57%,14%,2026-08-27
LUNR,"Intuitive Machines Inc",17.56,+3.60%,103.81%,-6.53%,80.66%,1.2869947929581,48.17%,27%,43.17%,20%,2026-08-13
NN,"Nextnav Inc",19.51,+1.46%,103.98%,+5.89%,80.95%,1.2845089561458,42.06%,51%,50.22%,72%,2026-11-05
S,"Sentinelone Inc Cl A",23.84,+6.91%,64.16%,+3.37%,50.83%,1.2621955538068,54.72%,73%,72.74%,52%,2026-08-27
HPQ,"HP Inc",31.3,+6.90%,60.11%,+5.06%,47.78%,1.2580766010883,88.15%,97%,51.05%,85%,2026-08-26
HPE,"Hewlett Packard Enterprise",59.82,+1.75%,76.25%,-1.77%,60.64%,1.2574274406332,50.34%,92%,58.93%,84%,2026-09-02
