Symbol,Name,Latest,Change,%Change,"Options Vol","P/C Vol","30D His Vol","Imp Vol","IV Rank","IV Pctl",Earnings
EYPT,"Eyepoint Inc",14.75,1.27,+9.42%,33960,4.0273871206514,67.71%,375.77%,100.00%,100%,2026-11-04
OKTA,"Okta Inc Cl A",147.43,-7.52,-4.85%,8325,1.6138147566719,53.08%,70.40%,85.25%,92%,2026-08-26
HPQ,"HP Inc",30.11,-1.19,-3.80%,66183,4.565806071819,49.77%,57.43%,81.25%,91%,2026-08-26
INTU,"Intuit Inc",345.66,-12.63,-3.53%,14356,1.152323838081,47.03%,58.29%,79.40%,79%,2026-08-25
CPRT,"Copart Inc",31.61,2.22,+7.55%,18544,2.5154502369668,39.43%,42.61%,78.07%,95%,2026-09-03
INDI,"Indie Semiconductor Cl A",4.71,0.57,+13.77%,19278,0.017523487807453,102.21%,129.13%,76.95%,95%,2026-11-05
DELL,"Dell Technologies Inc",490.81,-3.7,-0.75%,78412,1.0419259915106,82.55%,79.03%,76.62%,86%,2026-09-03
KR,"Kroger Company",56.69,-0.54,-0.94%,6761,2.8327664399093,26.82%,33.54%,73.11%,79%,2026-09-10
ADBE,"Adobe Systems Inc",264.02,-6.47,-2.39%,26182,0.89026063100137,49.93%,51.57%,72.31%,78%,2026-09-10
TJX,"TJX Companies",152.11,-1.7,-1.11%,6272,1.4338377958867,20.28%,26.62%,71.96%,82%,2026-08-19
MDT,"Medtronic Inc",91.27,0.69,+0.76%,7261,0.31041328280094,26.56%,30.50%,71.63%,93%,2026-09-01
ZS,"Zscaler Inc",183.6,-4.58,-2.43%,21157,0.88129112573359,48.98%,71.03%,71.09%,88%,2026-09-03
DOCU,"Docusign Inc",62.04,-2.05,-3.20%,7665,0.40978480779842,57.81%,63.90%,70.68%,77%,2026-09-03
CIEN,"Ciena Corp",428.77,-14.02,-3.17%,10559,0.90320836337419,79.12%,87.77%,69.76%,69%,2026-09-03
PCG,"Pacific Gas & Electric Company",17.84,0.38,+2.18%,68830,0.28175046554935,23.95%,52.50%,69.53%,94%,2026-10-22
RARE,"Ultragenyx Pharmaceu",26.49,0.11,+0.42%,7441,2.052091878589,43.41%,141.64%,69.49%,90%,2026-11-03
PTC,"Ptc Inc",149.75,-4.14,-2.69%,4475,0.0008946544,42.86%,40.99%,69.38%,79%,2026-11-04
HD,"Home Depot",338.86,-2.84,-0.83%,18513,0.77174849267873,27.17%,29.99%,69.00%,71%,2026-08-18
CRWD,"Crowdstrike Holdings",216.95,-8.58,-3.80%,72621,1.0207863761583,55.06%,59.59%,67.99%,84%,2026-08-26
VIK,"Viking Holdings Ltd",97.99,-8.12,-7.65%,7814,0.81805490926012,33.69%,46.03%,67.22%,73%,2026-08-19
SNPS,"Synopsys Inc",421.5,9.75,+2.37%,5600,0.3947696139477,38.57%,51.29%,66.81%,67%,2026-08-26
