Symbol,Name,Latest,Change,%Change,"IV Rank","IV Pctl","Options Vol","% Put","% Call","P/C Vol"
TSLA,"Tesla Inc",345.82,-4.43,-1.26%,10.17%,4%,2707537,43.8%,56.2%,0.78015003681885
NVDA,"Nvidia Corp",209.66,-3.39,-1.59%,41.98%,67%,2585294,38.1%,61.9%,0.61576936562171
META,"META Platforms",576.14,6.09,+1.07%,38.71%,57%,1779727,28.7%,71.3%,0.40214040414625
AAPL,"Apple Inc",313.45,3.55,+1.15%,49.49%,47%,1408704,34.9%,65.1%,0.53512457935941
INTC,"Intel Corp",88.24,0.76,+0.87%,30.21%,33%,742477,31.9%,68.1%,0.46794927559155
AMZN,"Amazon.com Inc",260.28,-0.78,-0.30%,22.26%,20%,695236,34.2%,65.8%,0.52001364268411
SPCX,"SpaceX Corp",139.63,1.68,+1.22%,0.00%,0%,603831,36.3%,63.7%,0.57023570529557
MU,"Micron Technology",938.4,5.43,+0.58%,29.52%,29%,595220,41.5%,58.5%,0.71001901872569
MSFT,"Microsoft Corp",496.37,4.66,+0.95%,24.40%,24%,579131,35.1%,64.9%,0.54167709303873
AMD,"Adv Micro Devices",480.93,1.75,+0.37%,29.50%,28%,404237,36.7%,63.3%,0.58037805187951
GOOGL,"Alphabet Cl A",342,-4.96,-1.43%,13.25%,8%,379436,39.5%,60.5%,0.65387079760966
PLTR,"Palantir Technologies Cl A",177.5,4.77,+2.76%,20.87%,16%,367920,40.2%,59.8%,0.6727970428702
MSTR,"Strategy Inc",123.19,-3.64,-2.87%,27.87%,40%,329632,36.0%,64.0%,0.56217773733697
AVGO,"Broadcom Ltd",355.59,-1.15,-0.32%,54.27%,71%,311172,39.9%,60.1%,0.66354990296868
SOFI,"Sofi Technologies Inc",18.84,-0.16,-0.84%,11.69%,7%,296948,26.8%,73.2%,0.36614495634011
ORCL,"Oracle Corp",148.87,4.11,+2.84%,64.82%,80%,225683,34.9%,65.1%,0.53702555999755
IREN,"Iren Limited",39.58,-2.63,-6.23%,17.12%,7%,206712,27.1%,72.9%,0.37225250104556
NKE,"Nike Inc",38.59,-0.89,-2.25%,38.69%,49%,200873,34.2%,65.8%,0.52069375364327
CRWD,"Crowdstrike Holdings",189.18,3.8,+2.05%,74.75%,92%,177084,43.5%,56.5%,0.76907092907093
NFLX,"Netflix Inc",81.46,-0.77,-0.94%,29.55%,36%,170782,43.0%,57.0%,0.75483194788381
WMT,"Walmart Inc",104.34,-1.04,-0.99%,21.39%,24%,157240,25.3%,74.7%,0.33863429335195
GOOG,"Alphabet Cl C",339.1,-4.24,-1.23%,13.92%,10%,148439,38.5%,61.5%,0.62644358249512
CRM,"Salesforce Inc",205.62,-0.07,-0.03%,66.45%,76%,147224,55.5%,44.5%,1.2460144319517
MRNA,"Moderna Inc",149.66,-9.17,-5.77%,27.95%,72%,145633,48.5%,51.5%,0.94260217692882
CG,"The Carlyle Group",48.99,0.07,+0.14%,27.38%,30%,144705,69.8%,30.2%,2.3083746770617
SMCI,"Super Micro Computer",37.39,-1.07,-2.78%,34.61%,31%,140622,30.8%,69.2%,0.44464762687487
SNDK,"Sandisk Corp",1499.37,18.6,+1.26%,25.43%,6%,139702,37.9%,62.1%,0.61106626380977
SNAP,"Snap Inc",5.42,-0.5,-8.45%,22.08%,25%,139174,22.7%,77.3%,0.29333048350974
HPQ,"HP Inc",30.52,1,+3.39%,77.86%,87%,131228,75.0%,25.0%,2.9991467056744
UBER,"UBER Technologies",78.49,-1.86,-2.31%,29.55%,24%,128174,28.5%,71.5%,0.39764685356625
BMNR,"Bitmine Immersion Technologies",24.91,0.09,+0.36%,14.29%,13%,125383,40.7%,59.3%,0.68666092711668
HOOD,"Robinhood Markets Cl A",108.54,-3.55,-3.17%,29.11%,29%,123822,41.8%,58.2%,0.71934404376744
AI,"C3.Ai Inc Cl A",9.7,-0.09,-0.92%,57.03%,76%,122186,3.4%,96.6%,0.035518454171787
MARA,"Mara Holdings Inc",11.22,-0.61,-5.16%,37.75%,37%,119783,35.1%,64.9%,0.54069662747923
WBD,"Discovery Inc Series A",28.75,-0.15,-0.52%,17.10%,34%,111627,86.2%,13.8%,6.2461538461538
BABA,"Alibaba Group Holding ADR",119.83,0.39,+0.33%,37.94%,30%,107260,21.7%,78.3%,0.27672237299433
KHC,"Kraft Heinz Company",24.79,-0.53,-2.09%,43.90%,37%,102727,9.1%,90.9%,0.10040276795852
CRCL,"Circle Internet Group Cl A",89.91,-2.11,-2.29%,37.67%,32%,101996,45.5%,54.5%,0.83614466507048
RIVN,"Rivian Automotive Cl A",16.33,-0.41,-2.45%,19.30%,9%,101370,32.3%,67.7%,0.47687869693173
MRVL,"Marvell Technology Inc",245.11,4.73,+1.97%,54.36%,68%,99276,38.4%,61.6%,0.62446615286437
CRWV,"Coreweave Cl A",88.01,-0.03,-0.03%,15.68%,7%,99219,33.5%,66.5%,0.5044807351135
COIN,"Coinbase Global Cl A",181.78,-5.38,-2.87%,32.29%,33%,98113,37.8%,62.2%,0.60851531247951
BAC,"Bank of America Corp",62.23,-0.2,-0.32%,14.79%,15%,95092,26.3%,73.7%,0.35692575521911
BE,"Bloom Energy Corp Cl A",218.21,0.76,+0.35%,5.29%,2%,94768,41.0%,59.0%,0.69543437813081
ANF,"Abercrombie & Fitch Company",147.75,38.85,+35.67%,38.88%,64%,91921,54.5%,45.5%,1.1982255595944
PFE,"Pfizer Inc",28.3,-0.27,-0.95%,24.08%,29%,87560,62.8%,37.2%,1.6886111708171
NBIS,"Nebius Group N.V. Cl A",213.93,-8.04,-3.62%,22.57%,27%,84555,45.3%,54.7%,0.82762347346806
HIMS,"Hims & Hers Health Inc",29.83,-1.92,-6.05%,14.09%,13%,78272,36.5%,63.5%,0.57362283876156
ONDS,"Ondas Inc",8.22,-0.02,-0.24%,0.33%,1%,77873,24.3%,75.7%,0.32070959754422
DKS,"Dick's Sporting Goods Inc",129.66,5.35,+4.30%,50.54%,65%,77615,43.5%,56.5%,0.76976924480117
ASTS,"Ast Spacemobile Inc",59.88,-2.13,-3.43%,0.62%,1%,77401,32.6%,67.4%,0.48476884711299
NOK,"Nokia Corp ADR",10.41,0.06,+0.58%,39.84%,56%,77251,13.5%,86.5%,0.15563899651443
GME,"Gamestop Corp",17.97,-0.12,-0.66%,42.84%,50%,76678,20.9%,79.1%,0.26399947249559
SKHY,"SK hynix Inc",158.02,-1.51,-0.95%,1.94%,6%,75683,69.5%,30.5%,2.2832848900265
INTU,"Intuit Inc",345.88,-11.58,-3.24%,51.66%,45%,71122,56.1%,43.9%,1.2775802991001
SMR,"Nuscale Power Corp",9.27,-0.54,-5.50%,9.95%,6%,70955,29.3%,70.7%,0.41431959975284
CIFR,"Cipher Digital Inc",16.02,-0.29,-1.78%,12.76%,14%,69662,17.6%,82.4%,0.21427948892259
TSM,"Taiwan Semiconductor ADR",417.69,0.28,+0.07%,19.82%,14%,68618,41.0%,59.0%,0.69406246142452
PCG,"Pacific Gas & Electric Company",18.22,-0.14,-0.76%,74.51%,92%,67534,46.2%,53.8%,0.85798393309123
OKLO,"Oklo Inc",41.6,-2.67,-6.03%,5.43%,4%,64931,29.7%,70.3%,0.42230351353719
DELL,"Dell Technologies",463.82,12.32,+2.73%,73.99%,80%,63865,57.2%,42.8%,1.3374080445046
RKLB,"Rocket Lab Corp",66.18,-0.73,-1.09%,0.84%,1%,62072,29.6%,70.4%,0.41950237833882
ARM,"Arm Holdings Plc ADR",251.06,9.5,+3.93%,36.41%,57%,60560,27.0%,73.0%,0.37041479034192
QBTS,"D-Wave Quantum Inc",17.51,-1.84,-9.51%,2.05%,2%,60190,29.9%,70.1%,0.42738569531398
NOW,"Servicenow Inc",125.8,-1.2,-0.94%,48.62%,57%,55667,44.7%,55.3%,0.80783969862302
ZM,"Zoom Communications Inc",93.83,-7.09,-7.03%,35.57%,37%,52146,40.6%,59.4%,0.68229183469368
KO,"Coca-Cola Company",90.08,-1.56,-1.70%,50.48%,39%,52087,52.5%,47.5%,1.1072497774901
LLY,"Eli Lilly and Company",1189.41,-44.25,-3.59%,26.71%,22%,51773,58.8%,41.2%,1.4247377294867
AAL,"American Airlines Gp",13.84,-0.11,-0.79%,22.61%,18%,51753,32.1%,67.9%,0.47272416835036
OKTA,"Okta Inc Cl A",134.42,3.81,+2.92%,81.83%,86%,50318,57.6%,42.4%,1.3607957211223
