Symbol,Name,Latest,Change,%Change,"IV Rank","IV Pctl","Options Vol","% Put","% Call","P/C Vol"
TSLA,"Tesla Inc",358.84,-17.52,-4.66%,20.72%,24%,2774060,37.9%,62.1%,0.61052777026266
SPCX,"SpaceX Corp",150,0.26,+0.17%,3.24%,7%,1491875,40.2%,59.8%,0.67188708213329
AAPL,"Apple Inc",327.27,-0.94,-0.29%,46.35%,39%,1353532,31.4%,68.6%,0.45783891664719
AVGO,"Broadcom Ltd",358.49,1.33,+0.37%,2.20%,1%,1044287,36.3%,63.7%,0.56924258270821
MSTR,"Strategy Inc",139.35,-5.47,-3.78%,38.14%,71%,925443,35.6%,64.4%,0.55220979185186
MU,"Micron Technology",991.79,33.64,+3.51%,20.81%,12%,806148,30.2%,69.8%,0.43198604514013
PCG,"Pacific Gas & Electric Company",13.9,-0.06,-0.43%,94.26%,99%,720592,5.7%,94.3%,0.060639334465715
PLTR,"Palantir Technologies Cl A",178.3,-4.23,-2.32%,20.17%,18%,717681,38.9%,61.1%,0.6360347504166
INTC,"Intel Corp",93.48,1.81,+1.98%,25.60%,25%,641782,28.4%,71.6%,0.39633479033721
META,"META Platforms",609.4,-1.28,-0.21%,35.71%,49%,616537,33.9%,66.1%,0.51269582285469
AMZN,"Amazon.com Inc",258.57,-0.33,-0.13%,20.06%,23%,602160,25.3%,74.7%,0.33909152771539
MSFT,"Microsoft Corp",506.17,-3.95,-0.77%,21.10%,21%,448418,31.2%,68.8%,0.45298718804477
ORCL,"Oracle Corp",158.63,4.59,+2.98%,57.66%,66%,426727,31.5%,68.5%,0.45945955189526
SOFI,"Sofi Technologies Inc",18.01,-0.5,-2.67%,8.06%,6%,420634,26.9%,73.1%,0.36707519605836
DELL,"Dell Technologies",518.86,2.47,+0.48%,47.36%,60%,394886,44.7%,55.3%,0.80787085786491
BAC,"Bank of America Corp",62.7,-0.34,-0.54%,20.69%,25%,394063,7.9%,92.1%,0.086141506573689
AMD,"Adv Micro Devices",467.46,11.3,+2.48%,15.79%,12%,369446,41.1%,58.9%,0.69638724607868
IREN,"Iren Limited",41.78,0.13,+0.30%,1.60%,2%,354463,34.7%,65.3%,0.53196500963791
NKE,"Nike Inc",38.33,-0.44,-1.15%,50.80%,60%,351588,50.6%,49.4%,1.0254281714645
MARA,"Mara Holdings Inc",11.28,-0.32,-2.76%,33.50%,23%,319485,24.7%,75.3%,0.32821561755572
GOOGL,"Alphabet Cl A",341.17,-1.31,-0.38%,11.88%,8%,306790,28.0%,72.0%,0.38873045619562
WMT,"Walmart Inc",108.93,0.51,+0.47%,15.71%,18%,296673,22.8%,77.2%,0.29537386748172
NFLX,"Netflix Inc",82.5,-0.17,-0.21%,28.84%,37%,289091,40.4%,59.6%,0.67648269822952
SNOW,"Snowflake Cl A",350.38,-6.09,-1.71%,23.10%,24%,285896,40.4%,59.6%,0.67821692093662
BMNR,"Bitmine Immersion Technologies",25.03,-1.42,-5.37%,14.98%,15%,262189,37.2%,62.8%,0.59236338017904
HPE,"Hewlett Packard Enterprise",53.51,-0.93,-1.71%,27.98%,58%,254366,28.3%,71.7%,0.39558335390777
BE,"Bloom Energy Corp Cl A",243.51,7.96,+3.38%,6.17%,2%,237631,36.6%,63.4%,0.57788460899994
COIN,"Coinbase Global Cl A",185.22,-7.48,-3.88%,38.88%,43%,229644,29.9%,70.1%,0.42673243951838
SMCI,"Super Micro Computer",38.72,0.85,+2.26%,29.06%,20%,210834,16.8%,83.2%,0.20236099230111
DPRO,"Draganfly Inc",6.41,-0.02,-0.37%,60.23%,81%,204853,1.9%,98.1%,0.018885285691549
CRWV,"Coreweave Cl A",85.96,1.4,+1.66%,0.99%,1%,199419,30.2%,69.8%,0.43287539339244
NOK,"Nokia Corp ADR",10.07,0.3,+3.12%,34.86%,51%,198664,11.5%,88.5%,0.12988335124867
BULL,"Webull Corp Cl A",9.77,-0.23,-2.30%,14.78%,10%,198596,18.5%,81.5%,0.22758347859412
MRVL,"Marvell Technology Inc",214.2,5.37,+2.57%,23.38%,36%,184622,33.6%,66.4%,0.50623307117449
CRCL,"Circle Internet Group Cl A",98.43,-4.8,-4.64%,37.09%,31%,179471,41.3%,58.7%,0.70368225700806
SNDK,"Sandisk Corp",1627.65,72.66,+4.67%,13.17%,3%,176711,35.6%,64.4%,0.55267065573626
GOOG,"Alphabet Cl C",337.98,-1.1,-0.32%,13.65%,11%,168903,21.9%,78.1%,0.28052857825187
NU,"NU Holdings Ltd Cl A",15.35,-0.34,-2.14%,41.11%,42%,168611,18.0%,82.0%,0.21999768461572
BHP,"Bhp Billiton Ltd ADR",89.7,-3.01,-3.25%,43.96%,39%,164694,0.3%,99.7%,0.0027764585540496
PATH,"Uipath Inc Cl A",15.9,-2.31,-12.71%,72.30%,86%,163587,58.2%,41.8%,1.3944583498002
GME,"Gamestop Corp",19.42,0.19,+0.99%,53.25%,67%,159683,16.2%,83.8%,0.19349896108944
PYPL,"Paypal Holdings",55.34,-1.48,-2.60%,23.23%,35%,156253,12.1%,87.9%,0.13811538993816
NIO,"Nio Inc ADR",3.76,-0.1,-2.59%,5.50%,2%,142600,24.2%,75.8%,0.31953954917274
UBER,"UBER Technologies",76.15,0.19,+0.26%,34.26%,34%,138476,48.9%,51.1%,0.95803286106162
NBIS,"Nebius Group N.V. Cl A",213.75,3.12,+1.48%,12.73%,6%,137750,37.0%,63.0%,0.58747536676155
ZS,"Zscaler Inc",171.62,-6.18,-3.48%,85.53%,96%,123682,40.4%,59.6%,0.67718051638099
NOW,"Servicenow Inc",141.13,-4.46,-3.06%,46.64%,50%,123219,35.3%,64.7%,0.54560848950102
XPEV,"Xpeng Inc ADR",11.07,-0.07,-0.63%,10.01%,2%,121672,89.1%,10.9%,8.1772514708101
CRM,"Salesforce Inc",259.97,-4.46,-1.69%,38.29%,30%,117222,54.3%,45.7%,1.1897147553845
WULF,"Terawulf Inc",16.24,0.01,+0.06%,0.00%,0%,110090,28.9%,71.1%,0.40742255915931
PBR,"Petroleo Brasileiro S.A. Petrobras ADR",20.33,-0.18,-0.88%,13.35%,73%,109120,67.4%,32.6%,2.0671501250808
TSM,"Taiwan Semiconductor ADR",422.07,5.06,+1.21%,9.75%,3%,106897,37.5%,62.5%,0.59872278056951
TTD,"Trade Desk Inc",14.92,-0.17,-1.13%,30.80%,28%,102039,24.7%,75.3%,0.32809673178795
CRWD,"Crowdstrike Holdings",214.58,-0.39,-0.18%,45.57%,50%,101507,32.5%,67.5%,0.48127015628876
F,"Ford Motor Company",14.36,-0.05,-0.31%,34.30%,39%,101140,41.8%,58.2%,0.71691451076254
MRNA,"Moderna Inc",148.62,-0.25,-0.17%,22.86%,49%,101036,34.9%,65.1%,0.53690295101917
RKT,"Rocket Companies Cl A",13.96,-0.26,-1.83%,20.32%,12%,99578,9.7%,90.3%,0.10706185796238
ONDS,"Ondas Inc",7.68,0.05,+0.63%,1.44%,1%,99121,18.1%,81.9%,0.22101775089617
SKHY,"SK hynix Inc",168.06,4.38,+2.68%,0.00%,0%,94949,49.5%,50.5%,0.98037334445719
PL,"Planet Labs Pbc",18.78,0.43,+2.34%,66.44%,77%,92872,38.2%,61.8%,0.61916384811186
KHC,"Kraft Heinz Company",25,-0.42,-1.63%,44.40%,37%,90246,12.5%,87.5%,0.14284628827597
APLD,"Applied Digital Corp",26.1,0.19,+0.73%,6.45%,3%,88311,13.2%,86.8%,0.15207295118324
OKLO,"Oklo Inc",40.48,0.64,+1.60%,0.17%,1%,87332,14.8%,85.2%,0.17389609516769
MCD,"McDonald's Corp",257.27,-2.36,-0.91%,40.52%,44%,87161,71.4%,28.6%,2.497632423756
SNAP,"Snap Inc",5.56,-0.14,-2.46%,21.38%,23%,86369,20.3%,79.7%,0.25468861222889
ASTS,"Ast Spacemobile Inc",64.82,2.69,+4.33%,2.56%,2%,85447,25.7%,74.3%,0.34644900017333
HIMS,"Hims & Hers Health Inc",27.48,-0.34,-1.22%,12.28%,12%,82027,30.7%,69.3%,0.44403563129357
RIVN,"Rivian Automotive Cl A",15.65,-0.26,-1.67%,8.85%,5%,79090,32.2%,67.8%,0.47437689912943
PURR,"Hyperliquid Strategies Inc",11.52,-1.26,-9.83%,7.54%,31%,78898,20.6%,79.4%,0.25948629535622
PSKY,"Paramount Skydance Corp Cl B",11.02,-0.02,-0.23%,15.82%,42%,78043,38.6%,61.4%,0.62844027125717
CRDO,"Credo Technology Group Holding",163.13,-1.04,-0.63%,6.38%,2%,77408,37.5%,62.5%,0.60019845371481
CLSK,"Cleanspark Inc",12.52,-0.06,-0.48%,19.86%,5%,75564,28.7%,71.3%,0.40179946201651
CCL,"Carnival Corporation Ltd",23.43,-0.05,-0.21%,26.42%,27%,73421,48.6%,51.4%,0.94369142796633
ASST,"Strive Inc",26.24,-0.58,-2.17%,1.80%,5%,71412,14.7%,85.3%,0.17203348104382
PDD,"Pdd Holdings Inc",81.62,-0.01,-0.01%,23.73%,13%,68397,75.0%,25.0%,2.9937521896532
PFE,"Pfizer Inc",28.58,-0.23,-0.78%,23.05%,25%,67547,30.3%,69.7%,0.43442344446804
MDT,"Medtronic Inc",93.15,0.05,+0.05%,44.85%,54%,65658,6.1%,93.9%,0.064632248021793
QCOM,"Qualcomm Inc",168.3,-0.27,-0.16%,22.62%,46%,64963,44.3%,55.7%,0.79431017815219
CORZ,"Core Scientific Inc",17.9,0,0.00%,5.68%,5%,63461,15.4%,84.6%,0.18271614141678
AS,"Amer Sports Inc",28.5,-0.01,-0.02%,28.40%,31%,59063,50.6%,49.4%,1.0240224803811
DOCU,"Docusign Inc",67.09,1.12,+1.70%,79.73%,84%,59009,47.5%,52.5%,0.90314777784945
C,"Citigroup Inc",137.45,-0.69,-0.50%,16.22%,19%,57134,33.6%,66.4%,0.50709575309945
AMC,"AMC Entertainment Holdings",2.64,0.11,+4.13%,25.95%,25%,56741,11.6%,88.4%,0.13097468606737
CPNG,"Coupang Cl A",15.39,-0.13,-0.81%,40.08%,42%,56519,89.7%,10.3%,8.7412961047915
NCLH,"Norwegian Cruise Ord",15.52,-0.07,-0.45%,23.36%,19%,56259,73.2%,26.8%,2.7272426129588
PANW,"Palo Alto Networks",332.64,0.7,+0.21%,40.79%,61%,55333,45.4%,54.6%,0.83179395504353
HPQ,"HP Inc",32.14,0.21,+0.66%,48.23%,46%,54676,66.8%,33.2%,2.0154423119347
KLAC,"K L A-Tencor Corp",178.6,5.66,+3.27%,24.95%,44%,51905,72.4%,27.6%,2.6254103513306
ARM,"Arm Holdings Plc ADR",252.21,9.62,+3.97%,25.81%,41%,50166,47.0%,53.0%,0.88579806029622
AAL,"American Airlines Gp",13.07,0.1,+0.81%,16.90%,10%,49749,54.2%,45.8%,1.1823565537814
VFC,"V.F. Corp",13.19,0.05,+0.38%,0.00%,0%,48907,88.8%,11.2%,7.8954165150964
CHPT,"Chargepoint Holdings",9.65,0.57,+6.24%,27.42%,81%,48510,38.1%,61.9%,0.61500815660685
CSCO,"Cisco Systems Inc",109.5,0.89,+0.81%,27.64%,36%,48442,24.3%,75.7%,0.32145779911615
ECHO,"Echostar Corp",89.1,-0.69,-0.77%,12.62%,12%,48090,92.5%,7.5%,12.280861640431
T,"AT&T Inc",26.18,-0.01,-0.02%,35.83%,48%,47431,54.3%,45.7%,1.1869697528587
CPB,"The Campbell's Company",21.39,-0.74,-3.32%,16.75%,33%,47214,45.4%,54.6%,0.83149074828349
APP,"Applovin Corp Cl A",312.83,-0.75,-0.24%,7.16%,5%,47108,36.7%,63.3%,0.57863342381287
KEEL,"Keel Infrastructure Corp",3.38,0.03,+0.75%,23.61%,4%,45946,19.1%,80.9%,0.2363039500592
IOT,"Samsara Inc Cl A",41.49,2.74,+7.07%,61.07%,73%,45867,21.6%,78.4%,0.27472069368017
OPEN,"Opendoor Technologies Inc",3.1,-0.04,-1.12%,1.83%,4%,45597,14.6%,85.4%,0.17134636627534
GLW,"Corning Inc",150.6,4.6,+3.15%,40.50%,42%,45545,43.8%,56.2%,0.78056217991321
BSX,"Boston Scientific Corp",47.35,0.4,+0.84%,66.56%,85%,45185,64.0%,36.0%,1.778392670479
