Symbol,Name,Latest,%Change,"Imp Vol","IV Chg","30D His Vol",IV/HV,"IV Rank","IV Pctl","HV Rank","HV Pctl",Earnings
EYPT,"Eyepoint Inc",14.75,+9.42%,375.77%,+26.42%,67.71%,5.5497415448235,100.00%,100%,59.20%,66%,2026-11-04
CZR,"Caesars Entertainment Inc",29.75,+0.30%,22.64%,+10.80%,9.80%,2.3099183673469,19.99%,15%,0.09%,0%,2026-10-27
PCG,"Pacific Gas & Electric Company",17.84,+2.18%,52.50%,+0.54%,23.95%,2.192,69.53%,94%,29.90%,31%,2026-10-22
SNOW,"Snowflake Cl A",328.92,-2.51%,66.51%,-1.35%,33.09%,2.0100543970988,63.72%,79%,1.93%,3%,2026-09-02
KLAR,"Klarna Group Plc",20.79,+0.53%,88.30%,+1.86%,46.72%,1.8900470890411,60.65%,69%,6.58%,15%,2026-08-18
RILY,"Brc Group Holdings Inc",7.45,-1.19%,76.30%,+6.82%,42.05%,1.8145231866825,1.51%,4%,0.00%,0%,2027-01-13
LULU,"Lululemon Athletica",119.55,-0.01%,55.24%,+1.03%,31.43%,1.7575119312759,51.81%,70%,5.38%,2%,2026-09-03
AI,"C3.Ai Inc Cl A",9.93,-2.46%,76.04%,-3.81%,44.60%,1.7049708520179,48.18%,65%,8.58%,10%,2026-09-02
NIO,"Nio Inc ADR",4.52,+0.44%,54.83%,+2.92%,33.38%,1.6425674056321,14.78%,7%,0.00%,0%,2026-09-01
TGT,"Target Corp",154.48,-0.66%,40.51%,+0.38%,25.70%,1.5760972762646,48.48%,67%,35.66%,17%,2026-08-19
SLS,"Sellas Life Sciences Group Inc",12.78,+3.40%,137.83%,+14.37%,87.53%,1.5746372672227,29.26%,46%,39.09%,40%,2026-11-11
AS,"Amer Sports Inc",32.87,-0.75%,57.79%,-2.88%,36.75%,1.5724952380952,57.97%,75%,38.53%,31%,2026-08-18
BULL,"Webull Corp Cl A",8.04,+1.13%,70.50%,+2.15%,45.55%,1.547703622393,21.85%,37%,11.90%,6%,2026-08-19
LQDA,"Liquidia Corp",74.44,+3.25%,107.52%,+2.05%,70.94%,1.5157034113335,30.73%,41%,65.19%,83%,2026-11-02
BIDU,"Baidu Inc ADR",103.67,-0.96%,49.38%,+0.93%,32.64%,1.5129166666667,48.93%,43%,7.67%,4%,2026-08-18
WMT,"Walmart Inc",115.27,-0.39%,29.19%,-1.27%,19.38%,1.5059649122807,58.35%,72%,30.99%,13%,2026-08-20
XPEV,"Xpeng Inc ADR",11.7,-0.68%,56.86%,-2.11%,37.81%,1.503914308384,36.22%,37%,1.42%,1%,2026-08-24
AFRM,"Affirm Holdings Inc Cl A",78.35,+0.04%,69.24%,+2.24%,46.84%,1.4781532877882,48.53%,55%,15.79%,2%,2026-08-27
PL,"Planet Labs Pbc",24.69,-0.24%,96.45%,-0.35%,65.26%,1.4779144958627,38.70%,42%,23.81%,10%,2026-09-03
ZS,"Zscaler Inc",183.6,-2.43%,71.03%,-0.76%,48.98%,1.4502572478563,71.09%,88%,22.42%,55%,2026-09-03
PLUG,"Plug Power Inc",2.32,+0.87%,86.15%,+0.60%,60.18%,1.4315669657694,4.62%,2%,9.44%,8%,2026-11-09
LAES,"Sealsq Corp",3.01,+5.99%,84.99%,-10.49%,59.86%,1.4198112261945,0.50%,1%,8.65%,13%,2026-06-30
MDB,"Mongodb Inc Cl A",460.33,-2.53%,79.17%,-1.10%,56.57%,1.3994891285133,66.25%,83%,35.93%,39%,2026-09-01
