Symbol,Name,Latest,Change,%Change,"IV Rank","IV Pctl","Options Vol","% Put","% Call","P/C Vol"
SPY,"SPDR S&P 500 ETF",765.72,3.12,+0.41%,12.48%,17%,9308551,53.8%,46.2%,1.1647274495518
QQQ,"Invesco QQQ Trust",713.44,2.51,+0.35%,32.72%,37%,6602197,49.6%,50.4%,0.98601259555257
IBIT,"Ishares Bitcoin Trust ETF",43.68,2.48,+6.02%,16.81%,48%,2058240,36.5%,63.5%,0.57376808513567
IWM,"Russell 2000 Ishares ETF",299.96,2.29,+0.77%,5.96%,5%,1264798,64.8%,35.2%,1.8418339834271
TLT,"20+ Year Treas Bond Ishares ETF",82.05,-0.29,-0.35%,30.95%,52%,781458,52.4%,47.6%,1.1008516770079
ETHA,"Ishares Ethereum Trust ETF",18.24,0.69,+3.93%,19.86%,31%,692227,28.8%,71.2%,0.40400903787959
SLV,"Silver Trust Ishares",62.72,1.06,+1.72%,25.60%,47%,687973,16.5%,83.5%,0.19777254312063
GLD,"Gold SPDR",423.36,8.1,+1.95%,42.48%,74%,586553,25.1%,74.9%,0.33485581901309
GDX,"Vaneck Gold Miners ETF",102.83,2.98,+2.98%,68.35%,82%,441058,29.6%,70.4%,0.42010618807976
HYG,"High Yield Corp Bond Ishares Iboxx $ ETF",79.61,0.05,+0.06%,4.16%,20%,435007,78.7%,21.3%,3.6842439644219
TQQQ,"Ultrapro QQQ 3X ETF",71.17,0.69,+0.98%,30.86%,33%,343638,48.6%,51.4%,0.94686926371609
SOXL,"Direxion Daily Semiconductor Bull 3X ETF",120.6,-1.61,-1.32%,38.54%,61%,326014,61.2%,38.8%,1.5744790062622
SMH,"Vaneck Semiconductor ETF",560.42,-2.23,-0.40%,32.69%,39%,293884,78.8%,21.2%,3.722848969884
TSLL,"Direxion Daily Tsla Bull 2X ETF",9.77,0.89,+10.02%,18.08%,15%,253480,16.6%,83.4%,0.19888379132573
EWZ,"Ishares MSCI Brazil ETF",35.06,0.92,+2.69%,20.31%,73%,238897,22.0%,78.0%,0.28209710571933
DRAM,"Roundhill Memory ETF",57.68,0.1,+0.17%,2.16%,1%,219083,33.6%,66.4%,0.50520783236001
USO,"US Oil Fund",134.64,0.1,+0.07%,19.97%,52%,216740,30.2%,69.8%,0.43174221505859
XLF,"S&P 500 Financials Sector SPDR",57.48,0.53,+0.93%,19.31%,29%,201847,62.1%,37.9%,1.6402139932767
KRE,"S&P Regional Banking ETF SPDR",74.86,0.15,+0.20%,0.00%,0%,157836,89.9%,10.1%,8.9124536833511
LQD,"Invst Grade Corp Bond Ishares Iboxx $ ETF",105.92,-0.14,-0.13%,6.88%,57%,113416,63.3%,36.7%,1.7250360403652
XLB,"S&P 500 Materials Sector SPDR",53.54,1.12,+2.14%,10.62%,17%,107919,94.1%,5.9%,15.89137580216
