Symbol,Name,Latest,Change,%Change,"IV Rank","IV Pctl","Options Vol","% Put","% Call","P/C Vol"
NVDA,"Nvidia Corp",217.55,-6.41,-2.86%,31.90%,45%,3695846,40.1%,59.9%,0.6684292140766
TSLA,"Tesla Inc",330.88,2.3,+0.70%,3.73%,1%,1947564,37.8%,62.2%,0.60706806153115
AAPL,"Apple Inc",308.26,-5.07,-1.62%,47.08%,44%,1280592,38.5%,61.5%,0.62596894057418
SPCX,"SpaceX Corp",138.74,5.63,+4.23%,11.58%,11%,1200567,41.8%,58.2%,0.71913814483772
MSFT,"Microsoft Corp",506.06,6.07,+1.21%,34.54%,41%,1108753,30.5%,69.5%,0.43898026379827
MU,"Micron Technology",861,-16.57,-1.89%,43.81%,48%,945127,39.7%,60.3%,0.65884510750329
INTC,"Intel Corp",97.52,-4.13,-4.06%,46.65%,59%,880706,44.1%,55.9%,0.78982002341159
PLTR,"Palantir Technologies Cl A",175.23,3.22,+1.87%,25.69%,26%,803604,40.4%,59.6%,0.67708544202752
AMZN,"Amazon.com Inc",278.09,3.61,+1.32%,26.78%,30%,778689,29.7%,70.3%,0.42149449795179
META,"META Platforms Inc",594.92,2.82,+0.48%,35.56%,53%,704524,26.9%,73.1%,0.36877055757286
AMD,"Adv Micro Devices",469.56,-13.8,-2.86%,38.62%,54%,491487,50.5%,49.5%,1.0207341441153
GOOGL,"Alphabet Cl A",357.52,3.22,+0.91%,26.11%,20%,416277,33.7%,66.3%,0.50844675392442
ACHR,"Archer Aviation Inc",6.26,0.67,+11.99%,60.13%,95%,365914,17.0%,83.0%,0.20425471695008
NFLX,"Netflix Inc",76.29,2.15,+2.90%,30.40%,37%,345389,25.7%,74.3%,0.3450879748265
ORCL,"Oracle Corp",151.05,4.03,+2.74%,68.85%,89%,323543,25.9%,74.1%,0.34882644765915
WULF,"Terawulf Inc",16.2,-0.88,-5.15%,20.98%,21%,304301,20.3%,79.7%,0.25539823592993
HTZ,"Hertz Global Holdings Inc",2.12,-0.15,-6.61%,71.23%,98%,267869,17.5%,82.5%,0.21164928215381
RKLB,"Rocket Lab Corp",80.04,-2.79,-3.37%,64.69%,71%,260459,35.3%,64.7%,0.5464298861221
SMCI,"Super Micro Computer",31.46,0.33,+1.06%,72.85%,87%,226173,29.1%,70.9%,0.41061895020457
