Symbol,Name,Latest,Change,%Change,"IV Rank","IV Pctl","Options Vol","% Put","% Call","P/C Vol"
NVDA,"Nvidia Corp",217.44,-3.34,-1.51%,3.42%,2%,2537774,42.6%,57.4%,0.74221203743687
AAPL,"Apple Inc",325.13,8.28,+2.61%,51.04%,49%,2150889,31.9%,68.1%,0.46745840280981
TSLA,"Tesla Inc",356.09,-11.86,-3.22%,10.62%,6%,1864737,45.8%,54.2%,0.84552143086187
MU,"Micron Technology",933.44,-25.29,-2.64%,20.54%,12%,838579,37.9%,62.1%,0.6090810010093
AMZN,"Amazon.com Inc",254.92,-4.85,-1.87%,19.64%,21%,665436,37.7%,62.3%,0.60565786425759
META,"META Platforms",578.54,6.2,+1.08%,37.37%,53%,614972,30.3%,69.7%,0.43395575287271
SPCX,"SpaceX Corp",142.23,-1.46,-1.02%,0.00%,0%,541219,43.0%,57.0%,0.75579079182996
INTC,"Intel Corp",88.97,-0.54,-0.60%,23.72%,22%,508635,38.2%,61.8%,0.61798621339025
PCG,"Pacific Gas & Electric Company",14.06,0.79,+5.95%,93.38%,99%,394178,16.0%,84.0%,0.19064706912905
MSFT,"Microsoft Corp",501.02,-6.27,-1.24%,22.97%,22%,372292,37.1%,62.9%,0.58968709434994
AMD,"Adv Micro Devices",459.61,-11.11,-2.36%,17.51%,13%,339480,49.6%,50.4%,0.98470604742528
ORCL,"Oracle Corp",141.32,-7.8,-5.23%,60.26%,69%,338516,35.7%,64.3%,0.55444430668632
PLTR,"Palantir Technologies Cl A",179.92,-6.46,-3.47%,14.94%,7%,324268,50.4%,49.6%,1.016592039801
GOOGL,"Alphabet Cl A",335.02,-4.33,-1.28%,11.65%,7%,321875,31.5%,68.5%,0.4603068742741
SLB,"Slb Limited",57.15,-2.95,-4.91%,45.88%,63%,316700,2.5%,97.5%,0.026141164882449
SOFI,"Sofi Technologies Inc",17.05,-0.83,-4.64%,5.64%,4%,312368,33.5%,66.5%,0.50383700665338
DELL,"Dell Technologies",425,-31.01,-6.80%,69.34%,73%,277228,50.6%,49.4%,1.0228680671594
MSTR,"Strategy Inc",124.88,-8.06,-6.06%,27.03%,35%,251865,44.7%,55.3%,0.80827081164519
PFE,"Pfizer Inc",28.55,0.09,+0.32%,19.62%,16%,239693,70.5%,29.5%,2.3891324020135
PBR,"Petroleo Brasileiro S.A. Petrobras ADR",20.33,0.98,+5.06%,13.66%,75%,229183,17.8%,82.2%,0.21663817724314
AVGO,"Broadcom Ltd",369.68,-0.66,-0.18%,53.17%,69%,202138,38.4%,61.6%,0.62345495578704
SNDK,"Sandisk Corp",1536.87,-29.83,-1.90%,17.85%,5%,199194,47.3%,52.7%,0.89869508440488
