Symbol,Name,Latest,%Change,"Imp Vol","IV Chg","30D His Vol",IV/HV,"IV Rank","IV Pctl","HV Rank","HV Pctl",Earnings
PCG,"Pacific Gas & Electric Company",17.82,+1.83%,54.65%,+0.69%,24.11%,2.2668685192866,74.64%,95%,30.94%,33%,2026-10-22
CZR,"Caesars Entertainment Inc",29.63,-0.10%,19.49%,+6.28%,9.31%,2.0931686358754,15.91%,11%,0.00%,0%,2026-10-27
SNOW,"Snowflake Cl A",325.33,-1.45%,69.64%,+1.22%,33.71%,2.0659715218036,69.54%,85%,2.74%,5%,2026-09-02
AI,"C3.Ai Inc Cl A",9.87,+1.75%,79.38%,-0.54%,43.40%,1.8290898617512,53.84%,74%,6.64%,6%,2026-09-02
NIO,"Nio Inc ADR",4.53,-1.52%,53.28%,-0.69%,30.02%,1.7747968021319,11.70%,4%,0.00%,0%,2026-09-01
LULU,"Lululemon Athletica",119.01,+2.83%,56.65%,+0.58%,32.99%,1.7172385571385,55.40%,71%,9.34%,5%,2026-09-03
GRAB,"Grab Holdings Ltd Cl A",3.45,-3.63%,64.45%,+14.31%,39.02%,1.6517631983598,51.92%,98%,67.35%,72%,2026-11-03
TGT,"Target Corp",152.48,+0.97%,40.37%,-0.64%,24.62%,1.6395491470349,47.91%,67%,29.95%,11%,2026-08-19
RILY,"Brc Group Holdings Inc",7.16,+0.70%,65.90%,-10.61%,41.80%,1.5765669856459,0.00%,0%,0.00%,0%,2027-01-13
PL,"Planet Labs Pbc",23.36,-4.18%,99.05%,-1.60%,63.16%,1.5683090563648,42.27%,48%,21.30%,9%,2026-09-03
WMT,"Walmart Inc",115.2,+0.76%,29.75%,-0.21%,19.25%,1.5454701298701,61.32%,75%,30.30%,12%,2026-08-20
XPEV,"Xpeng Inc ADR",11.74,-3.77%,60.17%,-3.11%,38.96%,1.5445020533881,48.68%,61%,3.79%,3%,2026-08-24
BULL,"Webull Corp Cl A",7.93,-2.82%,69.37%,-1.18%,46.58%,1.4892378703306,20.09%,32%,13.54%,10%,2026-08-19
ZS,"Zscaler Inc",185.7,+0.68%,72.14%,-0.80%,48.68%,1.4819207066557,73.02%,90%,22.14%,52%,2026-09-03
LQDA,"Liquidia Corp",74.33,-4.34%,106.84%,-0.04%,72.69%,1.469775760077,30.12%,39%,68.84%,85%,2026-11-02
TJX,"TJX Companies",150.85,0.00%,27.72%,-0.05%,18.89%,1.4675436739015,78.77%,90%,35.89%,62%,2026-08-19
CHWY,"Chewy Inc",23.04,+4.11%,60.80%,+0.48%,42.16%,1.4420208728653,65.07%,79%,38.24%,42%,2026-09-09
PURR,"Hyperliquid Strategies Inc",7.2,+0.70%,90.74%,+2.06%,63.53%,1.4282307571226,1.47%,6%,0.00%,0%,2026-08-19
AFRM,"Affirm Holdings Inc Cl A",73.56,-1.29%,67.86%,+3.14%,48.12%,1.4102909393184,45.16%,52%,19.90%,3%,2026-08-27
AAP,"Advance Auto Parts Inc",56.96,+0.42%,74.96%,+5.30%,53.27%,1.4072592453539,78.29%,88%,52.98%,61%,2026-08-20
PDD,"Pdd Holdings Inc",87.27,+0.38%,41.93%,+0.74%,30.28%,1.3847357992074,69.87%,83%,30.05%,39%,2026-08-24
SLS,"Sellas Life Sciences Group Inc",13.1,+0.77%,117.61%,-10.95%,85.11%,1.3819175185055,15.82%,11%,35.57%,39%,2026-11-11
LAES,"Sealsq Corp",2.74,-5.52%,82.24%,+1.97%,59.67%,1.3781900452489,0.89%,1%,8.52%,11%,2026-06-30
MDB,"Mongodb Inc Cl A",434.62,-0.93%,80.63%,-0.44%,59.06%,1.3651896376566,68.37%,86%,39.09%,43%,2026-09-01
NXE,"Nexgen Energy Ltd",10.26,-4.56%,61.10%,+0.70%,46.10%,1.3254360086768,15.04%,12%,29.45%,10%,2026-11-04
