Symbol,Name,Latest,Change,%Change,"IV Rank","IV Pctl","Options Vol","% Put","% Call","P/C Vol"
NVDA,"Nvidia Corp",216.85,-0.71,-0.33%,36.32%,55%,2116037,36.8%,63.2%,0.58278548919259
TSLA,"Tesla Inc",345.13,-5.99,-1.71%,10.84%,4%,1767754,48.9%,51.1%,0.95555147477729
SPCX,"SpaceX Corp",134,-5.65,-4.05%,0.50%,2%,1181324,52.1%,47.9%,1.0886874051862
AAPL,"Apple Inc",311.3,-5.53,-1.75%,50.67%,49%,1028730,33.0%,67.0%,0.49251587574482
MSTR,"Strategy Inc",112.39,8.14,+7.81%,39.14%,74%,746828,28.9%,71.1%,0.40711027540118
INTC,"Intel Corp",92.13,-0.67,-0.72%,33.62%,41%,739921,41.0%,59.0%,0.69354735343529
MU,"Micron Technology",974.33,37.23,+3.97%,31.31%,35%,679684,42.6%,57.4%,0.74113210833852
MRNA,"Moderna Inc",133.32,-41.06,-23.55%,63.95%,99%,629802,55.7%,44.3%,1.2590227910213
WMT,"Walmart Inc",103.84,-10.46,-9.15%,22.12%,26%,627939,43.6%,56.4%,0.77165694229706
AMZN,"Amazon.com Inc",260.11,-5.73,-2.16%,23.83%,24%,614297,30.8%,69.2%,0.44606479192855
MARA,"Mara Holdings Inc",11.15,1.5,+15.54%,40.21%,43%,463131,24.5%,75.5%,0.32514721282769
AMD,"Adv Micro Devices",469.45,3.03,+0.65%,29.47%,28%,413240,49.4%,50.6%,0.97702623181403
META,"META Platforms",545.83,-0.2,-0.04%,37.88%,54%,396289,40.5%,59.5%,0.68138502791779
BABA,"Alibaba Group Holding ADR",130.53,1.63,+1.26%,33.77%,23%,362652,25.6%,74.4%,0.3438673074999
BULL,"Webull Corp Cl A",8.85,0.21,+2.43%,5.18%,2%,336236,20.3%,79.7%,0.25416736604562
GOOGL,"Alphabet Cl A",340.67,-4.05,-1.17%,14.55%,9%,331866,44.2%,55.8%,0.79068575344388
COIN,"Coinbase Global Cl A",172.35,12.15,+7.58%,44.84%,55%,329975,31.2%,68.8%,0.45348709161627
WULF,"Terawulf Inc",16.45,0.95,+6.13%,19.05%,16%,323420,71.0%,29.0%,2.4484155755534
PLTR,"Palantir Technologies Cl A",173.96,-1.23,-0.70%,17.41%,10%,319918,47.0%,53.0%,0.88792304741672
SOFI,"Sofi Technologies Inc",17.92,-0.5,-2.71%,5.82%,4%,313957,29.8%,70.2%,0.42422881509708
SMCI,"Super Micro Computer",36.5,-0.08,-0.22%,41.34%,43%,302039,19.9%,80.1%,0.2488897893701
NFLX,"Netflix Inc",80.14,-0.08,-0.10%,26.62%,32%,300273,43.5%,56.5%,0.77058199186273
BMNR,"Bitmine Immersion Technologies",21.57,1.33,+6.57%,15.00%,13%,251704,16.6%,83.4%,0.19916721851938
MRVL,"Marvell Technology Inc",251.01,13.74,+5.79%,56.30%,72%,246884,29.4%,70.6%,0.41550563601546
QXO,"Qxo Inc",13.34,-0.77,-5.46%,53.90%,61%,238822,5.3%,94.7%,0.056299841215783
CRWV,"Coreweave Cl A",89.76,-1.11,-1.22%,13.40%,6%,238023,55.8%,44.2%,1.2616516062826
MSFT,"Microsoft Corp",481.15,-3.16,-0.65%,29.52%,30%,237336,47.9%,52.1%,0.92027185565759
ORCL,"Oracle Corp",142.07,-1.74,-1.21%,65.01%,82%,225780,51.8%,48.2%,1.0731259411613
HOOD,"Robinhood Markets Cl A",95.1,-0.67,-0.70%,30.00%,30%,223635,24.5%,75.5%,0.32453802416489
AVGO,"Broadcom Ltd",364.03,1.55,+0.43%,50.86%,65%,220545,44.3%,55.7%,0.79433253059099
NBIS,"Nebius Group N.V. Cl A",220.11,-3.79,-1.69%,23.89%,32%,216892,56.5%,43.5%,1.3014855687606
SNDK,"Sandisk Corp",1600.62,31.75,+2.02%,31.48%,10%,216028,40.0%,60.0%,0.6660471214283
PURR,"Hyperliquid Strategies Inc",10.08,0.69,+7.35%,15.05%,75%,204934,7.8%,92.2%,0.084031568702129
PTEN,"Patterson-Uti Energy",12.18,0.12,+1.00%,26.59%,31%,191574,0.1%,99.9%,0.0009404684
IREN,"Iren Limited",42.6,-0.24,-0.56%,25.68%,18%,185747,38.4%,61.6%,0.6246282755484
GOOG,"Alphabet Cl C",338.2,-3.5,-1.02%,15.10%,11%,183635,43.9%,56.1%,0.78260447507645
TEM,"Tempus AI Cl A",66.65,5.4,+8.82%,49.15%,66%,166432,17.9%,82.1%,0.21828243492519
