Symbol,Name,Latest,Change,%Change,"Options Vol","P/C Vol","30D His Vol","Imp Vol","IV Rank","IV Pctl",Earnings
RZLV,"Rezolve AI Plc",2.5,0.05,+2.04%,11564,1.70946579194,47.68%,83.29%,0.00%,0%,2026-09-01
INFQ,"Infleqtion Inc",12.5,-0.41,-3.18%,10678,0.2451026119403,93.19%,91.23%,0.00%,0%,2026-11-11
PTON,"Peloton Interactive Inc",5.47,0.16,+3.01%,73403,0.011172029975755,66.44%,41.30%,0.00%,0%,2026-11-05
SKHY,"SK hynix Inc",156.16,0.54,+0.35%,121416,1.3602503790677,N/A,73.23%,0.00%,0%,N/A
KLAR,"Klarna Group Plc",14.73,-0.33,-2.19%,27170,0.85714285714286,88.98%,52.21%,0.00%,0%,2026-08-18
LYFT,"Lyft Inc Cl A",17.43,0.5,+2.95%,34593,0.32428604241635,45.57%,40.51%,0.00%,0%,2026-11-04
BBAI,"Bigbear.Ai Holdings Inc",3.17,0.05,+1.60%,14468,0.23912298732443,63.92%,69.31%,0.00%,0%,2026-11-09
VST,"Vistra Energy Corp",142.7,2.18,+1.55%,49545,1.6233718098062,47.51%,42.34%,0.00%,0%,2026-11-05
RGTI,"Rigetti Computing Inc",17,-0.71,-4.01%,53920,1.3894354338385,87.02%,71.89%,0.00%,0%,2026-11-09
DOW,"Dow Inc",31.75,0.56,+1.80%,10443,0.28766954377312,36.92%,38.30%,0.00%,0%,2026-10-22
RILY,"Brc Group Holdings Inc",7.23,0.07,+0.98%,6722,0.0710643722116,40.58%,64.69%,0.00%,0%,2027-01-13
AMPX,"Amprius Technologies Inc",10.63,-0.08,-0.75%,11725,0.52391473875747,88.09%,81.58%,0.00%,0%,2026-11-05
LMND,"Lemonade Inc",51.25,1.13,+2.25%,6124,0.20574916322111,92.13%,53.97%,0.00%,0%,2026-11-04
OPRA,"Opera Ltd ADR",18.12,-1.39,-7.12%,7083,0.12161520190024,44.99%,29.89%,0.00%,0%,2026-08-19
ZVRA,"Zevra Therapeutics Inc",12.13,0.56,+4.84%,8100,0.91852202747513,96.17%,47.05%,0.00%,0%,2026-11-04
SPCX,"SpaceX Corp",139.65,-3.69,-2.57%,694450,0.61828172480006,89.03%,62.22%,0.00%,0%,2026-11-03
UUUU,"Energy Fuels Inc",14.85,0.76,+5.39%,11068,0.32837253960634,69.60%,70.03%,0.05%,1%,2026-11-02
TE,"T1 Energy Inc",4.55,-0.1,-2.15%,18230,0.3807467999697,118.32%,104.38%,0.08%,1%,2026-11-13
ONDS,"Ondas Inc",8.9,-0.16,-1.77%,97553,0.32519629418317,89.00%,77.75%,0.19%,1%,2026-11-12
CRBG,"Corebridge Financial Inc",32.57,-0.55,-1.66%,6937,47.173611111111,32.16%,26.05%,0.54%,1%,2026-11-02
DECK,"Deckers Outdoor Corp",91.57,2.06,+2.30%,4967,0.30026178010471,38.94%,34.04%,0.57%,1%,2026-10-22
QS,"Quantumscape Corp",5.88,0.12,+2.08%,16274,0.21829615211858,73.98%,71.87%,0.68%,2%,2026-10-28
FRMI,"Fermi Inc",5.76,0.02,+0.35%,65148,0.20437025123399,131.69%,99.33%,0.98%,1%,2026-11-09
XYZ,"Block Inc",80.93,1.5,+1.89%,12477,0.26682911970758,38.07%,34.74%,1.11%,1%,2026-11-05
PSKY,"Paramount Skydance Corp Cl B",10.6,0.17,+1.63%,105656,0.087980888046791,40.65%,45.52%,1.12%,1%,2026-11-03
OKLO,"Oklo Inc",42.94,1.58,+3.82%,98410,0.14864312810038,89.94%,75.86%,1.25%,1%,2026-11-10
SPCE,"Virgin Galactic Holdings Inc",3.21,0.02,+0.63%,22808,0.78452390266802,66.81%,83.67%,1.27%,1%,2026-11-12
LAC,"Lithium Americas Corp",3,0.04,+1.35%,7318,0.15480511282941,60.17%,65.67%,1.32%,1%,2026-11-12
SBUX,"Starbucks Corp",104.98,-1.03,-0.97%,14241,0.86254250588543,20.79%,25.17%,1.35%,2%,2026-11-04
DAL,"Delta Air Lines Inc",83.29,-2.41,-2.81%,27196,0.6193878766226,32.93%,33.92%,1.39%,1%,2026-10-08
USAR,"USA Rare Earth Inc",18.09,-0.42,-2.27%,18684,0.39997002847295,84.29%,86.37%,1.41%,1%,2026-11-05
UAMY,"United States Antimony Corp",5.73,0.53,+10.19%,12646,0.37516311439756,126.66%,94.07%,1.45%,1%,2026-11-11
CHYM,"Chime Financial Inc Cl A",33.07,1.16,+3.64%,7619,0.53919191919192,67.45%,51.66%,1.58%,2%,2026-11-04
U,"Unity Software Inc",47.11,0.37,+0.79%,14691,0.45845329097588,58.11%,52.77%,1.65%,1%,2026-11-04
ECHO,"Echostar Corp",88.43,-1.57,-1.74%,5585,0.95143256464011,45.14%,48.12%,1.80%,3%,2026-11-05
CLOV,"Clover Health Investments Corp",4.22,-0.01,-0.24%,14423,1.3733750205694,66.57%,57.20%,1.94%,2%,2026-11-03
SYM,"Symbotic Inc",42.02,1.56,+3.86%,6882,0.14318936877076,67.41%,55.23%,2.05%,1%,2026-11-23
SOFI,"Sofi Technologies Inc",18.42,0.76,+4.30%,336052,0.37429404523836,59.25%,46.49%,2.23%,2%,2026-10-27
NEE,"Nextera Energy",85.91,-0.31,-0.36%,6811,1.4517638588913,12.44%,20.78%,2.33%,1%,2026-10-27
XP,"XP Inc Cl A",16.53,0.69,+4.36%,12426,0.17927303786657,38.42%,36.92%,2.35%,3%,2026-11-16
ASST,"Strive Inc",14.73,1.93,+15.08%,34217,0.34315996074583,79.33%,90.78%,2.38%,5%,2026-11-09
AUR,"Aurora Innovation Inc Cl A",6.2,0.05,+0.73%,8871,0.2649365464138,67.82%,60.83%,2.63%,5%,2026-10-27
PSNL,"Personalis Inc",15.81,1.9,+13.66%,6781,0.095830639948287,77.28%,53.64%,2.76%,1%,2026-11-03
ROKU,"Roku Inc",156.8,-0.98,-0.62%,5962,0.24649801379887,13.52%,17.38%,2.98%,3%,2026-10-29
BROS,"Dutch Bros Inc Cl A",50.27,1.83,+3.78%,7726,0.3727789623312,69.26%,40.62%,3.08%,5%,2026-11-04
RKLB,"Rocket Lab Corp",75.84,-3.32,-4.19%,87604,0.49563792190941,80.24%,74.45%,3.14%,2%,2026-11-09
QBTS,"D-Wave Quantum Inc",19.32,-0.21,-1.08%,32283,0.76332750710072,102.71%,78.26%,3.15%,3%,2026-11-05
UAL,"United Airlines Holdings",115.78,-2.94,-2.48%,14542,1.1643101652032,39.48%,40.80%,3.17%,3%,2026-10-21
NVO,"Novo Nordisk A/S ADR",46.48,0.77,+1.68%,91514,0.36745214649672,40.96%,32.00%,3.27%,2%,2026-11-04
KOS,"Kosmos Energy Ltd",2.82,0.08,+2.92%,9946,0.084150861129278,82.59%,71.58%,3.27%,2%,2026-11-02
TGT,"Target Corp",159,6.52,+4.28%,71423,0.69168640454761,25.12%,29.33%,3.32%,5%,2026-08-19
ASTS,"Ast Spacemobile Inc",66.43,-0.64,-0.95%,83847,0.54212723694617,95.06%,78.04%,3.35%,4%,2026-11-09
SMR,"Nuscale Power Corp",9.29,0.65,+7.52%,42739,0.46818962555823,88.26%,78.56%,3.39%,1%,2026-11-05
CEG,"Constellation Energy",274.17,7.34,+2.75%,7405,0.85961828227022,34.91%,39.58%,3.43%,2%,2026-11-06
LAES,"Sealsq Corp",2.6,-0.14,-5.11%,29551,0.037241137241137,61.26%,88.42%,3.69%,4%,2026-06-30
PLUG,"Plug Power Inc",2.25,0.09,+4.17%,19876,0.12599138907772,61.04%,79.64%,3.76%,1%,2026-11-09
RIG,"Transocean Inc",5.84,0.02,+0.34%,13188,0.24052299877716,41.66%,46.39%,3.84%,3%,2026-11-04
METC,"Ramaco Resources Inc",12.06,0.46,+3.97%,13227,0.29081682443642,83.06%,80.23%,4.04%,3%,2026-10-26
ALLY,"Ally Financial",43.11,-0.52,-1.19%,6697,1.1226624405705,23.46%,25.06%,4.16%,1%,2026-10-16
SCHW,"The Charles Schwab Corp",110.88,-0.8,-0.72%,14852,1.2337193562942,16.62%,21.31%,4.25%,1%,2026-10-15
