Symbol,Name,Latest,Change,%Change,"IV Rank","IV Pctl","Options Vol","% Put","% Call","P/C Vol"
NVDA,"Nvidia Corp",213.05,4.57,+2.19%,38.70%,60%,1926274,27.8%,72.2%,0.38529039496016
TSLA,"Tesla Inc",350.25,1.3,+0.37%,11.56%,5%,1887560,37.7%,62.3%,0.6059379102456
AAPL,"Apple Inc",309.9,-0.44,-0.14%,46.79%,42%,680285,34.3%,65.7%,0.52263636994411
SPCX,"SpaceX Corp",137.95,2.95,+2.19%,0.00%,0%,572993,33.8%,66.2%,0.510495833564
INTC,"Intel Corp",87.48,0.22,+0.25%,30.35%,33%,561025,28.4%,71.6%,0.39571303826472
AMZN,"Amazon.com Inc",261.06,-1.01,-0.39%,23.00%,22%,524178,35.7%,64.3%,0.55429896454792
MU,"Micron Technology",932.97,22.54,+2.48%,28.22%,24%,491738,37.9%,62.1%,0.61090363498179
AMD,"Adv Micro Devices",479.18,22.43,+4.91%,28.50%,25%,407273,42.0%,58.0%,0.72379743085095
META,"META Platforms",570.05,11.03,+1.97%,35.80%,51%,372283,25.5%,74.5%,0.34264899468037
PLTR,"Palantir Technologies Cl A",172.73,-3.16,-1.80%,17.87%,11%,361655,38.6%,61.4%,0.62854839871753
SOFI,"Sofi Technologies Inc",19,0.76,+4.17%,15.38%,11%,359449,20.9%,79.1%,0.26363211311376
MSTR,"Strategy Inc",126.83,4.2,+3.42%,33.46%,58%,359011,46.2%,53.8%,0.85904326933035
NFLX,"Netflix Inc",82.23,2.22,+2.77%,30.10%,37%,323472,26.6%,73.4%,0.36325016857721
MRNA,"Moderna Inc",158.83,19.94,+14.36%,41.80%,92%,291280,39.1%,60.9%,0.64151347452183
HOOD,"Robinhood Markets Cl A",112.09,8.47,+8.17%,35.84%,38%,278197,31.3%,68.7%,0.45468568619864
SMCI,"Super Micro Computer",38.46,3.29,+9.35%,37.47%,37%,274536,22.0%,78.0%,0.28270468020689
