Symbol,Name,Latest,Change,%Change,"IV Rank","IV Pctl","Options Vol","% Put","% Call","P/C Vol"
NVDA,"Nvidia Corp",219.74,-5.27,-2.34%,30.51%,45%,1954422,36.4%,63.6%,0.57147796385577
TSLA,"Tesla Inc",336.87,-2.43,-0.72%,9.26%,3%,1523232,44.3%,55.7%,0.79534530676517
AAPL,"Apple Inc",310.03,4.44,+1.45%,45.23%,41%,1081493,29.4%,70.6%,0.41720284412109
INTC,"Intel Corp",96.68,-6.81,-6.58%,35.58%,45%,867431,41.1%,58.9%,0.6981646616615
MU,"Micron Technology",940.76,-70.99,-7.02%,33.15%,34%,847088,43.6%,56.4%,0.77263643383438
META,"META Platforms",543.67,-25.3,-4.45%,38.47%,56%,823015,45.0%,55.0%,0.81981505886099
SPCX,"SpaceX Corp",143.34,-2.89,-1.98%,0.00%,0%,747096,42.2%,57.8%,0.7308152088295
AMZN,"Amazon.com Inc",259.45,-1.86,-0.71%,20.45%,19%,699725,34.4%,65.6%,0.52493374827833
AMD,"Adv Micro Devices",484.39,-21.61,-4.27%,29.23%,28%,384131,49.2%,50.8%,0.96912501217468
NFLX,"Netflix Inc",77.77,1.75,+2.30%,27.15%,34%,359490,24.7%,75.3%,0.32855115526187
CVX,"Chevron Corp",205.74,3.04,+1.50%,48.46%,44%,349100,3.7%,96.3%,0.038487395957901
MSFT,"Microsoft Corp",481.63,1.28,+0.27%,28.86%,29%,330541,34.9%,65.1%,0.53531482823328
PLTR,"Palantir Technologies Cl A",171.54,-1.01,-0.59%,10.71%,4%,305325,42.8%,57.2%,0.74858114802449
CRWV,"Coreweave Cl A",93.17,-12.83,-12.10%,16.77%,10%,296224,48.9%,51.1%,0.95615193618258
WULF,"Terawulf Inc",15.62,-1.98,-11.25%,19.21%,16%,294289,28.6%,71.4%,0.40002283506896
SNDK,"Sandisk Corp",1625.78,-161.07,-9.01%,33.34%,13%,271009,45.2%,54.8%,0.8258370949269
GOOGL,"Alphabet Cl A",344.2,0.2,+0.06%,12.74%,7%,250049,34.6%,65.4%,0.52867850243318
MSTR,"Strategy Inc",92.52,-5.16,-5.28%,25.90%,34%,235796,38.1%,61.9%,0.61643610238973
SOFI,"Sofi Technologies Inc",17.66,-0.65,-3.55%,1.09%,1%,233980,27.7%,72.3%,0.38356374989652
AVGO,"Broadcom Ltd",380,-12.43,-3.17%,47.02%,55%,229024,43.0%,57.0%,0.75360254819987
NBIS,"Nebius Group N.V. Cl A",248.43,-20.42,-7.60%,26.07%,40%,220690,49.4%,50.6%,0.97669419414936
IREN,"Iren Limited",42,-2.9,-6.46%,19.45%,10%,208616,27.7%,72.3%,0.38279002558562
SMCI,"Super Micro Computer",37.41,-0.87,-2.27%,38.04%,40%,197988,27.4%,72.6%,0.37744197695776
NKE,"Nike Inc",40.06,0.97,+2.48%,25.72%,19%,196733,27.1%,72.9%,0.372243070184
CIFR,"Cipher Digital Inc",16.09,-2.41,-13.00%,17.95%,34%,187733,31.6%,68.4%,0.4623227917121
ORCL,"Oracle Corp",142.79,-3.86,-2.63%,61.56%,75%,176697,34.4%,65.6%,0.52357835740461
CVNA,"Carvana Company Cl A",65,-5.09,-7.26%,22.26%,27%,172183,73.4%,26.6%,2.7557639873487
BIDU,"Baidu Inc ADR",90.87,-13.25,-12.73%,35.63%,24%,151627,37.4%,62.6%,0.59790707232509
WOLF,"Wolfspeed Inc",31.46,-3.5,-10.01%,12.85%,49%,149666,63.9%,36.1%,1.7665717771452
PCG,"Pacific Gas & Electric Company",17.82,0.32,+1.83%,74.64%,95%,149504,23.8%,76.2%,0.31212919080218
ONDS,"Ondas Inc",9.06,0.06,+0.67%,0.82%,1%,148826,27.9%,72.1%,0.38737042285032
BE,"Bloom Energy Corp Cl A",209.01,-23.15,-9.97%,9.26%,4%,144102,37.5%,62.5%,0.59997779381558
BAC,"Bank of America Corp",64.23,0.34,+0.53%,4.32%,2%,139366,54.1%,45.9%,1.1805579459578
HOOD,"Robinhood Markets Cl A",91.53,-4.72,-4.90%,15.17%,5%,138903,36.4%,63.6%,0.57174540311174
SKHY,"SK hynix Inc",155.62,-15.76,-9.20%,2.00%,8%,138077,59.7%,40.3%,1.4843823095469
