Symbol,Name,Latest,Change,%Change,"IV Rank","Options Vol","1M Vol %Chg","Put Vol","Call Vol","Total OI"
CBL,"Cbl & Associates Properties Inc",58.11,0.54,+0.94%,30.35%,4486,"+1,858.95%",0,4486,1139
HIW,"Highwoods Properties",31.51,-0.31,-0.97%,18.12%,14467,"+1,622.26%",13,14454,5770
ROIV,"Roivant Sciences Ltd",36.2,-0.08,-0.22%,34.94%,9971,"+1,607.36%",4908,5063,47506
DHT,"Dht Holdings",19.52,0.32,+1.67%,45.33%,172963,"+1,406.65%",1106,171857,110401
FTI,"Technipfmc Plc",78.61,1.94,+2.53%,24.97%,16199,"+1,323.46%",3072,13127,32004
IR,"Ingersoll Rand Inc",83.34,-0.94,-1.12%,24.50%,10907,"+1,236.64%",2,10905,27205
SNDA,"Sonida Senior Living Inc",39.15,-0.08,-0.20%,14.84%,4491,"+1,183.14%",10,4481,603
IMXI,"International Money Express Inc",14.59,2.89,+24.70%,46.43%,7741,"+1,122.91%",3166,4575,20937
MTA,"Metalla Royalty and Streaming Ltd",9.75,0.68,+7.50%,12.96%,6742,+973.57%,64,6678,10255
AS,"Amer Sports Inc",32.87,-0.25,-0.75%,57.97%,65203,+802.84%,493,64710,134128
FDXF,"Fedex Freight Holding Company Inc",150.29,-1.7,-1.12%,46.65%,5405,+767.58%,4837,568,6905
EYPT,"Eyepoint Inc",14.75,1.27,+9.42%,100.00%,33960,+719.10%,27205,6755,99835
VIK,"Viking Holdings Ltd",97.99,-8.12,-7.65%,67.22%,7814,+580.07%,3516,4298,32770
KULR,"Kulr Technology Group Inc",2.64,-0.33,-11.11%,13.61%,5110,+544.39%,2988,2122,68247
PTC,"Ptc Inc",149.75,-4.14,-2.69%,69.38%,4475,+535.65%,4,4471,14286
COP,Conocophillips,126.78,2.26,+1.81%,27.93%,89216,+521.50%,4039,85177,311758
APAM,"Artisan Partners Asset Mgmt",42.18,-0.5,-1.17%,32.16%,5070,+520.56%,4,5066,6805
