Symbol,Name,Latest,Change,%Change,"IV Rank","Options Vol","1M Vol %Chg","Put Vol","Call Vol","Total OI"
DK,"Delek US Holdings",65.47,-2.83,-4.14%,20.47%,5010,+512.47%,36,4974,13279
TSSI,"Tss Inc",9.68,-2.28,-19.06%,22.99%,12668,+510.80%,2578,10090,39573
QMCO,"Quantum Corp",26.11,1.43,+5.79%,6.16%,10999,+451.33%,4578,6421,18426
SAN,"Banco Santander ADR",14.76,-0.02,-0.14%,13.32%,7984,+428.39%,4856,3128,62259
XOM,"Exxonmobil Holdings Corp",160.1,1.49,+0.94%,51.31%,397728,+403.44%,15140,382588,1046658
WDAY,"Workday Inc",198.68,-7.77,-3.76%,49.98%,61894,+398.50%,32823,29071,186853
IVZ,"Invesco Limited",32.55,0.19,+0.59%,25.40%,7774,+397.38%,85,7689,31972
BW,"Babcock & Wilcox Enterprises",10.29,0.94,+10.05%,0.38%,31530,+394.59%,24456,7074,119514
IEP,"Icahn Enterprises",7.42,-0.08,-1.07%,24.02%,8358,+382.84%,564,7794,126247
NU,"NU Holdings Ltd Cl A",15.23,1.3,+9.33%,28.75%,340289,+374.44%,84915,255374,1921681
FOXA,"Fox Corp Cl A",69.04,3.59,+5.49%,40.14%,11839,+333.35%,129,11710,63921
VERA,"Vera Therapeutics Inc Cl A",31.63,2.74,+9.48%,42.93%,4433,+332.07%,749,3684,30974
LPTH,"Lightpath Tech Inc",15.17,2.05,+15.63%,5.81%,10985,+328.60%,1814,9171,58384
DNUT,"Krispy Kreme Inc",3.33,0.05,+1.52%,10.98%,17916,+326.17%,379,17537,77005
GMAB,"Genmab A/S ADR",31.94,0.6,+1.91%,44.31%,5438,+325.18%,15,5423,65247
UMAC,"Unusual Machines Inc",34.06,6.82,+25.04%,60.03%,36587,+292.23%,11827,24760,97366
CAPR,"Capricor Therap",6.65,2.44,+57.96%,45.36%,51623,+288.84%,28423,23200,216940
RDDT,"Reddit Cl A",178.09,19.97,+12.63%,9.20%,224055,+283.99%,66947,157108,547976
VIVO,"Vivopower Plc",4.87,0.28,+6.10%,8.94%,7760,+283.78%,2000,5760,33607
FIGR,"Figure Technology Solutions Inc Cl A",31.43,-0.45,-1.41%,4.68%,62398,+282.72%,25669,36729,174542
COF,"Capital One Financial",227.34,3.51,+1.57%,5.81%,44251,+281.54%,2848,41403,162278
BORR,"Borr Drilling Ltd",4.43,0.39,+9.65%,7.54%,6108,+276.11%,2255,3853,66499
NKTR,"Nektar Therapeutics",73.02,-2.9,-3.82%,13.06%,5951,+273.10%,1930,4021,46904
STNE,"Stoneco Ltd Cl A",9.55,-0.68,-6.65%,15.73%,9017,+267.14%,4469,4548,116714
CPRT,"Copart Inc",31.61,2.22,+7.55%,78.07%,18544,+266.12%,13269,5275,122092
SGML,"Sigma Lithium Corp",11.99,0.66,+5.83%,22.04%,9405,+260.90%,583,8822,51881
INDI,"Indie Semiconductor Cl A",4.71,0.57,+13.77%,76.95%,19278,+258.99%,332,18946,158016
MAT,"Mattel Inc",15.03,0.15,+1.01%,18.99%,17212,+255.25%,19,17193,84700
RPD,"Rapid7 Inc",13,-0.78,-5.66%,37.17%,4108,+245.21%,139,3969,47584
LTH,"Life Time Group Holdings Inc",45.26,0.95,+2.14%,30.35%,7619,+241.97%,7384,235,42093
NMAX,"Newsmax Inc Cl B",10.87,1.38,+14.54%,9.25%,9346,+241.22%,2222,7124,23802
AMAT,"Applied Materials",507.18,-27.36,-5.12%,38.53%,190796,+233.97%,98017,92779,579957
ROKU,"Roku Inc",157.68,3.6,+2.34%,0.00%,20275,+230.16%,1246,19029,108503
MPC,"Marathon Petroleum Corp",355.42,-0.95,-0.27%,66.05%,12587,+225.67%,1265,11322,80017
OSS,"One Stop Systems Inc",13.61,0.5,+3.81%,0.00%,6439,+222.60%,71,6368,45385
GO,"Grocery Outlet Holding Corp",11.13,0.33,+3.06%,32.35%,4263,+221.01%,325,3938,51457
ESTC,"Elastic N.V.",86.68,0.65,+0.76%,65.11%,6978,+220.98%,370,6608,62148
UPS,"United Parcel Service",104.5,-1.04,-0.99%,7.97%,81358,+217.57%,6409,74949,414888
ZIM,"Zim Integrated Shipping Services Ltd",28.14,1.32,+4.92%,17.38%,21228,+214.63%,4056,17172,238252
TPR,"Tapestry Inc",128.98,0.59,+0.46%,2.12%,12257,+213.24%,3586,8671,60406
BIDU,"Baidu Inc ADR",103.67,-1.01,-0.96%,48.93%,83100,+209.67%,35819,47281,403983
AEP,"American Electric Power",125.6,0.22,+0.18%,30.24%,5573,+200.59%,3678,1895,57806
ALOY,"Realloys Inc",14.72,1.77,+13.67%,16.01%,7492,+199.32%,2979,4513,32070
ACMR,"Acm Research Inc",80.42,-0.77,-0.95%,39.98%,20533,+196.25%,585,19948,66527
LEN,"Lennar Corp",86.83,-0.71,-0.81%,51.79%,11317,+187.09%,1970,9347,125267
AVGO,"Broadcom Ltd",392.99,-24.83,-5.94%,44.35%,621239,+185.01%,250504,370735,2079481
TIGR,"Up Fintech Holding Ltd ADR",4.6,-0.06,-1.29%,17.74%,12159,+175.28%,493,11666,148564
AME,"Ametek Inc",254.79,-1.43,-0.56%,31.95%,6007,+170.34%,32,5975,25211
AMPG,"Amplitech Group",3.99,-1.99,-33.31%,15.69%,11981,+169.42%,4571,7410,73241
NN,"Nextnav Inc",19.9,0.39,+1.97%,39.78%,89583,+167.25%,1879,87704,533979
NEM,"Newmont Mining Corp",117.76,3.57,+3.13%,36.17%,65527,+166.14%,11081,54446,565665
BKR,"Baker Hughes Company",64.82,1.38,+2.18%,33.44%,8150,+160.55%,6791,1359,80631
PONY,"Pony AI Inc ADR",8.14,-0.19,-2.28%,9.84%,7404,+160.25%,674,6730,78084
GIS,"General Mills",39.2,0.29,+0.75%,41.89%,22355,+158.89%,15637,6718,229004
LUNR,"Intuitive Machines Inc",19.01,1.45,+8.26%,36.28%,65839,+154.58%,17623,48216,345145
STUB,"Stubhub Holdings Inc Cl A",8.08,0.4,+5.21%,3.43%,33344,+153.18%,3050,30294,181203
TMC,"Tmc The Metals Company",4.01,-0.4,-9.07%,15.52%,29284,+150.53%,13493,15791,427012
KKR,"KKR & Company LP",114.01,-1.29,-1.12%,20.00%,30357,+147.03%,19303,11054,288279
CSCO,"Cisco Systems Inc",111.68,-1.79,-1.58%,32.33%,181219,+146.91%,70827,110392,1158113
AAOI,"Applied Optoelect",150.28,20.2,+15.53%,38.80%,150960,+146.72%,57221,93739,341847
MP,"MP Materials Corp",58.74,3.08,+5.53%,10.47%,72843,+146.33%,24754,48089,472135
KHC,"Kraft Heinz Company",25.51,0.13,+0.51%,47.26%,89486,+146.09%,3405,86081,423756
VG,"Venture Global Inc Cl A",13.99,0.45,+3.32%,24.99%,79913,+145.12%,6581,73332,832641
SM,"Sm Energy Company",33.75,1.33,+4.10%,9.37%,4136,+144.88%,1844,2292,78498
HIVE,"Hive Digital Technologies Ltd",2.69,0.11,+4.26%,14.83%,21435,+143.50%,2378,19057,340157
RCAT,"Red Cat Holdings Inc",11.13,0.9,+8.80%,18.38%,46877,+142.11%,9347,37530,287366
ABCL,"Abcellera Biologics Inc",11.38,0.41,+3.74%,5.08%,20487,+139.11%,5995,14492,162176
KOPN,"Kopin Corp",5.5,0.67,+13.87%,9.07%,12647,+138.89%,649,11998,106403
GLOB,"Globant S.A.",37.38,-3.61,-8.81%,32.01%,4103,+137.72%,2195,1908,24870
SCCO,"Southern Copper Corp",184.61,-2.98,-1.59%,44.82%,9510,+133.37%,6772,2738,46521
HPQ,"HP Inc",30.11,-1.19,-3.80%,81.25%,66183,+127.91%,54292,11891,535319
BLSH,"Bullish Ord Shs",24.39,-3.09,-11.24%,0.00%,10512,+124.04%,1866,8646,53404
OSCR,"Oscar Health Inc Cl A",32.76,1.98,+6.43%,10.84%,40394,+123.44%,13223,27171,524088
PSKY,"Paramount Skydance Corp Cl B",10.14,0.17,+1.71%,7.28%,57130,+121.20%,11840,45290,1239030
CRGY,"Crescent Energy Company Cl A",12.2,0.3,+2.52%,0.00%,5644,+115.17%,3363,2281,76117
MRAM,"Everspin Technologies Inc",18.88,2.05,+12.18%,28.67%,4270,+113.93%,311,3959,43369
NXPI,"Nxp Semiconductors",234.71,2.8,+1.21%,27.02%,13506,+113.84%,569,12937,133553
SNDK,"Sandisk Corp",1641.11,113,+7.39%,32.70%,535546,+110.80%,211044,324502,1056248
FLEX,"Flextronics Intl Ltd",126.16,1.86,+1.50%,53.76%,16154,+109.71%,10128,6026,90291
SPCE,"Virgin Galactic Holdings Inc",3.32,0.18,+5.73%,2.49%,55450,+108.69%,8903,46547,476932
PL,"Planet Labs Pbc",24.69,-0.06,-0.24%,38.70%,27170,+106.51%,14013,13157,256456
SO,"Southern Company",92.8,0.01,+0.01%,24.51%,10659,+103.14%,1662,8997,114687
KEEL,"Keel Infrastructure Corp",3.51,0.2,+6.04%,25.15%,96866,+99.43%,17591,79275,1104401
CIFR,"Cipher Digital Inc",17.85,1.23,+7.43%,10.93%,248594,+99.26%,87559,161035,1568163
CVX,"Chevron Corp",200,2.3,+1.16%,51.44%,78053,+98.72%,15349,62704,574633
CBRS,"Cerebras Systems Cl A",218.98,-12.03,-5.21%,11.28%,78192,+96.29%,45886,32306,305179
YSS,"York Space Systems Inc",10.93,-0.58,-5.04%,12.95%,6624,+95.46%,4289,2335,54339
MOS,"Mosaic Company",21.61,-0.17,-0.78%,37.87%,19092,+93.55%,2692,16400,437876
ALT,"Altimmune Inc",2.94,0.06,+2.08%,9.91%,7538,+93.38%,2159,5379,179447
TSLA,"Tesla Inc",342.27,2.31,+0.68%,5.72%,4419292,+89.33%,1662340,2756952,5966246
HUT,"Hut 8 Corp",85.44,2.49,+3.00%,25.46%,48341,+88.82%,15272,33069,317934
OUST,"Ouster Inc",48.71,3.58,+7.93%,40.20%,19095,+85.97%,3160,15935,126408
DGXX,"Digi Power X Inc",3.97,-0.16,-3.87%,0.00%,11667,+85.48%,354,11313,159631
PSX,"Phillips 66",233.61,1,+0.43%,62.94%,6538,+84.43%,1022,5516,80025
NVO,"Novo Nordisk A/S ADR",45.89,-0.83,-1.78%,0.00%,117607,+83.98%,16839,100768,1498618
LAC,"Lithium Americas Corp",3.38,-0.05,-1.46%,0.74%,18084,+82.98%,2155,15929,369421
SEZL,"Sezzle Inc",128.96,-0.91,-0.70%,4.23%,4958,+82.41%,667,4291,46987
CSIQ,"Canadian Solar Inc",15.14,-0.17,-1.11%,50.57%,8440,+79.54%,2406,6034,172859
ZVRA,"Zevra Therapeutics Inc",11.32,0.14,+1.25%,12.39%,8029,+79.02%,4934,3095,61559
LAES,"Sealsq Corp",3.01,0.17,+5.99%,0.50%,43755,+78.55%,4005,39750,879403
NBIS,"Nebius Group N.V. Cl A",277.68,22.64,+8.88%,32.48%,518639,+78.44%,229765,288874,1557093
MRNA,"Moderna Inc",63.32,-0.33,-0.52%,26.13%,72480,+78.19%,6773,65707,662165
HWM,"Howmet Aerospace Inc",289.18,6.36,+2.25%,10.40%,4801,+77.81%,2904,1897,43976
RKT,"Rocket Companies Cl A",14.76,-0.28,-1.86%,21.78%,97732,+76.24%,19060,78672,1035199
ONDS,"Ondas Inc",9.24,0.33,+3.70%,0.00%,308269,+75.32%,66284,241985,1858347
NNE,"Nano Nuclear Energy Inc",19.66,-0.86,-4.19%,27.61%,10227,+73.02%,3142,7085,101158
GLXY,"Galaxy Digital Holdings",21.66,0.71,+3.39%,17.61%,47263,+72.63%,11870,35393,458999
FUBO,"Fubo TV",10.15,0.35,+3.57%,26.04%,9232,+68.56%,2382,6850,306570
STZ,"Constellation Brands",139.18,2.83,+2.08%,10.05%,6518,+67.69%,2133,4385,94102
SMCI,"Super Micro Computer",39.84,0.68,+1.74%,44.01%,500565,+66.07%,111699,388866,2735183
TWLO,Twilio,238.2,-11.22,-4.50%,29.03%,11625,+64.40%,2391,9234,98660
PURR,"Hyperliquid Strategies Inc",6.68,-0.14,-2.05%,0.16%,19667,+63.85%,8619,11048,383389
RCL,"Royal Caribbean Cruises Ltd",305,-4.88,-1.57%,11.78%,8421,+63.83%,1333,7088,102957
STM,"Stmicroelectronics N.V. ADR",54.29,0.37,+0.69%,35.00%,36141,+62.08%,1544,34597,402961
AMD,"Adv Micro Devices",514.39,31.38,+6.50%,35.98%,902111,+61.85%,335148,566963,3294780
USAR,"USA Rare Earth Inc",20,1.39,+7.47%,0.53%,53790,+60.93%,13994,39796,520310
JD,"Jd.com Inc ADR",29.06,-0.24,-0.82%,9.89%,54554,+60.42%,17412,37142,1041150
POET,"Poet Technologies Inc",9.58,0.67,+7.52%,24.32%,85965,+59.97%,17118,68847,1172296
RARE,"Ultragenyx Pharmaceu",26.49,0.11,+0.42%,69.49%,7441,+58.32%,5003,2438,114332
SONY,"Sony Group Corp ADR",24.29,0.68,+2.88%,2.11%,7806,+58.18%,347,7459,147897
APP,"Applovin Corp Cl A",315.44,2.77,+0.89%,12.77%,60814,+57.88%,26397,34417,381491
GFS,"Globalfoundries Inc",54.58,1.89,+3.59%,41.61%,12061,+57.76%,2829,9232,130662
F,"Ford Motor Company",14.37,0.48,+3.46%,31.95%,142223,+56.71%,33930,108293,1912259
WULF,"Terawulf Inc",17.38,1.07,+6.56%,14.76%,269034,+56.31%,77365,191669,2763801
QXO,"Qxo Inc",14.51,-0.38,-2.55%,57.87%,28543,+55.87%,10757,17786,577156
INFQ,"Infleqtion Inc",12.86,0.68,+5.58%,0.00%,22174,+55.48%,3463,18711,245139
SCHW,"The Charles Schwab Corp",111.09,1.03,+0.94%,0.00%,29277,+55.37%,15088,14189,449494
ONON,"On Holding Ag Cl A",32.22,0.63,+1.99%,5.60%,26819,+54.76%,6425,20394,356441
MSTR,"Strategy Inc",93.04,-4.06,-4.18%,22.71%,559984,+52.18%,211260,348724,2918557
DOCN,"Digitalocean Holdings Inc",129.92,-2.37,-1.79%,46.71%,13338,+51.50%,3435,9903,157489
PBF,"PBF Energy Inc",71.85,-2.51,-3.38%,44.47%,9090,+50.90%,458,8632,81376
COIN,"Coinbase Global Cl A",148.47,-5.43,-3.53%,28.67%,186342,+47.00%,74688,111654,1134167
ERO,"Ero Copper Corp",33.8,-0.57,-1.66%,38.92%,6668,+46.42%,258,6410,120868
LITE,"Lumentum Holdings",926.14,45.73,+5.19%,49.23%,53151,+45.93%,23160,29991,293657
PDD,"Pdd Holdings Inc",84.79,0.62,+0.74%,62.77%,46199,+41.61%,21253,24946,1113102
APPS,"Digital Turbine",12.44,-0.18,-1.43%,15.58%,6453,+41.11%,381,6072,97425
ACHR,"Archer Aviation Inc",6.62,-0.35,-5.02%,21.24%,105711,+40.52%,22064,83647,841340
AMPX,"Amprius Technologies Inc",12.51,0.57,+4.77%,3.00%,14321,+39.47%,2266,12055,364359
CRWV,"Coreweave Cl A",105.26,-1.03,-0.97%,14.81%,342756,+38.04%,139511,203245,2344653
ABNB,"Airbnb Inc Cl A",184.06,-1.07,-0.58%,15.50%,24899,+38.04%,14651,10248,258342
HAL,"Halliburton Company",34.42,1.58,+4.81%,15.71%,23798,+37.17%,4840,18958,520340
SG,"Sweetgreen Inc Cl A",6.28,0.22,+3.63%,20.03%,11474,+36.86%,2421,9053,258811
FCEL,"Fuelcell Energy Inc",22.37,2.03,+9.98%,43.53%,23272,+36.27%,5549,17723,175567
BABA,"Alibaba Group Holding ADR",123.81,1.65,+1.35%,58.02%,170443,+35.39%,37754,132689,2382245
M,"Macy's Inc",23.41,-0.43,-1.80%,46.04%,9969,+35.21%,4594,5375,167325
LLY,"Eli Lilly and Company",1180.16,-28.84,-2.39%,12.59%,68917,+35.07%,41472,27445,385518
STX,"Seagate Technology Holdings",973.44,52.07,+5.65%,47.56%,41343,+34.88%,18570,22773,284797
SKM,"Sk Telecom Corp ADR",38.51,1.8,+4.90%,22.16%,7874,+34.51%,2104,5770,153282
UEC,"Uranium Energy",11.21,0.02,+0.18%,0.00%,19510,+34.12%,10927,8583,243831
BULL,"Webull Corp Cl A",8.04,0.09,+1.13%,21.85%,60668,+33.91%,15246,45422,921085
APO,"Apollo Asset Management",140.76,-2.82,-1.96%,23.46%,7897,+33.73%,4218,3679,268293
LQDA,"Liquidia Corp",74.44,2.34,+3.25%,30.73%,18624,+33.51%,5858,12766,204438
LUMN,"Lumen Technologies Inc",6.72,0.32,+5.00%,12.35%,19301,+33.10%,2732,16569,490497
DINO,"HF Sinclair Corp",93.67,1.8,+1.96%,59.75%,7316,+32.78%,927,6389,101751
OMER,"Omeros Corp",17.19,-0.16,-0.92%,5.01%,5902,+32.21%,841,5061,100935
PYPL,"Paypal Holdings",61.66,1.07,+1.77%,27.42%,115017,+32.18%,16678,98339,1832137
IBRX,"Immunitybio Inc",7.57,-0.08,-1.05%,0.00%,16253,+32.05%,3875,12378,577752
BRK.B,"Berkshire Hathaway Cl B",504.03,-2.9,-0.57%,20.76%,37098,+31.97%,20384,16714,559552
APLD,"Applied Digital Corp",31.2,0.58,+1.89%,12.79%,90811,+31.85%,24895,65916,762541
KSS,"Kohl's Corp",19.21,-0.41,-2.09%,39.49%,7302,+30.53%,2707,4595,138176
NKE,"Nike Inc",40.73,-0.5,-1.21%,26.66%,112890,+30.51%,59014,53876,2094466
BILI,"Bilibili Inc ADR",17.44,0.37,+2.17%,39.67%,5943,+29.67%,3426,2517,203515
CORZ,"Core Scientific Inc",20.18,0.4,+2.02%,11.05%,96087,+29.27%,12181,83906,1646113
AEHR,"Aehr Test Systems",134.06,10.76,+8.73%,53.22%,14263,+28.74%,5809,8454,126164
ZS,"Zscaler Inc",183.6,-4.58,-2.43%,71.09%,21157,+28.66%,9911,11246,237109
DNN,"Denison Mines Corp",3.23,-0.03,-0.92%,11.29%,4399,+28.36%,1967,2432,283071
KMI,"Kinder Morgan Inc",32.82,0.74,+2.31%,19.80%,12758,+28.30%,1365,11393,303586
SHEL,"Shell Plc ADR",90.47,0.55,+0.61%,43.69%,17525,+27.80%,1523,16002,248026
GTLB,"Gitlab Inc Cl A",42.62,-0.73,-1.68%,41.14%,7468,+27.66%,716,6752,221396
SNOW,"Snowflake Cl A",328.92,-8.46,-2.51%,63.72%,42829,+26.82%,18017,24812,568905
TTD,"Trade Desk Inc",14.14,-0.42,-2.88%,24.40%,88500,+25.89%,26450,62050,1010310
INTU,"Intuit Inc",345.66,-12.63,-3.53%,79.40%,14356,+25.60%,7686,6670,182887
MDB,"Mongodb Inc Cl A",460.33,-11.96,-2.53%,66.25%,16280,+25.51%,9253,7027,222969
CAT,"Caterpillar Inc",856.57,1.97,+0.23%,44.01%,45287,+25.29%,19409,25878,321492
S,"Sentinelone Inc Cl A",23.11,-0.73,-3.06%,52.21%,25253,+25.01%,5014,20239,285013
SEI,"Solaris Energy Infrastructure Inc",63.3,3.4,+5.68%,23.89%,4522,+24.44%,391,4131,81305
AXTI,"Axt Inc",81.64,4.19,+5.41%,17.54%,38517,+24.32%,8867,29650,274195
CLSK,"Cleanspark Inc",12.09,0.57,+4.95%,25.28%,72441,+23.43%,25758,46683,836774
CCJ,"Cameco Corp",97.74,-0.01,-0.01%,12.23%,28251,+23.39%,21289,6962,432133
HOOD,"Robinhood Markets Cl A",95.56,-3.81,-3.83%,19.09%,243724,+23.38%,92818,150906,1753148
OXY,"Occidental Petroleum",58.36,0.66,+1.14%,31.92%,50180,+22.96%,6369,43811,855270
LULU,"Lululemon Athletica",119.55,-0.01,-0.01%,51.81%,26497,+22.92%,13225,13272,384029
GDS,"Gds Holdings Ltd ADR",34.41,-0.36,-1.04%,26.17%,6530,+22.51%,744,5786,161126
HUBS,"Hubspot Inc",224.14,-16.37,-6.81%,39.33%,4259,+21.96%,2225,2034,69942
HL,"Hecla Mining Company",18.37,0.64,+3.61%,29.15%,40458,+21.69%,9140,31318,740171
AVAV,"Aerovironment Inc",192.81,3.38,+1.78%,43.75%,6464,+21.60%,2034,4430,65552
RZLV,"Rezolve AI Plc",2.67,0.02,+0.75%,0.00%,10519,+21.34%,3771,6748,304368
NUAI,"New Era Energy & Digital Inc",5.07,0.08,+1.50%,52.57%,19277,+20.80%,5285,13992,293148
PAGP,"Plains Gp Holdings LP",25.84,0.35,+1.37%,15.79%,11741,+20.75%,2539,9202,139502
IBKR,"Interactive Brokers",92.06,0.64,+0.70%,25.89%,8287,+20.33%,1939,6348,141080
AXP,"American Express Company",342.48,-1.17,-0.34%,7.11%,20023,+20.32%,8775,11248,249121
CNQ,"Canadian Natural Resources",47.97,0.37,+0.78%,27.33%,4898,+19.99%,886,4012,140755
COHR,"Coherent Corp",325.83,-1.4,-0.43%,51.84%,36371,+19.77%,17591,18780,292844
EXK,"Endeavour Silver Corp",10.66,0.35,+3.39%,25.97%,4712,+19.62%,438,4274,189169
HD,"Home Depot",338.86,-2.84,-0.83%,69.00%,18513,+19.18%,8064,10449,256316
ADI,"Analog Devices",389.39,8.22,+2.16%,54.97%,10128,+18.94%,4154,5974,101443
SPCX,"SpaceX Corp",140,-1.29,-0.91%,0.00%,1340363,+18.81%,601331,739032,4994329
CRCL,"Circle Internet Group Cl A",71.6,-3.78,-5.01%,29.91%,95820,+18.17%,30467,65353,818372
UUUU,"Energy Fuels Inc",15.1,0.52,+3.57%,0.00%,21683,+18.14%,4411,17272,469804
CPRI,"Capri Holdings Ltd",15.34,-0.26,-1.67%,20.54%,5506,+17.95%,277,5229,79894
VALE,"Vale S.A. ADR",13.63,-0.17,-1.23%,8.76%,43364,+17.87%,26837,16527,1501270
MBLY,"Mobileye Global Inc Cl A",8.92,0.02,+0.22%,13.71%,11493,+17.52%,2195,9298,284759
ENVX,"Enovix Corp",4.39,-0.04,-0.90%,29.31%,18187,+17.19%,10349,7838,353133
TJX,"TJX Companies",152.11,-1.7,-1.11%,71.96%,6272,+16.45%,3695,2577,135115
SYM,"Symbotic Inc",42.7,0.9,+2.15%,0.00%,6027,+16.17%,1275,4752,80062
AKAM,"Akamai Technologies",124.99,-0.3,-0.24%,40.47%,8484,+16.11%,4024,4460,225962
BAC,"Bank of America Corp",64.49,0.4,+0.62%,0.00%,121792,+15.18%,37562,84230,2260021
PAAS,"Pan Amer Silver Corp",47.42,0.12,+0.25%,23.61%,10162,+14.90%,3667,6495,273964
CVNA,"Carvana Company Cl A",75.59,1.89,+2.56%,11.43%,61641,+14.90%,22186,39455,1207105
XE,"X-Energy Inc Cl A",20.98,-1.75,-7.72%,1.19%,9804,+14.59%,6126,3678,120829
RIG,"Transocean Inc",5.76,0.04,+0.70%,6.82%,18977,+14.47%,1157,17820,1305377
LMT,"Lockheed Martin Corp",608.68,10.67,+1.78%,31.06%,8788,+14.43%,4756,4032,114865
OKLO,"Oklo Inc",44.38,-2.07,-4.46%,5.41%,62260,+13.95%,24303,37957,738898
FRMI,"Fermi Inc",6.4,-0.2,-3.03%,0.00%,75720,+13.84%,12572,63148,994832
MU,"Micron Technology",971.66,21.83,+2.30%,34.72%,1159785,+13.68%,489602,670183,3574925
IMAX,"Imax Corp",52.88,-0.38,-0.71%,56.91%,4895,+13.65%,4148,747,82880
NVTS,"Navitas Semiconductor Corp",14.45,0.79,+5.78%,17.47%,51122,+13.62%,9884,41238,555759
VLO,"Valero Energy Corp",341.67,-1.25,-0.36%,63.12%,10855,+13.24%,4606,6249,137223
RBRK,"Rubrik Inc Cl A",102.23,-2.86,-2.72%,55.53%,6207,+13.23%,837,5370,108676
DKNG,"Draftkings Inc",26.14,0.72,+2.83%,31.54%,51101,+12.83%,7428,43673,989210
JOBY,"Joby Aviation Inc",7.92,-0.34,-4.12%,9.47%,32819,+12.66%,6034,26785,483628
COMP,"Compass Inc Cl A",13.02,-0.33,-2.47%,14.71%,5056,+12.48%,136,4920,142125
AMGN,"Amgen Inc",415.21,-2.63,-0.63%,35.03%,8750,+12.42%,3555,5195,130607
LRCX,"Lam Research Corp",332.36,-4.65,-1.38%,40.03%,64439,+12.19%,36953,27486,669471
ABVX,"Abivax Sa ADR",118.96,-2.49,-2.05%,17.17%,10037,+12.03%,3466,6571,170411
OKTA,"Okta Inc Cl A",147.43,-7.52,-4.85%,85.25%,8325,+11.84%,5140,3185,199604
RGTI,"Rigetti Computing Inc",18.82,0.2,+1.07%,9.24%,63091,+11.60%,12866,50225,715346
ALB,"Albemarle Corp",136.15,5.67,+4.35%,0.00%,6768,+11.19%,2730,4038,201505
COST,"Costco Wholesale",961.1,-0.75,-0.08%,25.51%,53665,+11.08%,31626,22039,364396
CRWD,"Crowdstrike Holdings",216.95,-8.58,-3.80%,67.99%,72621,+10.91%,36684,35937,1351148
CIEN,"Ciena Corp",428.77,-14.02,-3.17%,69.76%,10559,+9.83%,5011,5548,100358
KLAR,"Klarna Group Plc",20.79,0.11,+0.53%,60.65%,10431,+9.58%,4265,6166,161929
DLO,"Dlocal Ltd Cl A",14.17,-0.59,-4.00%,4.18%,5335,+9.21%,1441,3894,299749
XYZ,"Block Inc",82.88,-0.21,-0.25%,2.46%,34083,+9.13%,5593,28490,515072
NIO,"Nio Inc ADR",4.52,0.02,+0.44%,14.78%,56819,+8.19%,20200,36619,2386892
SNPS,"Synopsys Inc",421.5,9.75,+2.37%,66.81%,5600,+7.32%,1585,4015,92449
CAVA,"Cava Group Inc",74.42,2.24,+3.10%,16.05%,13589,+6.96%,3140,10449,193600
BSX,"Boston Scientific Corp",51.83,0.14,+0.27%,46.92%,45631,+6.92%,23409,22222,980570
WDC,"Western Digital Corp",508.8,21.51,+4.41%,46.16%,62555,+6.73%,31489,31066,509550
ECHO,"Echostar Corp",91.89,0.21,+0.23%,0.00%,27003,+6.38%,23918,3085,636382
TLRY,"Tilray Brands Inc",4.67,-0.03,-0.64%,5.29%,8586,+6.10%,1790,6796,513483
CEG,"Constellation Energy Corp",282.5,3.86,+1.39%,6.65%,9351,+6.04%,3313,6038,228159
