Symbol,Name,Latest,Change,%Change,"IV Rank","IV Pctl","Options Vol","% Put","% Call","P/C Vol"
BE,"Bloom Energy Corp Cl A",217.28,3.65,+1.71%,4.47%,2%,96616,45.4%,54.6%,0.83272948005387
MRNA,"Moderna Inc",150.81,-3.46,-2.24%,25.98%,65%,95413,41.8%,58.2%,0.71800781461008
F,"Ford Motor Company",14.14,0.3,+2.17%,34.99%,41%,92838,33.7%,66.3%,0.50909475121507
CRM,"Salesforce Inc",256.93,-1.18,-0.46%,37.77%,29%,92613,56.9%,43.1%,1.3187451490949
QCOM,"Qualcomm Inc",169.96,3.35,+2.01%,24.59%,52%,92601,15.5%,84.5%,0.18335399281817
TTD,"Trade Desk Inc",14.55,0.77,+5.59%,29.49%,27%,91710,28.3%,71.7%,0.39468041425248
BABA,"Alibaba Group Holding ADR",111.81,-1.04,-0.92%,29.52%,18%,91507,29.0%,71.0%,0.40942626107047
NKE,"Nike Inc",38.24,0.12,+0.31%,48.61%,58%,90239,35.3%,64.7%,0.54669797576402
HTZ,"Hertz Global Holdings Inc",2.31,0.07,+3.12%,29.99%,61%,85692,7.1%,92.9%,0.076870876531574
MDB,"Mongodb Inc Cl A",375.4,-58.81,-13.54%,29.10%,33%,74250,51.6%,48.4%,1.0681299091973
PYPL,"Paypal Holdings",54.67,2.27,+4.33%,14.91%,20%,70101,18.8%,81.2%,0.23193856211448
APLD,"Applied Digital Corp",24.91,0.62,+2.55%,1.40%,1%,69930,17.6%,82.4%,0.21423114321434
RDDT,"Reddit Cl A",158.1,13.46,+9.31%,5.40%,6%,67615,37.7%,62.3%,0.60559935410334
BA,"Boeing Company",208.87,3.21,+1.56%,29.75%,10%,65260,34.0%,66.0%,0.51622871215817
VALE,"Vale S.A. ADR",15.73,0.61,+4.03%,15.96%,46%,63899,12.0%,88.0%,0.13695242162201
TSM,"Taiwan Semiconductor ADR",415.5,1.5,+0.36%,11.52%,4%,62569,43.6%,56.4%,0.77435272098233
WBD,"Discovery Inc Series A",28.39,0.07,+0.25%,25.72%,50%,60467,60.5%,39.5%,1.5343476256339
KO,"Coca-Cola Company",88.24,0.24,+0.27%,49.57%,37%,60371,14.2%,85.8%,0.16544082160576
RIOT,"Riot Platforms Inc",18.64,0.84,+4.75%,14.20%,8%,57725,26.2%,73.8%,0.35514238091884
CLF,"Cleveland-Cliffs Inc",12.42,0.88,+7.63%,15.94%,9%,57694,51.4%,48.6%,1.0580009987872
SKHY,"SK hynix Inc",164.98,4.2,+2.61%,0.00%,0%,56870,57.4%,42.6%,1.3475748194014
WFC,"Wells Fargo & Company",89.27,2.23,+2.56%,23.01%,32%,55494,52.8%,47.2%,1.118819441793
SNAP,"Snap Inc",5.59,0.24,+4.49%,22.23%,25%,55407,29.6%,70.4%,0.42051019100115
ET,"Energy Transfer LP",21.54,0.12,+0.56%,29.07%,22%,55163,7.4%,92.6%,0.079616400821998
T,"AT&T Inc",25.95,-0.05,-0.19%,29.14%,31%,54985,65.7%,34.3%,1.9134212896731
OXY,"Occidental Petroleum",60.91,-0.04,-0.07%,31.89%,21%,53218,17.1%,82.9%,0.20675736961451
GTLB,"Gitlab Inc Cl A",49.59,4.5,+9.98%,16.64%,14%,52675,29.7%,70.3%,0.4221880231114
VST,"Vistra Energy Corp",143.46,5.38,+3.90%,8.71%,3%,52224,16.9%,83.1%,0.20365077901724
KHC,"Kraft Heinz Company",26.26,0.39,+1.51%,38.99%,28%,52031,5.2%,94.8%,0.054433073259702
PSKY,"Paramount Skydance Corp Cl B",10.97,0.42,+3.98%,9.65%,22%,51813,44.9%,55.1%,0.81367264071689
CORZ,"Core Scientific Inc",16.81,0.74,+4.60%,5.99%,5%,50900,24.2%,75.8%,0.31937064205915
UNH,"Unitedhealth Group",399.66,3.36,+0.85%,15.75%,25%,49308,65.0%,35.0%,1.8544633553317
HIMS,"Hims & Hers Health Inc",28.68,0.24,+0.84%,13.38%,13%,49128,27.5%,72.5%,0.37930259980909
CPB,"The Campbell's Company",23.78,0.07,+0.30%,25.95%,81%,48701,71.0%,29.0%,2.4532368999504
BULL,"Webull Corp Cl A",9,-0.13,-1.42%,0.00%,0%,48634,15.3%,84.7%,0.18066614876675
AAL,"American Airlines Gp",13.11,0.16,+1.24%,18.01%,11%,48235,41.9%,58.1%,0.72243250964148
COST,"Costco Wholesale",928.48,-11.48,-1.22%,47.35%,58%,45009,45.0%,55.0%,0.817150470346
AI,"C3.Ai Inc Cl A",10.52,0.18,+1.74%,55.53%,73%,44761,41.6%,58.4%,0.71150537223263
RIVN,"Rivian Automotive Cl A",15.61,0.07,+0.48%,5.23%,3%,43944,30.2%,69.8%,0.43368894978957
CLSK,"Cleanspark Inc",11.33,0.27,+2.44%,25.59%,10%,43933,11.5%,88.5%,0.12947013908528
AMC,"AMC Entertainment Holdings",2.64,0.06,+2.33%,26.26%,27%,42457,14.6%,85.4%,0.1702913531244
PURR,"Hyperliquid Strategies Inc",11.32,-0.03,-0.31%,7.17%,29%,42171,14.2%,85.8%,0.16587874263913
HL,"Hecla Mining Company",20.77,1.66,+8.69%,18.98%,14%,41495,37.9%,62.1%,0.60901934933499
DKNG,"Draftkings Inc",24.21,0.77,+3.28%,39.96%,38%,41008,12.4%,87.6%,0.14152098875404
PATH,"Uipath Inc Cl A",17.99,-0.15,-0.83%,69.10%,82%,40475,40.7%,59.3%,0.68737232667695
WDC,"Western Digital Corp",448.9,-1.54,-0.34%,31.62%,13%,40149,44.3%,55.7%,0.796858216971
OPEN,"Opendoor Technologies Inc",3.09,0.05,+1.64%,1.69%,3%,39877,31.4%,68.6%,0.4576525203787
CMG,"Chipotle Mexican Grill",38.52,1.01,+2.69%,18.86%,12%,39704,20.0%,80.0%,0.24957512431548
JPM,"JP Morgan Chase & Company",356.22,1.27,+0.36%,22.97%,27%,39512,54.8%,45.2%,1.2105852075641
FIGR,"Figure Technology Solutions Inc Cl A",33.19,-0.51,-1.51%,3.21%,1%,38990,48.8%,51.2%,0.95399418662925
FCEL,"Fuelcell Energy Inc",14.4,-2.68,-15.69%,17.31%,13%,38454,27.0%,73.0%,0.36920064091152
CVX,"Chevron Corp",211.78,0.73,+0.35%,50.05%,43%,38301,36.7%,63.3%,0.57961809708418
CCL,"Carnival Corporation Ltd",23.74,0.51,+2.20%,28.17%,30%,38061,25.9%,74.1%,0.34925023928533
IONQ,"Ionq Inc",37.64,-0.14,-0.37%,0.00%,0%,37324,34.1%,65.9%,0.51748251748252
CVNA,"Carvana Company Cl A",74.16,1.98,+2.74%,16.87%,23%,36805,55.8%,44.2%,1.2611660625422
NEM,"Newmont Mining",125.16,2.53,+2.06%,24.43%,10%,36291,12.8%,87.2%,0.1472875569044
AS,"Amer Sports Inc",28.56,-0.9,-3.05%,22.39%,18%,36263,17.6%,82.4%,0.21333690233212
CRCL,"Circle Internet Group Cl A",88.64,-0.84,-0.94%,28.18%,19%,35862,34.6%,65.4%,0.52812340207943
AUR,"Aurora Innovation Inc Cl A",5.85,0.39,+7.14%,9.60%,20%,35854,48.8%,51.2%,0.95293861321423
GLW,"Corning Inc",144.13,-1.43,-0.98%,40.96%,44%,35670,35.5%,64.5%,0.55100443516828
ASST,"Strive Inc",24.32,0.32,+1.33%,1.92%,5%,35323,17.9%,82.1%,0.21832856206671
OKLO,"Oklo Inc",39.52,0.99,+2.57%,0.00%,0%,35122,35.5%,64.5%,0.55016109811537
SOUN,"Soundhound AI Inc Cl A",6.78,-0.07,-1.02%,4.03%,1%,35041,24.6%,75.4%,0.32595451621448
AMAT,"Applied Materials",438.46,-3.39,-0.77%,28.53%,33%,34481,41.4%,58.6%,0.70537613136159
ARM,"Arm Holdings Plc ADR",234.86,0.04,+0.02%,25.24%,40%,34429,61.0%,39.0%,1.56282566622
NVO,"Novo Nordisk A/S ADR",46.77,1.65,+3.66%,9.61%,7%,34142,18.2%,81.8%,0.22236941033261
DIS,"Walt Disney Company",107.98,1.76,+1.66%,18.25%,17%,33801,34.1%,65.9%,0.51723673579316
CBRS,"Cerebras Systems Cl A",184.52,11.9,+6.89%,0.00%,0%,33286,35.0%,65.0%,0.53873890532544
VZ,"Verizon Communications",50.22,-0.08,-0.16%,37.54%,31%,32472,37.0%,63.0%,0.58841657291004
LLY,"Eli Lilly and Company",1160.08,0.08,+0.01%,28.59%,25%,32413,52.6%,47.4%,1.110496158354
XOM,"Exxonmobil Holdings Corp",164.15,-0.4,-0.24%,54.06%,48%,32061,34.4%,65.6%,0.5243189273998
HPQ,"HP Inc",31.99,0.67,+2.14%,51.11%,57%,31669,30.7%,69.3%,0.44363404294115
LCID,"Lucid Group Inc",4.71,0.16,+3.52%,16.41%,33%,31286,43.9%,56.1%,0.78227184687251
CSCO,"Cisco Systems Inc",109.46,-0.28,-0.26%,28.07%,36%,30975,28.7%,71.3%,0.4024721543059
NRG,"NRG Energy",111.09,1.58,+1.44%,23.49%,15%,30911,5.4%,94.6%,0.057111589890907
QS,"Quantumscape Corp",5.45,-0.02,-0.37%,10.88%,3%,30581,16.7%,83.3%,0.20029044665986
GRAB,"Grab Holdings Ltd Cl A",3.53,0.07,+2.02%,16.34%,24%,30533,68.9%,31.1%,2.2170477294279
SMR,"Nuscale Power Corp",9.56,0.35,+3.80%,2.39%,2%,30290,19.3%,80.7%,0.23900683110402
FCX,"Freeport-Mcmoran Inc",73.93,1.46,+2.01%,45.28%,37%,29236,42.5%,57.5%,0.74054890754301
STX,"Seagate Technology",808.54,-8.1,-0.99%,35.98%,29%,29226,43.7%,56.3%,0.7757929274517
ONON,"On Holding Ag Cl A",27.8,0.07,+0.25%,8.42%,14%,28863,39.7%,60.3%,0.6571740253775
GS,"Goldman Sachs Group",1004.42,1.86,+0.19%,33.83%,56%,28621,42.2%,57.8%,0.73009732213021
LITE,"Lumentum Holdings",870.58,1.63,+0.19%,26.56%,9%,28503,45.9%,54.1%,0.85000324527812
SLS,"Sellas Life Sciences Group Inc",14.16,0.94,+7.11%,61.63%,83%,28481,30.1%,69.9%,0.4307027678706
CAT,"Caterpillar Inc",792.28,13.12,+1.68%,34.90%,28%,28272,58.3%,41.7%,1.3959322033898
RGTI,"Rigetti Computing Inc",14.87,-0.12,-0.80%,0.00%,0%,28061,30.9%,69.1%,0.44808545773558
