Symbol,Name,Latest,Change,%Change,"IV Rank","IV Pctl","Options Vol","% Put","% Call","P/C Vol"
NVDA,"Nvidia Corp",217.5,-0.05,-0.02%,25.76%,35%,2229685,40.7%,59.3%,0.68499642548921
TSLA,"Tesla Inc",332.81,1.93,+0.58%,0.00%,0%,1462264,35.7%,64.3%,0.55408063818458
SPCX,"SpaceX Corp",133.29,-5.45,-3.93%,0.00%,0%,861256,45.6%,54.4%,0.837130576679
AAPL,"Apple Inc",304.91,-3.35,-1.09%,40.35%,26%,823277,31.8%,68.2%,0.46638773707234
MU,"Micron Technology",868.52,7.52,+0.87%,37.79%,38%,664471,45.1%,54.9%,0.82311575712679
AMZN,"Amazon.com Inc",272.27,-5.82,-2.09%,22.93%,23%,568676,35.1%,64.9%,0.54157856500005
PLTR,"Palantir Technologies Cl A",174.94,-0.29,-0.17%,19.53%,14%,559631,51.1%,48.9%,1.043634809981
INTC,"Intel Corp",97.71,0.19,+0.19%,43.74%,55%,555481,35.7%,64.3%,0.55585151823251
GOOGL,"Alphabet Cl A",343.8,-13.72,-3.84%,24.56%,18%,546136,38.2%,61.8%,0.61826704831665
HTZ,"Hertz Global Holdings Inc",2.45,0.33,+15.57%,76.71%,98%,518055,24.2%,75.8%,0.31854161364215
META,"META Platforms Inc",599.12,4.2,+0.71%,34.31%,48%,509100,30.0%,70.0%,0.42922514156095
SMCI,"Super Micro Computer",31.6,0.14,+0.45%,76.17%,89%,418555,32.4%,67.6%,0.47975634072702
MSFT,"Microsoft Corp",503.81,-2.25,-0.44%,29.03%,31%,416433,43.5%,56.5%,0.76895400404397
RIOT,"Riot Platforms Inc",20.24,0.84,+4.33%,41.74%,47%,369076,23.4%,76.6%,0.30474560932153
CRWV,"Coreweave Cl A",90.32,2.13,+2.42%,50.45%,65%,367772,46.2%,53.8%,0.85802553337678
AMD,"Adv Micro Devices",474.32,4.76,+1.01%,36.15%,48%,339720,41.9%,58.1%,0.72121678860223
ORCL,"Oracle Corp",145.48,-5.57,-3.69%,62.37%,78%,297603,34.5%,65.5%,0.52653716536806
NFLX,"Netflix Inc",74.79,-1.5,-1.97%,27.52%,35%,294608,26.0%,74.0%,0.35105958533778
MSTR,"Strategy Inc",96.09,-1.24,-1.27%,26.95%,39%,268658,28.4%,71.6%,0.39676515391774
RKLB,"Rocket Lab Corp",80.01,-0.03,-0.04%,31.67%,17%,242415,32.7%,67.3%,0.48528591822855
SOFI,"Sofi Technologies Inc",17.98,-0.14,-0.77%,1.53%,1%,212250,33.8%,66.2%,0.51127851670417
NBIS,"Nebius Group N.V. Cl A",193.23,9.12,+4.95%,39.66%,70%,204104,43.7%,56.3%,0.77671770676463
GOOG,"Alphabet Cl C",343,-12.84,-3.61%,22.21%,14%,199668,48.5%,51.5%,0.9412382359804
ACHR,"Archer Aviation Inc",6.79,0.53,+8.47%,32.76%,47%,191312,19.9%,80.1%,0.24865873875755
IREN,"Iren Limited",39.75,1.01,+2.61%,24.91%,14%,180507,30.8%,69.2%,0.4448651244697
TGT,"Target Corp",152.29,0.27,+0.18%,52.90%,68%,178316,8.9%,91.1%,0.097802130148372
ASTS,"Ast Spacemobile Inc",71.63,2.87,+4.17%,29.62%,12%,148535,36.1%,63.9%,0.56593290741561
UBER,"UBER Technologies Inc",78.54,0.51,+0.65%,22.37%,13%,147985,32.4%,67.6%,0.47973162147028
AVGO,"Broadcom Ltd",416.08,-6.32,-1.50%,42.97%,45%,145597,56.1%,43.9%,1.2771591229003
ONDS,"Ondas Inc",9.74,0.43,+4.62%,30.82%,24%,144602,18.1%,81.9%,0.22055844418934
HIMS,"Hims & Hers Health Inc",30.51,-1.26,-3.97%,29.54%,30%,138480,42.3%,57.7%,0.73258098014438
SNDK,"Sandisk Corp",1271.05,33.13,+2.68%,35.95%,16%,134393,44.7%,55.3%,0.80769385970812
SKHY,"SK hynix Inc",141.65,6.36,+4.70%,0.00%,0%,122740,58.4%,41.6%,1.4066666666667
WULF,"Terawulf Inc",16.75,0.55,+3.40%,16.03%,9%,119604,23.2%,76.8%,0.30222328680618
NKE,"Nike Inc",41.32,-0.79,-1.88%,31.12%,31%,119324,35.2%,64.8%,0.54358821779232
PFE,"Pfizer Inc",26.62,-0.43,-1.59%,11.20%,5%,116783,38.4%,61.6%,0.62464872986283
FRMI,"Fermi Inc",7.12,1.24,+21.09%,10.11%,3%,115734,16.7%,83.3%,0.20014932647538
NOK,"Nokia Corp ADR",9.44,0.31,+3.40%,45.07%,63%,113364,36.3%,63.7%,0.56942117868564
HL,"Hecla Mining Company",17.76,0.21,+1.20%,32.50%,11%,111683,80.7%,19.3%,4.1755410352658
T,"AT&T Inc",24.5,0.45,+1.87%,32.80%,43%,110428,36.4%,63.6%,0.57277958183786
BABA,"Alibaba Group Holding ADR",127.85,-4.47,-3.38%,63.52%,68%,109658,25.9%,74.1%,0.34998584249468
NU,"NU Holdings Ltd Cl A",13.65,-0.21,-1.52%,55.52%,56%,106402,57.1%,42.9%,1.3323542306006
MARA,"Mara Holdings Inc",9.68,0.12,+1.26%,35.52%,28%,106098,33.4%,66.6%,0.50208115072062
PLUG,"Plug Power Inc",2.22,0.11,+5.21%,13.61%,14%,100809,15.6%,84.4%,0.18413541165001
UMC,"United Microelectronics Corp ADR",18.94,0.15,+0.80%,47.22%,69%,96404,4.7%,95.3%,0.049169623228783
CRCL,"Circle Internet Group Cl A",71.16,4.11,+6.13%,33.01%,26%,96377,38.1%,61.9%,0.61576247317597
TSM,"Taiwan Semiconductor ADR",422.06,3.59,+0.86%,31.10%,27%,93849,57.0%,43.0%,1.3277773643872
MRVL,"Marvell Technology Inc",212.31,3.75,+1.80%,56.43%,73%,92589,46.7%,53.3%,0.87594213469487
NOW,"Servicenow Inc",127.54,0.1,+0.08%,47.21%,57%,91471,32.1%,67.9%,0.47182532020339
BAC,"Bank of America Corp",64,0.14,+0.22%,0.00%,0%,86032,45.4%,54.6%,0.83039019616187
HOOD,"Robinhood Markets Cl A",94.38,-0.14,-0.15%,26.44%,22%,85542,35.2%,64.8%,0.54419091631165
BE,"Bloom Energy Corp Cl A",211.21,0.58,+0.28%,23.52%,12%,85457,44.9%,55.1%,0.81375753459547
KHC,"Kraft Heinz Company",24.65,-0.28,-1.12%,56.10%,62%,85093,4.7%,95.3%,0.048860456803363
GME,"Gamestop Corp",18.82,0.03,+0.16%,26.77%,33%,84437,19.5%,80.5%,0.24184842557322
COIN,"Coinbase Global Cl A",148.58,-0.1,-0.07%,32.54%,35%,79354,42.2%,57.8%,0.73137259180067
F,"Ford Motor Company",13.98,-0.02,-0.14%,30.68%,39%,79200,24.1%,75.9%,0.31743100953141
TTD,"Trade Desk Inc",13.56,0.17,+1.27%,28.04%,27%,77758,25.0%,75.0%,0.33405390567365
CIFR,"Cipher Digital Inc",17.21,0.88,+5.39%,16.12%,10%,76706,23.1%,76.9%,0.30001355840282
DELL,"Dell Technologies Inc",440.97,-16.91,-3.69%,81.78%,90%,72346,52.2%,47.8%,1.0913479605701
BMY,"Bristol-Myers Squibb Company",63.61,-1.23,-1.90%,23.11%,10%,70345,43.0%,57.0%,0.75489584632656
AG,"First Majestic Silver",18.96,0.11,+0.58%,21.98%,14%,70117,85.1%,14.9%,5.7290786948177
CMG,"Chipotle Mexican Grill",32,-0.14,-0.44%,25.77%,30%,69880,60.7%,39.3%,1.5449777842523
APP,"Applovin Corp Cl A",318.68,-20.32,-5.99%,14.40%,18%,67921,34.3%,65.7%,0.52149369413768
RIVN,"Rivian Automotive Cl A",16.36,-0.03,-0.18%,18.23%,7%,67297,32.6%,67.4%,0.48368534767847
PCG,"Pacific Gas & Electric Company",17.3,0.26,+1.53%,47.74%,89%,66643,20.0%,80.0%,0.2501266202705
BMNR,"Bitmine Immersion Technologies",18.09,-0.01,-0.06%,4.49%,2%,63620,24.5%,75.5%,0.32456122087818
ONON,"On Holding Ag Cl A",30.91,-7.87,-20.29%,19.04%,22%,63142,43.1%,56.9%,0.75613961896815
CLX,"Clorox Company",108.25,0.55,+0.51%,37.02%,45%,62129,2.0%,98.0%,0.019962897903567
IBM,"Intl Business Machines",238.42,2.11,+0.89%,35.77%,47%,61163,27.4%,72.6%,0.37757607153314
WBD,"Discovery Inc Series A",27.07,0.2,+0.74%,12.01%,27%,61127,50.3%,49.7%,1.0134057971014
RKT,"Rocket Companies Cl A",14.32,0.56,+4.07%,30.47%,16%,60607,17.7%,82.3%,0.21435011721333
WMT,"Walmart Inc",113.26,0.6,+0.53%,64.78%,81%,59983,33.8%,66.2%,0.50984192509062
